,,Relaxed/Lambda Match Statistics
,Precission,0.6043956043956044
,Recall,0.9217877094972067
,F1,0.7300884955752213
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,0.0,"17, 19","17, 19",0,Do,Do,verb,verb
4,1.0,"27, 45","27, 46",1,an eating disorder,an eating disorder?,participant-role,participant-role
2,0.0,"20, 21","20, 21",0,I,I,participant-role,participant-role
3,0.0,"22, 26","22, 26",0,have,have,main,main
3,0.0,"22, 26","22, 26",0,have,have,verb,verb
151,3.1622776601683795,"70, 75","67, 76",4,Tiger,me Tiger.,participant-role,participant-role
149,0.0,"62, 66","62, 66",0,Call,Call,main,main
149,0.0,"62, 66","62, 66",0,Call,Call,verb,verb
150,0.0,"67, 69","67, 69",0,me,me,participant-role,participant-role
5,0.0,"77, 78","77, 78",0,I,I,participant-role,participant-role
7,0.0,"83, 113","83, 113",0,"a 6'0, 190, 32 w, athletic guy","a 6'0, 190, 32 w, athletic guy",participant-role,participant-role
6,0.0,"79, 82","79, 82",0,was,was,main,main
6,0.0,"79, 82","79, 82",0,was,was,verb,verb
8,0.0,"138, 139","138, 139",0,I,I,participant-role,participant-role
10,4.0,"146, 150","142, 150",4,know,n't know,main,main
10,4.0,"146, 150","142, 150",4,know,n't know,verb,verb
154,0.0,"156, 164","156, 164",0,happened,happened,main,main
154,0.0,"156, 164","156, 164",0,happened,happened,verb,verb
9,0.0,"140, 142","140, 142",0,do,do,verb,verb
11,1.0,"151, 164","151, 165",1,what happened,what happened.,participant-role,participant-role
153,0.0,"151, 155","151, 155",0,what,what,participant-role,participant-role
14,11.0,"173, 194","173, 183",11,all desire to workout,all desire,participant-role,participant-role
13,0.0,"168, 172","168, 172",0,lost,lost,main,main
13,0.0,"168, 172","168, 172",0,lost,lost,verb,verb
12,0.0,"166, 167","166, 167",0,I,I,participant-role,participant-role
158,0.0,"196, 225","196, 225",0,All I wanted to do after work,All I wanted to do after work,participant-role,participant-role
156,1.0,"230, 255","230, 256",1,"go home, eat and watch TV","go home, eat and watch TV.",participant-role,participant-role
157,0.0,"226, 229","226, 229",0,was,was,main,main
157,0.0,"226, 229","226, 229",0,was,was,verb,verb
23,4.0,"300, 304","296, 304",4,have,not have,main,main
23,4.0,"300, 304","296, 304",4,have,not have,verb,verb
19,0.0,"259, 261","259, 261",0,do,do,verb,verb
22,0.0,"292, 295","292, 295",0,did,did,verb,verb
25,1.0,"305, 331","305, 332",1,any desire to meet friends,any desire to meet friends.,participant-role,participant-role
20,4.0,"265, 267","261, 267",4,go,n't go,main,main
20,4.0,"265, 267","261, 267",4,go,n't go,verb,verb
18,0.0,"257, 258","257, 258",0,I,I,participant-role,participant-role
27,0.0,"348, 351","348, 351",0,got,got,main,main
27,0.0,"348, 351","348, 351",0,got,got,verb,verb
26,2.0,"346, 347","344, 347",2,I,", I",participant-role,participant-role
32,0.0,"394, 402","394, 402",0,informed,informed,main,main
32,0.0,"394, 402","394, 402",0,informed,informed,verb,verb
29,0.0,"358, 362","358, 362",0,Went,Went,main,main
29,0.0,"358, 362","358, 362",0,Went,Went,verb,verb
31,0.0,"390, 393","390, 393",0,she,she,participant-role,participant-role
34,5.0990195135927845,"411, 454","406, 455",6,I gained 55 lbs in the last couple of years,that I gained 55 lbs in the last couple of years.,participant-role,participant-role
160,0.0,"411, 412","411, 412",0,I,I,participant-role,participant-role
33,0.0,"403, 405","403, 405",0,me,me,participant-role,participant-role
161,0.0,"413, 419","413, 419",0,gained,gained,main,main
161,0.0,"413, 419","413, 419",0,gained,gained,verb,verb
42,0.0,"507, 509","507, 509",0,me,me,participant-role,participant-role
38,0.0,"460, 469","460, 469",0,diagnosed,diagnosed,main,main
38,0.0,"460, 469","460, 469",0,diagnosed,diagnosed,verb,verb
39,0.0,"470, 472","470, 472",0,me,me,participant-role,participant-role
43,3.1622776601683795,"510, 530","507, 531",4,to get back in shape,me to get back in shape.,participant-role,participant-role
41,0.0,"502, 506","502, 506",0,told,told,main,main
41,0.0,"502, 506","502, 506",0,told,told,verb,verb
37,0.0,"456, 459","456, 459",0,She,She,participant-role,participant-role
45,0.0,"534, 537","534, 537",0,did,did,verb,verb
44,0.0,"532, 533","532, 533",0,I,I,participant-role,participant-role
48,0.0,"549, 559","549, 559",0,what I ate,what I ate,participant-role,participant-role
47,0.0,"541, 548","541, 548",0,watched,watched,main,main
47,0.0,"541, 548","541, 548",0,watched,watched,verb,verb
46,0.0,"539, 540","539, 540",0,I,I,participant-role,participant-role
51,0.0,"595, 599","595, 599",0,went,went,main,main
51,0.0,"595, 599","595, 599",0,went,went,verb,verb
173,0.0,"549, 553","549, 553",0,what,what,participant-role,participant-role
175,0.0,"556, 559","556, 559",0,ate,ate,main,main
175,0.0,"556, 559","556, 559",0,ate,ate,verb,verb
174,0.0,"554, 555","554, 555",0,I,I,participant-role,participant-role
53,2.0,"660, 661","658, 661",2,I,", I",participant-role,participant-role
54,0.0,"662, 669","662, 669",0,dropped,dropped,main,main
54,0.0,"662, 669","662, 669",0,dropped,dropped,verb,verb
55,0.0,"670, 676","670, 676",0,20 lbs,20 lbs,participant-role,participant-role
56,0.0,"681, 688","681, 688",0,started,started,main,main
56,0.0,"681, 688","681, 688",0,started,started,verb,verb
57,1.0,"689, 703","689, 704",1,looking better,looking better.,participant-role,participant-role
58,0.0,"705, 706","705, 706",0,I,I,participant-role,participant-role
60,0.0,"712, 727","712, 727",0,the bloatedness,the bloatedness,participant-role,participant-role
63,1.0,"739, 751","739, 752",1,a lot better,a lot better.,participant-role,participant-role
59,0.0,"707, 711","707, 711",0,lost,lost,main,main
59,0.0,"707, 711","707, 711",0,lost,lost,verb,verb
62,0.0,"734, 738","734, 738",0,felt,felt,main,main
62,0.0,"734, 738","734, 738",0,felt,felt,verb,verb
61,0.0,"732, 733","732, 733",0,I,I,participant-role,participant-role
65,0.0,"765, 772","765, 772",0,started,started,main,main
65,0.0,"765, 772","765, 772",0,started,started,verb,verb
64,0.0,"753, 764","753, 764",0,The problem,The problem,participant-role,participant-role
67,0.0,"787, 790","787, 790",0,had,had,main,main
67,0.0,"787, 790","787, 790",0,had,had,verb,verb
66,0.0,"785, 786","785, 786",0,I,I,participant-role,participant-role
68,1.0,"791, 799","791, 800",1,a burger,a burger.,participant-role,participant-role
72,8.0,"888, 900","888, 892",8,meat anymore,meat,participant-role,participant-role
71,5.0,"873, 880","869, 877",7,seem to,n't seem,verb,verb
70,0.0,"867, 869","867, 869",0,ca,ca,verb,verb
69,4.0,"858, 866","854, 866",4,my tummy,... my tummy,participant-role,participant-role
