,,Relaxed/Lambda Match Statistics
,Precission,0.2180327868852459
,Recall,0.6855670103092784
,F1,0.3308457711442786
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,1.0,"27, 45","27, 46",1,an eating disorder,an eating disorder?,possessed,possessed
2,0.0,"20, 21","20, 21",0,I,I,carrier,carrier
116,1.0,"17, 45","17, 46",1,Do I have an eating disorder,Do I have an eating disorder?,relational,relational
116,1.0,"17, 45","17, 46",1,Do I have an eating disorder,Do I have an eating disorder?,possessive,possessive
3,0.0,"22, 26","22, 26",0,have,have,main,main
149,0.0,"62, 66","62, 66",0,Call,Call,main,main
117,1.0,"77, 131","77, 132",1,"I was a 6'0, 190, 32 w, athletic guy about 2 years ago","I was a 6'0, 190, 32 w, athletic guy about 2 years ago.",attributive,attributive
117,1.0,"77, 131","77, 132",1,"I was a 6'0, 190, 32 w, athletic guy about 2 years ago","I was a 6'0, 190, 32 w, athletic guy about 2 years ago.",relational,relational
5,0.0,"77, 78","77, 78",0,I,I,carrier,carrier
7,0.0,"83, 113","83, 113",0,"a 6'0, 190, 32 w, athletic guy","a 6'0, 190, 32 w, athletic guy",attribute,attribute
6,0.0,"79, 82","79, 82",0,was,was,main,main
8,0.0,"138, 139","138, 139",0,I,I,cognizant,cognizant
155,1.0,"151, 164","151, 165",1,what happened,what happened.,action,action
118,5.0990195135927845,"138, 164","133, 165",6,I don't know what happened,Then I don't know what happened.,mental,mental
118,5.0990195135927845,"138, 164","133, 165",6,I don't know what happened,Then I don't know what happened.,two-role-cognition,two-role-cognition
10,4.0,"146, 150","142, 150",4,know,n't know,main,main
154,0.0,"156, 164","156, 164",0,happened,happened,main,main
11,1.0,"151, 164","151, 165",1,what happened,what happened.,phenomenon,phenomenon
14,11.0,"173, 194","173, 183",11,all desire to workout,all desire,affected-possessed,affected-possessed
119,1.0,"166, 194","166, 195",1,I lost all desire to workout,I lost all desire to workout.,possessive,possessive
13,0.0,"168, 172","168, 172",0,lost,lost,main,main
12,0.0,"166, 167","166, 167",0,I,I,affected-carrier,affected-carrier
156,23.021728866442675,"230, 255","253, 256",24,"go home, eat and watch TV",TV.,phenomenon,phenomenon
