,,Relaxed/Lambda Match Statistics
,Precission,0.614406779661017
,Recall,0.90625
,F1,0.7323232323232324
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,0.0,"16, 17","16, 17",0,I,I,participant-role,participant-role
159,22.561028345356956,"43, 93","38, 71",27,I've been hanging on so well since my brother left,that I've been hanging on so well,participant-role,participant-role
2,1.0,"18, 19","17, 19",1,m,'m,verb,verb
6,5.830951894845301,"53, 63","48, 60",8,hanging on,been hanging,main,main
6,5.830951894845301,"53, 63","48, 60",8,hanging on,been hanging,verb,verb
3,11.0,"20, 37","31, 37",11,sooo happy to say,to say,main,main
3,11.0,"20, 37","31, 37",11,sooo happy to say,to say,verb,verb
4,0.0,"43, 44","43, 44",0,I,I,participant-role,participant-role
5,5.0990195135927845,"45, 52","44, 47",6,ve been,'ve,verb,verb
13,0.0,"105, 112","105, 112",0,keeping,keeping,main,main
13,0.0,"105, 112","105, 112",0,keeping,keeping,verb,verb
11,0.0,"95, 96","95, 96",0,I,I,participant-role,participant-role
22,0.0,"227, 234","227, 234",0,weighed,weighed,main,main
22,0.0,"227, 234","227, 234",0,weighed,weighed,verb,verb
21,0.0,"225, 226","225, 226",0,I,I,participant-role,participant-role
23,0.0,"235, 241","235, 241",0,myself,myself,participant-role,participant-role
26,0.0,"271, 279","271, 279",0,8 pounds,8 pounds,participant-role,participant-role
27,0.0,"280, 284","280, 284",0,gone,gone,main,main
27,0.0,"280, 284","280, 284",0,gone,gone,verb,verb
35,1.0,"366, 370","366, 371",1,loss,loss!,participant-role,participant-role
31,0.0,"298, 303","298, 303",0,think,think,main,main
31,0.0,"298, 303","298, 303",0,think,think,verb,verb
34,0.0,"363, 365","363, 365",0,is,is,main,main
34,0.0,"363, 365","363, 365",0,is,is,verb,verb
8,0.0,"316, 318","316, 318",0,is,is,main,main
8,0.0,"316, 318","316, 318",0,is,is,verb,verb
7,0.0,"304, 315","304, 315",0,a lot of it,a lot of it,participant-role,participant-role
33,2.0,"358, 362","356, 362",2,loss,", loss",participant-role,participant-role
32,0.0,"304, 347","304, 347",0,a lot of it is water weight and muscle loss,a lot of it is water weight and muscle loss,participant-role,participant-role
25,0.0,"319, 347","319, 347",0,water weight and muscle loss,water weight and muscle loss,participant-role,participant-role
30,0.0,"296, 297","296, 297",0,I,I,participant-role,participant-role
39,1.0,"375, 376","374, 376",1,s,'s,main,main
39,1.0,"375, 376","374, 376",1,s,'s,verb,verb
138,5.0,"403, 410","398, 410",5,feeling,been feeling,main,main
138,5.0,"403, 410","398, 410",5,feeling,been feeling,verb,verb
41,0.0,"393, 394","393, 394",0,I,I,participant-role,participant-role
137,5.0990195135927845,"395, 402","394, 397",6,ve been,'ve,verb,verb
139,4.0,"388, 392","384, 392",4,full,how full,participant-role,participant-role
38,0.0,"372, 374","372, 374",0,It,It,participant-role,participant-role
40,0.0,"377, 383","377, 383",0,so odd,so odd,participant-role,participant-role
46,1.0,"439, 499","439, 500",1,how easily restricting is coming back to me this time around,how easily restricting is coming back to me this time around.,participant-role,participant-role
45,4.0,"428, 438","424, 438",4,understand,n't understand,main,main
45,4.0,"428, 438","424, 438",4,understand,n't understand,verb,verb
141,0.0,"450, 461","450, 461",0,restricting,restricting,participant-role,participant-role
44,0.0,"422, 424","422, 424",0,do,do,verb,verb
143,5.0,"465, 476","465, 471",5,coming back,coming,main,main
143,5.0,"465, 476","465, 471",5,coming back,coming,verb,verb
43,0.0,"420, 421","420, 421",0,I,I,participant-role,participant-role
142,0.0,"462, 464","462, 464",0,is,is,verb,verb
48,0.0,"515, 521","515, 521",0,school,school,participant-role,participant-role
51,3.0,"533, 536","530, 536",3,end,to end,main,main
51,3.0,"533, 536","530, 536",3,end,to end,verb,verb
56,0.0,"600, 621","600, 621",0,school-related stress,school-related stress,participant-role,participant-role
55,27.784887978899608,"563, 569","549, 593",38,around,little stress around ( except about finals ),participant-role,participant-role
57,0.0,"622, 624","622, 624",0,is,is,main,main
57,0.0,"622, 624","622, 624",0,is,is,verb,verb
58,1.0,"625, 646","625, 647",1,my main binge-trigger,my main binge-trigger.,participant-role,participant-role
66,1.0,"762, 763","761, 763",1,s,'s,main,main
66,1.0,"762, 763","761, 763",1,s,'s,verb,verb
61,102.0,"660, 715","660, 817",102,"eating a can of tuna every day is keeping me going, too","eating a can of tuna every day is keeping me going, too, because ( even though it's sooo low-cal ) it's almost completely protein, and keeping my body happy.",participant-role,participant-role
148,6.0,"702, 710","702, 704",6,me going,me,participant-role,participant-role
59,0.0,"652, 653","652, 653",0,I,I,participant-role,participant-role
69,0.0,"803, 810","803, 810",0,my body,my body,participant-role,participant-role
64,0.0,"744, 756","744, 756",0,sooo low-cal,sooo low-cal,participant-role,participant-role
147,0.0,"694, 701","694, 701",0,keeping,keeping,main,main
147,0.0,"694, 701","694, 701",0,keeping,keeping,verb,verb
67,7.0,"771, 789","764, 789",7,completely protein,almost completely protein,participant-role,participant-role
63,1.0,"742, 743","741, 743",1,s,'s,main,main
63,1.0,"742, 743","741, 743",1,s,'s,verb,verb
50,7.0,"660, 690","667, 690",7,eating a can of tuna every day,a can of tuna every day,participant-role,participant-role
146,0.0,"691, 693","691, 693",0,is,is,verb,verb
68,0.0,"795, 802","795, 802",0,keeping,keeping,main,main
68,0.0,"795, 802","795, 802",0,keeping,keeping,verb,verb
65,0.0,"759, 761","759, 761",0,it,it,participant-role,participant-role
62,0.0,"739, 741","739, 741",0,it,it,participant-role,participant-role
70,8.06225774829855,"811, 816","803, 817",9,happy,my body happy.,participant-role,participant-role
60,0.0,"654, 659","654, 659",0,think,think,main,main
60,0.0,"654, 659","654, 659",0,think,think,verb,verb
150,0.0,"832, 833","832, 833",0,I,I,participant-role,participant-role
151,1.0,"834, 835","833, 835",1,m,'m,verb,verb
153,8.0,"844, 866","844, 858",8,"enough veggies, though",enough veggies,participant-role,participant-role
152,0.0,"836, 843","836, 843",0,getting,getting,main,main
152,0.0,"836, 843","836, 843",0,getting,getting,verb,verb
72,0.0,"820, 822","820, 822",0,do,do,verb,verb
73,4.0,"826, 831","822, 831",4,think,n't think,main,main
73,4.0,"826, 831","822, 831",4,think,n't think,verb,verb
71,0.0,"818, 819","818, 819",0,I,I,participant-role,participant-role
74,8.0,"832, 866","832, 858",8,"I'm getting enough veggies, though",I'm getting enough veggies,participant-role,participant-role
81,0.0,"941, 945","941, 945",0,open,open,participant-role,participant-role
75,0.0,"868, 869","868, 869",0,I,I,participant-role,participant-role
79,0.0,"929, 932","929, 932",0,has,has,verb,verb
77,10.0,"883, 900","883, 910",10,a salad for lunch,a salad for lunch at school,participant-role,participant-role
76,0.0,"878, 882","878, 882",0,have,have,main,main
