Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,160,,236,,0.614406779661017,0.90625,0.7323232323232324
,
INTERPERSONAL-FUNCTION,106,66.25,125,52.96610169491526,0.76,0.8962264150943396,0.8225108225108226
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,70,66.0377358490566,78,62.4,0.782051282051282,0.8714285714285714,0.8243243243243245
complement-direct,0,0.0,0,0.0,-1,-1,-1.0
complement-indirect,0,0.0,0,0.0,-1,-1,-1.0
predicator,36,33.9622641509434,47,37.6,0.723404255319149,0.9444444444444444,0.8192771084337349
,
GROUP-TYPE,54,33.75,63,26.69491525423729,0.7936507936507936,0.9259259259259259,0.8547008547008547
nominal-group,0,0.0,0,0.0,-1,-1,-1.0
verbal-group,54,100.0,63,100.0,0.7936507936507936,0.9259259259259259,0.8547008547008547
prepositional-group,0,0.0,0,0.0,-1,-1,-1.0
adverbial-group,0,0.0,0,0.0,-1,-1,-1.0
adjectival-group,0,0.0,0,0.0,-1,-1,-1.0
,
Mann <=> Auto Mapping,
process,clause
main,predicator
participant-role,"subject, complement"
verb,verbal-group
