,,Relaxed/Lambda Match Statistics
,Precission,0.1926782273603083
,Recall,0.5988023952095808
,F1,0.2915451895043732
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
159,22.561028345356956,"43, 93","38, 71",27,I've been hanging on so well since my brother left,that I've been hanging on so well,phenomenon,phenomenon
6,5.830951894845301,"53, 63","48, 60",8,hanging on,been hanging,main,main
3,11.0,"20, 37","31, 37",11,sooo happy to say,to say,main,main
4,0.0,"43, 44","43, 44",0,I,I,agent,agent
9,26.627053911388696,"16, 93","31, 71",37,I'm sooo happy to say that I've been hanging on so well since my brother left,to say that I've been hanging on so well,mental,mental
10,22.561028345356956,"43, 93","38, 71",27,I've been hanging on so well since my brother left,that I've been hanging on so well,action,action
13,0.0,"105, 112","105, 112",0,keeping,keeping,main,main
22,0.0,"227, 234","227, 234",0,weighed,weighed,main,main
21,0.0,"225, 226","225, 226",0,I,I,agent,agent
23,0.0,"235, 241","235, 241",0,myself,myself,affected,affected
26,0.0,"271, 279","271, 279",0,8 pounds,8 pounds,agent,agent
29,1.0,"271, 294","271, 295",1,8 pounds gone in a week,8 pounds gone in a week.,action,action
27,0.0,"280, 284","280, 284",0,gone,gone,main,main
35,1.0,"366, 370","366, 371",1,loss,loss!,attribute,attribute
31,0.0,"298, 303","298, 303",0,think,think,main,main
34,0.0,"363, 365","363, 365",0,is,is,main,main
36,5.0,"296, 347","296, 352",5,I think a lot of it is water weight and muscle loss,"I think a lot of it is water weight and muscle loss, but",mental,mental
36,5.0,"296, 347","296, 352",5,I think a lot of it is water weight and muscle loss,"I think a lot of it is water weight and muscle loss, but",two-role-cognition,two-role-cognition
8,0.0,"316, 318","316, 318",0,is,is,main,main
37,5.0990195135927845,"358, 370","353, 371",6,loss is loss,"hey, loss is loss!",attributive,attributive
37,5.0990195135927845,"358, 370","353, 371",6,loss is loss,"hey, loss is loss!",relational,relational
33,2.0,"358, 362","356, 362",2,loss,", loss",carrier,carrier
32,0.0,"304, 347","304, 347",0,a lot of it is water weight and muscle loss,a lot of it is water weight and muscle loss,phenomenon,phenomenon
30,0.0,"296, 297","296, 297",0,I,I,cognizant,cognizant
39,1.0,"375, 376","374, 376",1,s,'s,main,main
138,5.0,"403, 410","398, 410",5,feeling,been feeling,main,main
41,0.0,"393, 394","393, 394",0,I,I,carrier,carrier
139,4.0,"388, 392","384, 392",4,full,how full,attribute,attribute
140,8.94427190999916,"388, 411","384, 419",12,"full I've been feeling,","how full I've been feeling, though.",attributive,attributive
145,11.045361017187261,"450, 499","439, 500",12,restricting is coming back to me this time around,how easily restricting is coming back to me this time around.,directional,directional
46,1.0,"439, 499","439, 500",1,how easily restricting is coming back to me this time around,how easily restricting is coming back to me this time around.,phenomenon,phenomenon
47,1.0,"420, 499","420, 500",1,I don't understand how easily restricting is coming back to me this time around,I don't understand how easily restricting is coming back to me this time around.,mental,mental
47,1.0,"420, 499","420, 500",1,I don't understand how easily restricting is coming back to me this time around,I don't understand how easily restricting is coming back to me this time around.,two-role-cognition,two-role-cognition
45,4.0,"428, 438","424, 438",4,understand,n't understand,main,main
141,0.0,"450, 461","450, 461",0,restricting,restricting,carrier,carrier
144,0.0,"477, 482","477, 482",0,to me,to me,destination,destination
143,5.0,"465, 476","465, 471",5,coming back,coming,main,main
43,0.0,"420, 421","420, 421",0,I,I,cognizant,cognizant
51,3.0,"533, 536","530, 536",3,end,to end,main,main
119,4.123105625617661,"600, 646","596, 647",5,school-related stress is my main binge-trigger,and school-related stress is my main binge-trigger.,attributive,attributive
119,4.123105625617661,"600, 646","596, 647",5,school-related stress is my main binge-trigger,and school-related stress is my main binge-trigger.,relational,relational
56,0.0,"600, 621","600, 621",0,school-related stress,school-related stress,carrier,carrier
57,0.0,"622, 624","622, 624",0,is,is,main,main
58,1.0,"625, 646","625, 647",1,my main binge-trigger,my main binge-trigger.,attribute,attribute
66,1.0,"762, 763","761, 763",1,s,'s,main,main
61,102.0,"660, 715","660, 817",102,"eating a can of tuna every day is keeping me going, too","eating a can of tuna every day is keeping me going, too, because ( even though it's sooo low-cal ) it's almost completely protein, and keeping my body happy.",phenomenon,phenomenon
59,0.0,"652, 653","652, 653",0,I,I,cognizant,cognizant
121,2.8284271247461903,"727, 756","725, 758",4,even though it's sooo low-cal,( even though it's sooo low-cal ),relational,relational
122,0.0,"759, 789","759, 789",0,it's almost completely protein,it's almost completely protein,attributive,attributive
122,0.0,"759, 789","759, 789",0,it's almost completely protein,it's almost completely protein,relational,relational
147,0.0,"694, 701","694, 701",0,keeping,keeping,main,main
67,7.0,"771, 789","764, 789",7,completely protein,almost completely protein,attribute,attribute
