,,Relaxed/Lambda Match Statistics
,Precission,0.6403162055335968
,Recall,0.9101123595505618
,F1,0.7517401392111368
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
7,1.0,"70, 71","69, 71",1,m,'m,verb,verb
8,0.0,"72, 84","72, 84",0,experiencing,experiencing,main,main
8,0.0,"72, 84","72, 84",0,experiencing,experiencing,verb,verb
4,5.0,"41, 48","36, 48",5,lurking,been lurking,main,main
4,5.0,"41, 48","36, 48",5,lurking,been lurking,verb,verb
9,15.0,"85, 113","85, 98",15,some problems in my marriage,some problems,participant-role,participant-role
6,0.0,"68, 69","68, 69",0,I,I,participant-role,participant-role
1,0.0,"31, 32","31, 32",0,I,I,participant-role,participant-role
2,5.0990195135927845,"33, 40","32, 35",6,ve been,'ve,verb,verb
13,1.0,"120, 121","119, 121",1,s,'s,main,main
13,1.0,"120, 121","119, 121",1,s,'s,verb,verb
12,0.0,"115, 119","115, 119",0,Here,Here,participant-role,participant-role
14,1.0,"122, 147","122, 148",1,a quick bit of background,a quick bit of background.,participant-role,participant-role
18,0.0,"153, 166","153, 166",0,a married man,a married man,participant-role,participant-role
19,8.0,"168, 172","168, 180",8,been,been married,main,main
19,8.0,"168, 172","168, 180",8,been,been married,verb,verb
17,1.0,"151, 152","150, 152",1,m,'m,main,main
17,1.0,"151, 152","150, 152",1,m,'m,verb,verb
16,0.0,"149, 150","149, 150",0,I,I,participant-role,participant-role
25,17.0,"201, 232","201, 215",17,"three children, aged 6, 4 and 2",three children,participant-role,participant-role
24,0.0,"196, 200","196, 200",0,have,have,verb,verb
23,0.0,"194, 195","194, 195",0,I,I,participant-role,participant-role
30,5.0,"243, 253","243, 248",5,deals with,deals,main,main
30,5.0,"243, 253","243, 248",5,deals with,deals,verb,verb
29,0.0,"234, 242","234, 242",0,My issue,My issue,participant-role,participant-role
34,0.0,"321, 324","321, 324",0,was,was,main,main
34,0.0,"321, 324","321, 324",0,was,was,verb,verb
38,0.0,"358, 362","358, 362",0,been,been,main,main
38,0.0,"358, 362","358, 362",0,been,been,verb,verb
35,0.0,"325, 332","325, 332",0,younger,younger,participant-role,participant-role
37,0.0,"353, 357","353, 357",0,have,have,verb,verb
39,1.0,"363, 369","363, 370",1,female,female.,participant-role,participant-role
36,2.0,"334, 352","332, 352",2,most of my friends,", most of my friends",participant-role,participant-role
33,0.0,"319, 320","319, 320",0,I,I,participant-role,participant-role
44,0.0,"384, 388","384, 388",0,this,this,participant-role,participant-role
43,0.0,"379, 383","379, 383",0,knew,knew,main,main
43,0.0,"379, 383","379, 383",0,knew,knew,verb,verb
42,0.0,"371, 378","371, 378",0,My wife,My wife,participant-role,participant-role
48,10.0,"402, 422","402, 412",10,no problem with this,no problem,participant-role,participant-role
47,0.0,"398, 401","398, 401",0,had,had,main,main
47,0.0,"398, 401","398, 401",0,had,had,verb,verb
46,0.0,"394, 397","394, 397",0,has,has,verb,verb
54,2.0,"495, 498","493, 498",2,who,", who",participant-role,participant-role
50,0.0,"446, 447","446, 447",0,I,I,participant-role,participant-role
51,1.0,"448, 450","447, 450",1,ve,'ve,verb,verb
58,1.0,"518, 524","518, 525",1,female,female.,participant-role,participant-role
56,0.0,"512, 517","512, 517",0,to be,to be,main,main
56,0.0,"512, 517","512, 517",0,to be,to be,verb,verb
53,32.0,"465, 493","465, 525",32,a mutual friend of 6 + years,"a mutual friend of 6 + years, who also happens to be female.",participant-role,participant-role
52,0.0,"451, 464","451, 464",0,been visiting,been visiting,main,main
52,0.0,"451, 464","451, 464",0,been visiting,been visiting,verb,verb
55,0.0,"504, 511","504, 511",0,happens,happens,verb,verb
64,0.0,"586, 589","586, 589",0,are,are,main,main
64,0.0,"586, 589","586, 589",0,are,are,verb,verb
63,0.0,"577, 585","577, 585",0,the kids,the kids,participant-role,participant-role
60,0.0,"526, 535","526, 535",0,My visits,My visits,participant-role,participant-role
61,3.0,"536, 546","536, 543",3,consist of,consist,main,main
61,3.0,"536, 546","536, 543",3,consist of,consist,verb,verb
65,0.0,"590, 596","590, 596",0,asleep,asleep,participant-role,participant-role
76,8.0,"671, 683","671, 691",8,other people,other people present,participant-role,participant-role
70,0.0,"622, 632","622, 632",0,The visits,The visits,participant-role,participant-role
75,0.0,"667, 670","667, 670",0,are,are,main,main
75,0.0,"667, 670","667, 670",0,are,are,verb,verb
71,0.0,"633, 636","633, 636",0,are,are,main,main
71,0.0,"633, 636","633, 636",0,are,are,verb,verb
