Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,178,,253,,0.6403162055335968,0.9101123595505618,0.7517401392111368
,
INTERPERSONAL-FUNCTION,123,69.10112359550563,135,53.359683794466406,0.8074074074074075,0.8861788617886179,0.8449612403100776
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,81,65.85365853658537,84,62.22222222222222,0.8452380952380952,0.8765432098765432,0.8606060606060606
complement-direct,0,0.0,0,0.0,-1,-1,-1.0
complement-indirect,0,0.0,0,0.0,-1,-1,-1.0
predicator,42,34.146341463414636,51,37.77777777777778,0.7450980392156863,0.9047619047619048,0.8172043010752689
,
GROUP-TYPE,55,30.89887640449438,66,26.08695652173913,0.803030303030303,0.9636363636363636,0.8760330578512396
nominal-group,0,0.0,0,0.0,-1,-1,-1.0
verbal-group,55,100.0,66,100.0,0.803030303030303,0.9636363636363636,0.8760330578512396
prepositional-group,0,0.0,0,0.0,-1,-1,-1.0
adverbial-group,0,0.0,0,0.0,-1,-1,-1.0
adjectival-group,0,0.0,0,0.0,-1,-1,-1.0
,
Mann <=> Auto Mapping,
process,clause
main,predicator
participant-role,"subject, complement"
verb,verbal-group
