,,Relaxed/Lambda Match Statistics
,Precission,0.2754237288135593
,Recall,0.6598984771573604
,F1,0.3886397608370703
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
11,8.06225774829855,"68, 113","60, 114",9,I'm experiencing some problems in my marriage,because I'm experiencing some problems in my marriage.,mental,mental
11,8.06225774829855,"68, 113","60, 114",9,I'm experiencing some problems in my marriage,because I'm experiencing some problems in my marriage.,two-role-perception,two-role-perception
8,0.0,"72, 84","72, 84",0,experiencing,experiencing,main,main
4,5.0,"41, 48","36, 48",5,lurking,been lurking,main,main
9,15.0,"85, 113","85, 98",15,some problems in my marriage,some problems,phenomenon,phenomenon
6,0.0,"68, 69","68, 69",0,I,I,agent-perceiver,agent-perceiver
13,1.0,"120, 121","119, 121",1,s,'s,main,main
12,0.0,"115, 119","115, 119",0,Here,Here,carrier,carrier
15,1.0,"115, 147","115, 148",1,Here's a quick bit of background,Here's a quick bit of background.,attributive,attributive
15,1.0,"115, 147","115, 148",1,Here's a quick bit of background,Here's a quick bit of background.,relational,relational
14,1.0,"122, 147","122, 148",1,a quick bit of background,a quick bit of background.,attribute,attribute
18,0.0,"153, 166","153, 166",0,a married man,a married man,attribute,attribute
19,8.0,"168, 172","168, 180",8,been,been married,main,main
17,1.0,"151, 152","150, 152",1,m,'m,main,main
21,19.026297590440446,"168, 192","149, 193",20,been married for 7 years,"I'm a married man, been married for 7 years.",attributive,attributive
21,19.026297590440446,"168, 192","149, 193",20,been married for 7 years,"I'm a married man, been married for 7 years.",relational,relational
16,0.0,"149, 150","149, 150",0,I,I,carrier,carrier
30,5.0,"243, 253","243, 248",5,deals with,deals,main,main
32,31.016124838541646,"234, 311","265, 312",32,"My issue deals with friendship getting in the way of marriage, and vice-versa","getting in the way of marriage, and vice-versa.",action,action
31,25.495097567963924,"254, 295","273, 312",35,friendship getting in the way of marriage,"in the way of marriage, and vice-versa.",affected,affected
34,0.0,"321, 324","321, 324",0,was,was,main,main
38,0.0,"358, 362","358, 362",0,been,been,main,main
35,0.0,"325, 332","325, 332",0,younger,younger,attribute,attribute
40,6.0,"319, 332","313, 332",6,I was younger,Since I was younger,attributive,attributive
40,6.0,"319, 332","313, 332",6,I was younger,Since I was younger,relational,relational
41,21.02379604162864,"334, 369","313, 370",22,most of my friends have been female,"Since I was younger, most of my friends have been female.",attributive,attributive
41,21.02379604162864,"334, 369","313, 370",22,most of my friends have been female,"Since I was younger, most of my friends have been female.",relational,relational
39,1.0,"363, 369","363, 370",1,female,female.,attribute,attribute
36,2.0,"334, 352","332, 352",2,most of my friends,", most of my friends",carrier,carrier
33,0.0,"319, 320","319, 320",0,I,I,carrier,carrier
44,0.0,"384, 388","384, 388",0,this,this,phenomenon,phenomenon
43,0.0,"379, 383","379, 383",0,knew,knew,main,main
42,0.0,"371, 378","371, 378",0,My wife,My wife,cognizant,cognizant
49,25.317977802344327,"394, 437","390, 412",29,has had no problem with this until recently,and has had no problem,relational,relational
49,25.317977802344327,"394, 437","390, 412",29,has had no problem with this until recently,and has had no problem,possessive,possessive
48,10.0,"402, 422","402, 412",10,no problem with this,no problem,possessed,possessed
47,0.0,"398, 401","398, 401",0,had,had,main,main
45,1.0,"371, 388","371, 389",1,My wife knew this,"My wife knew this,",mental,mental
45,1.0,"371, 388","371, 389",1,My wife knew this,"My wife knew this,",two-role-cognition,two-role-cognition
59,17.029386365926403,"495, 524","512, 525",18,who also happens to be female,to be female.,attributive,attributive
59,17.029386365926403,"495, 524","512, 525",18,who also happens to be female,to be female.,relational,relational
50,0.0,"446, 447","446, 447",0,I,I,agent,agent
58,1.0,"518, 524","518, 525",1,female,female.,attribute,attribute
56,0.0,"512, 517","512, 517",0,to be,to be,main,main
53,32.0,"465, 493","465, 525",32,a mutual friend of 6 + years,"a mutual friend of 6 + years, who also happens to be female.",affected,affected
52,0.0,"451, 464","451, 464",0,been visiting,been visiting,main,main
62,6.0,"547, 565","553, 565",6,going to her house,to her house,attribute,attribute
64,0.0,"586, 589","586, 589",0,are,are,main,main
68,11.0,"577, 596","566, 596",11,the kids are asleep,well after the kids are asleep,attributive,attributive
68,11.0,"577, 596","566, 596",11,the kids are asleep,well after the kids are asleep,relational,relational
61,3.0,"536, 546","536, 543",3,consist of,consist,main,main
65,0.0,"590, 596","590, 596",0,asleep,asleep,attribute,attribute
78,1.0,"661, 702","661, 703",1,there are other people present every time,there are other people present every time.,locational,locational
78,1.0,"661, 702","661, 703",1,there are other people present every time,there are other people present every time.,relational,relational
77,13.0,"684, 691","671, 691",13,present,other people present,attribute,attribute
70,0.0,"622, 632","622, 632",0,The visits,The visits,carrier,carrier
73,6.0,"622, 654","622, 660",6,The visits are strictly platonic,"The visits are strictly platonic, plus",relational,relational
75,0.0,"667, 670","667, 670",0,are,are,main,main
71,0.0,"633, 636","633, 636",0,are,are,main,main
80,0.0,"712, 717","712, 717",0,feels,feels,main,main
85,4.0,"748, 752","744, 752",4,have,not have,main,main
82,34.0,"704, 767","704, 801",34,My wife feels that a married man should not have female friends,"My wife feels that a married man should not have female friends, unless they are married as well.",mental,mental
83,0.0,"723, 736","723, 736",0,a married man,a married man,carrier,carrier
81,30.0,"723, 767","753, 767",30,a married man should not have female friends,female friends,phenomenon,phenomenon
86,0.0,"753, 767","753, 767",0,female friends,female friends,possessed,possessed
94,1.0,"802, 929","802, 930",1,"She says that if I wish to continue seeing this friend or any other female friend, she must also be present or we must separate","She says that if I wish to continue seeing this friend or any other female friend, she must also be present or we must separate.",mental,mental
94,1.0,"802, 929","802, 930",1,"She says that if I wish to continue seeing this friend or any other female friend, she must also be present or we must separate","She says that if I wish to continue seeing this friend or any other female friend, she must also be present or we must separate.",three-role-cognition,three-role-cognition
99,2.0,"885, 888","883, 888",2,she,", she",carrier,carrier
93,0.0,"806, 810","806, 810",0,says,says,main,main
102,21.0,"902, 909","902, 930",21,present,present or we must separate.,attribute,attribute
96,0.0,"821, 825","821, 825",0,wish,wish,main,main
98,3.0,"819, 883","816, 883",3,I wish to continue seeing this friend or any other female friend,if I wish to continue seeing this friend or any other female friend,mental,mental
95,0.0,"819, 820","819, 820",0,I,I,emoter,emoter
92,0.0,"802, 805","802, 805",0,She,She,agent,agent
3,10.04987562112089,"821, 929","811, 930",11,"wish to continue seeing this friend or any other female friend, she must also be present or we must separate","that if I wish to continue seeing this friend or any other female friend, she must also be present or we must separate.",phenomenon,phenomenon
101,0.0,"899, 901","899, 901",0,be,be,main,main
97,0.0,"826, 883","826, 883",0,to continue seeing this friend or any other female friend,to continue seeing this friend or any other female friend,phenomenon,phenomenon
113,0.0,"995, 997","995, 997",0,am,am,main,main
115,18.027756377319946,"975, 1015","993, 1016",19,every other night I am home with my wife,I am home with my wife.,relational,relational
