,,Relaxed/Lambda Match Statistics
,Precission,0.5850622406639004
,Recall,0.9038461538461539
,F1,0.7103274559193955
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
2,0.0,"20, 27","20, 27",0,someone,someone,participant-role,participant-role
3,0.0,"28, 33","28, 33",0,spark,spark,main,main
3,0.0,"28, 33","28, 33",0,spark,spark,verb,verb
4,0.0,"34, 41","34, 41",0,a light,a light,participant-role,participant-role
1,0.0,"16, 19","16, 19",0,Can,Can,verb,verb
8,0.0,"111, 115","111, 115",0,like,like,main,main
8,0.0,"111, 115","111, 115",0,like,like,verb,verb
6,23.0,"66, 87","66, 110",23,My husband of 5 years,My husband of 5 years does not ( never has ),participant-role,participant-role
7,4.0,"88, 92","88, 96",4,does,does not,verb,verb
9,1.0,"116, 139","116, 140",1,to hold hands in public,to hold hands in public!,participant-role,participant-role
15,0.0,"162, 163","162, 163",0,I,I,participant-role,participant-role
21,0.0,"199, 205","199, 205",0,wonder,wonder,main,main
21,0.0,"199, 205","199, 205",0,wonder,wonder,verb,verb
17,3.0,"167, 174","167, 171",3,used to,used,main,main
17,3.0,"167, 174","167, 171",3,used to,used,verb,verb
12,0.0,"143, 145","143, 145",0,am,am,verb,verb
11,0.0,"141, 142","141, 142",0,I,I,participant-role,participant-role
20,0.0,"197, 198","197, 198",0,I,I,participant-role,participant-role
16,0.0,"164, 166","164, 166",0,am,am,verb,verb
25,0.0,"234, 238","234, 238",0,feel,feel,main,main
25,0.0,"234, 238","234, 238",0,feel,feel,verb,verb
24,0.0,"225, 226","225, 226",0,I,I,participant-role,participant-role
28,0.0,"249, 250","249, 250",0,I,I,participant-role,participant-role
33,0.0,"291, 292","291, 292",0,I,I,participant-role,participant-role
34,0.0,"293, 295","293, 295",0,do,do,verb,verb
36,1.0,"304, 325","304, 326",1,this direct rejection,this direct rejection.,participant-role,participant-role
30,8.94427190999916,"257, 270","253, 262",12,reach out for,n't reach,main,main
30,8.94427190999916,"257, 270","253, 262",12,reach out for,n't reach,verb,verb
35,4.0,"299, 303","295, 303",4,want,n't want,main,main
35,4.0,"299, 303","295, 303",4,want,n't want,verb,verb
29,0.0,"251, 253","251, 253",0,do,do,verb,verb
41,0.0,"339, 341","339, 341",0,me,me,participant-role,participant-role
38,0.0,"327, 329","327, 329",0,He,He,participant-role,participant-role
45,0.0,"354, 358","354, 358",0,know,know,main,main
45,0.0,"354, 358","354, 358",0,know,know,verb,verb
42,5.0990195135927845,"347, 394","342, 395",6,"people know we are together, no need to show it","that people know we are together, no need to show it.",participant-role,participant-role
44,0.0,"347, 353","347, 353",0,people,people,participant-role,participant-role
40,0.0,"334, 338","334, 338",0,told,told,main,main
40,0.0,"334, 338","334, 338",0,told,told,verb,verb
39,0.0,"330, 333","330, 333",0,has,has,verb,verb
46,13.0,"359, 374","359, 361",13,we are together,we,participant-role,participant-role
51,0.0,"401, 403","401, 403",0,is,is,verb,verb
52,0.0,"404, 406","404, 406",0,he,he,participant-role,participant-role
54,1.0,"414, 420","414, 421",1,to say,to say?,participant-role,participant-role
53,0.0,"407, 413","407, 413",0,trying,trying,main,main
53,0.0,"407, 413","407, 413",0,trying,trying,verb,verb
55,3.0,"422, 450","422, 453",3,Another thing that upsets me,Another thing that upsets me is,participant-role,participant-role
60,0.0,"448, 450","448, 450",0,me,me,participant-role,participant-role
58,0.0,"436, 440","436, 440",0,that,that,participant-role,participant-role
59,0.0,"441, 447","441, 447",0,upsets,upsets,main,main
59,0.0,"441, 447","441, 447",0,upsets,upsets,verb,verb
56,0.0,"451, 453","451, 453",0,is,is,main,main
56,0.0,"451, 453","451, 453",0,is,is,verb,verb
