Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,156,,241,,0.5850622406639004,0.9038461538461539,0.7103274559193955
,
INTERPERSONAL-FUNCTION,105,67.3076923076923,123,51.037344398340245,0.7479674796747967,0.8761904761904762,0.807017543859649
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,70,66.66666666666666,72,58.536585365853654,0.8333333333333334,0.8571428571428571,0.8450704225352113
complement-direct,0,0.0,0,0.0,-1,-1,-1.0
complement-indirect,0,0.0,0,0.0,-1,-1,-1.0
predicator,35,33.33333333333333,51,41.46341463414634,0.6274509803921569,0.9142857142857143,0.7441860465116279
,
GROUP-TYPE,51,32.69230769230769,67,27.800829875518673,0.7313432835820896,0.9607843137254902,0.8305084745762712
nominal-group,0,0.0,0,0.0,-1,-1,-1.0
verbal-group,51,100.0,67,100.0,0.7313432835820896,0.9607843137254902,0.8305084745762712
prepositional-group,0,0.0,0,0.0,-1,-1,-1.0
adverbial-group,0,0.0,0,0.0,-1,-1,-1.0
adjectival-group,0,0.0,0,0.0,-1,-1,-1.0
,
Mann <=> Auto Mapping,
process,clause
main,predicator
participant-role,"subject, complement"
verb,verbal-group
