,,Relaxed/Lambda Match Statistics
,Precission,0.24634146341463414
,Recall,0.643312101910828
,F1,0.3562610229276896
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
3,0.0,"28, 33","28, 33",0,spark,spark,main,main
8,0.0,"111, 115","111, 115",0,like,like,main,main
6,23.0,"66, 87","66, 110",23,My husband of 5 years,My husband of 5 years does not ( never has ),emoter,emoter
9,1.0,"116, 139","116, 140",1,to hold hands in public,to hold hands in public!,phenomenon,phenomenon
10,1.0,"66, 139","66, 140",1,My husband of 5 years does not ( never has ) like to hold hands in public,My husband of 5 years does not ( never has ) like to hold hands in public!,mental,mental
21,0.0,"199, 205","199, 205",0,wonder,wonder,main,main
17,3.0,"167, 174","167, 171",3,used to,used,main,main
25,0.0,"234, 238","234, 238",0,feel,feel,main,main
33,0.0,"291, 292","291, 292",0,I,I,emoter,emoter
36,1.0,"304, 325","304, 326",1,this direct rejection,this direct rejection.,phenomenon,phenomenon
30,8.94427190999916,"257, 270","253, 262",12,reach out for,n't reach,main,main
35,4.0,"299, 303","295, 303",4,want,n't want,main,main
37,11.045361017187261,"291, 325","280, 326",12,I don't want this direct rejection,anymore as I don't want this direct rejection.,mental,mental
47,21.587033144922902,"347, 374","342, 395",26,people know we are together,"that people know we are together, no need to show it.",two-role-cognition,two-role-cognition
41,0.0,"339, 341","339, 341",0,me,me,affected-cognizant,affected-cognizant
38,0.0,"327, 329","327, 329",0,He,He,agent,agent
45,0.0,"354, 358","354, 358",0,know,know,main,main
42,5.0990195135927845,"347, 394","342, 395",6,"people know we are together, no need to show it","that people know we are together, no need to show it.",phenomenon,phenomenon
43,1.0,"327, 394","327, 395",1,"He has told me that people know we are together, no need to show it","He has told me that people know we are together, no need to show it.",mental,mental
43,1.0,"327, 394","327, 395",1,"He has told me that people know we are together, no need to show it","He has told me that people know we are together, no need to show it.",three-role-cognition,three-role-cognition
44,0.0,"347, 353","347, 353",0,people,people,cognizant,cognizant
40,0.0,"334, 338","334, 338",0,told,told,main,main
52,0.0,"404, 406","404, 406",0,he,he,agent,agent
54,1.0,"414, 420","414, 421",1,to say,to say?,phenomenon,phenomenon
53,0.0,"407, 413","407, 413",0,trying,trying,main,main
59,0.0,"441, 447","441, 447",0,upsets,upsets,main,main
56,0.0,"451, 453","451, 453",0,is,is,main,main
67,1.0,"464, 496","464, 497",1,I don't want to sound as a child,"I don't want to sound as a child,",mental,mental
69,0.0,"554, 556","554, 556",0,he,he,agent,agent
72,19.0,"566, 584","566, 603",19,a little something,a little something for my birthday or,possessed,possessed
65,4.0,"472, 476","468, 476",4,want,n't want,main,main
63,0.0,"464, 465","464, 465",0,I,I,emoter,emoter
66,0.0,"477, 496","477, 496",0,to sound as a child,to sound as a child,phenomenon,phenomenon
