,,Relaxed/Lambda Match Statistics
,Precission,0.8214285714285714
,Recall,0.8646616541353384
,F1,0.8424908424908425
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,4.123105625617661,"20, 27","16, 28",5,I'm new,"Hi, I'm new.",configuration,configuration
2,1.0,"22, 23","21, 23",1,m,'m,main,main
1,2.0,"20, 21","18, 21",2,I,", I",participant-role,participant-role
137,10.0,"50, 88","60, 88",10,qualified as having an eating disorder,as having an eating disorder,participant-role,participant-role
5,0.0,"29, 30","29, 30",0,I,I,participant-role,participant-role
8,25.0,"45, 88","70, 88",25,I am qualified as having an eating disorder,an eating disorder,participant-role,participant-role
113,0.0,"45, 46","45, 46",0,I,I,participant-role,participant-role
13,5.0990195135927845,"123, 162","118, 163",6,food and my weight and my big fat belly,with food and my weight and my big fat belly.,participant-role,participant-role
14,65.00769185258002,"94, 162","29, 163",66,I am certainly obsessed with food and my weight and my big fat belly,"I'm not sure if I am qualified as having an eating disorder, but I am certainly obsessed with food and my weight and my big fat belly.",configuration,configuration
10,0.0,"94, 95","94, 95",0,I,I,participant-role,participant-role
138,3.0,"45, 88","42, 88",3,I am qualified as having an eating disorder,if I am qualified as having an eating disorder,configuration,configuration
16,0.0,"164, 165","164, 165",0,I,I,participant-role,participant-role
20,0.0,"175, 193","175, 193",0,a bout of anorexia,a bout of anorexia,participant-role,participant-role
17,0.0,"170, 174","170, 174",0,have,have,main,main
22,0.0,"213, 217","213, 217",0,that,that,participant-role,participant-role
23,0.0,"218, 220","218, 220",0,is,is,main,main
15,6.082762530298219,"164, 207","170, 208",7,I did have a bout of anorexia as a teenager,"have a bout of anorexia as a teenager,",configuration,configuration
25,1.0,"231, 239","231, 240",1,the case,the case.,participant-role,participant-role
21,4.123105625617661,"213, 239","209, 240",5,that is no longer the case,but that is no longer the case.,configuration,configuration
130,0.0,"307, 310","307, 310",0,was,was,main,main
32,29.68164415931166,"257, 289","241, 314",41,am still having these obsessions,I am now 32 and am still having these obsessions as I did since I was 13.,configuration,configuration
36,0.0,"293, 294","293, 294",0,I,I,participant-role,participant-role
125,0.0,"241, 242","241, 242",0,I,I,participant-role,participant-role
131,1.0,"311, 313","311, 314",1,13,13.,participant-role,participant-role
34,6.082762530298219,"305, 313","299, 314",7,I was 13,since I was 13.,configuration,configuration
127,0.0,"243, 245","243, 245",0,am,am,main,main
39,0.0,"273, 289","273, 289",0,these obsessions,these obsessions,participant-role,participant-role
129,0.0,"305, 306","305, 306",0,I,I,participant-role,participant-role
40,0.0,"315, 316","315, 316",0,I,I,participant-role,participant-role
48,63.0317380372777,"357, 370","315, 417",89,use laxatives,"I exercise 1 and 1/2 to 2 hours a day and use laxatives, but not overuse, just the recommended dosage.",configuration,configuration
45,0.0,"317, 325","317, 325",0,exercise,exercise,main,main
42,35.014282800023196,"361, 370","326, 371",36,laxatives,"1 and 1/2 to 2 hours a day and use laxatives,",participant-role,participant-role
50,3.0,"433, 441","433, 438",3,throw up,throw,main,main
51,1.0,"442, 449","442, 450",1,my food,"my food,",participant-role,participant-role
53,21.0,"418, 449","418, 470",21,I occasionally throw up my food,"I occasionally throw up my food, but not that often.",configuration,configuration
49,0.0,"418, 419","418, 419",0,I,I,participant-role,participant-role
57,1.0,"471, 492","471, 493",1,I also use diet pills,I also use diet pills.,configuration,configuration
56,1.0,"482, 492","482, 493",1,diet pills,diet pills.,participant-role,participant-role
54,0.0,"471, 472","471, 472",0,I,I,participant-role,participant-role
55,0.0,"478, 481","478, 481",0,use,use,main,main
58,0.0,"494, 495","494, 495",0,I,I,participant-role,participant-role
60,0.0,"514, 520","514, 520",0,myself,myself,participant-role,participant-role
24,0.0,"506, 513","506, 513",0,measure,measure,main,main
59,0.0,"496, 501","496, 501",0,weigh,weigh,main,main
41,4.123105625617661,"506, 540","502, 541",5,measure myself several times a day,and measure myself several times a day.,configuration,configuration
19,0.0,"494, 501","494, 501",0,I weigh,I weigh,configuration,configuration
73,18.027756377319946,"611, 654","629, 655",19,I am at home with the food most of the time,the food most of the time.,configuration,configuration
64,0.0,"544, 546","544, 546",0,am,am,main,main
68,0.0,"592, 597","592, 597",0,leave,leave,main,main
70,0.0,"611, 612","611, 612",0,I,I,participant-role,participant-role
134,19.4164878389476,"592, 607","581, 623",27,leave the house,and rarely leave the house so I am at home,configuration,configuration
71,0.0,"613, 615","613, 615",0,am,am,main,main
69,0.0,"598, 607","598, 607",0,the house,the house,participant-role,participant-role
63,0.0,"542, 543","542, 543",0,I,I,participant-role,participant-role
