Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,133,,140,,0.8214285714285714,0.8646616541353384,0.8424908424908425
,
RANK,37,27.819548872180448,36,25.71428571428571,0.8611111111111112,0.8378378378378378,0.8493150684931507
clause,37,100.0,36,100.0,0.8611111111111112,0.8378378378378378,0.8493150684931507
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,96,72.18045112781954,104,74.28571428571429,0.8076923076923077,0.875,0.8400000000000001
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,60,62.5,67,64.42307692307693,0.835820895522388,0.9333333333333333,0.8818897637795275
complement-direct,60,62.5,67,64.42307692307693,0.835820895522388,0.9333333333333333,0.8818897637795275
complement-indirect,60,62.5,67,64.42307692307693,0.835820895522388,0.9333333333333333,0.8818897637795275
predicator,36,37.5,37,35.57692307692308,0.7567567567567568,0.7777777777777778,0.7671232876712328
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
