,,Relaxed/Lambda Match Statistics
,Precission,0.26608187134502925
,Recall,0.5909090909090909
,F1,0.3669354838709678
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,4.123105625617661,"20, 27","16, 28",5,I'm new,"Hi, I'm new.",attributive,attributive
4,4.123105625617661,"20, 27","16, 28",5,I'm new,"Hi, I'm new.",relational,relational
2,1.0,"22, 23","21, 23",1,m,'m,main,main
1,2.0,"20, 21","18, 21",2,I,", I",carrier,carrier
8,25.0,"45, 88","70, 88",25,I am qualified as having an eating disorder,an eating disorder,phenomenon,phenomenon
138,18.0,"45, 88","63, 88",18,I am qualified as having an eating disorder,having an eating disorder,relational,relational
138,76.68767828015137,"45, 88","29, 163",91,I am qualified as having an eating disorder,"I'm not sure if I am qualified as having an eating disorder, but I am certainly obsessed with food and my weight and my big fat belly.",attributive,attributive
20,0.0,"175, 193","175, 193",0,a bout of anorexia,a bout of anorexia,possessed,possessed
17,0.0,"170, 174","170, 174",0,have,have,main,main
22,0.0,"213, 217","213, 217",0,that,that,carrier,carrier
23,0.0,"218, 220","218, 220",0,is,is,main,main
15,6.082762530298219,"164, 207","170, 208",7,I did have a bout of anorexia as a teenager,"have a bout of anorexia as a teenager,",relational,relational
15,6.082762530298219,"164, 207","170, 208",7,I did have a bout of anorexia as a teenager,"have a bout of anorexia as a teenager,",possessive,possessive
21,4.123105625617661,"213, 239","209, 240",5,that is no longer the case,but that is no longer the case.,relational,relational
130,0.0,"307, 310","307, 310",0,was,was,main,main
31,62.0,"241, 252","241, 314",62,I am now 32,I am now 32 and am still having these obsessions as I did since I was 13.,attributive,attributive
32,29.68164415931166,"257, 289","241, 314",41,am still having these obsessions,I am now 32 and am still having these obsessions as I did since I was 13.,relational,relational
125,0.0,"241, 242","241, 242",0,I,I,carrier,carrier
131,1.0,"311, 313","311, 314",1,13,13.,attribute,attribute
34,6.082762530298219,"305, 313","299, 314",7,I was 13,since I was 13.,attributive,attributive
34,6.082762530298219,"305, 313","299, 314",7,I was 13,since I was 13.,relational,relational
127,0.0,"243, 245","243, 245",0,am,am,main,main
129,0.0,"305, 306","305, 306",0,I,I,carrier,carrier
40,0.0,"315, 316","315, 316",0,I,I,agent,agent
48,63.0317380372777,"357, 370","315, 417",89,use laxatives,"I exercise 1 and 1/2 to 2 hours a day and use laxatives, but not overuse, just the recommended dosage.",action,action
45,0.0,"317, 325","317, 325",0,exercise,exercise,main,main
50,3.0,"433, 441","433, 438",3,throw up,throw,main,main
51,1.0,"442, 449","442, 450",1,my food,"my food,",affected,affected
53,21.0,"418, 449","418, 470",21,I occasionally throw up my food,"I occasionally throw up my food, but not that often.",action,action
49,0.0,"418, 419","418, 419",0,I,I,agent,agent
57,1.0,"471, 492","471, 493",1,I also use diet pills,I also use diet pills.,action,action
56,1.0,"482, 492","482, 493",1,diet pills,diet pills.,affected,affected
54,0.0,"471, 472","471, 472",0,I,I,agent,agent
55,0.0,"478, 481","478, 481",0,use,use,main,main
24,0.0,"506, 513","506, 513",0,measure,measure,main,main
59,0.0,"496, 501","496, 501",0,weigh,weigh,main,main
73,18.027756377319946,"611, 654","629, 655",19,I am at home with the food most of the time,the food most of the time.,relational,relational
64,0.0,"544, 546","544, 546",0,am,am,main,main
68,0.0,"592, 597","592, 597",0,leave,leave,main,main
70,0.0,"611, 612","611, 612",0,I,I,carrier,carrier
73,43.139309220245984,"611, 654","581, 623",30,I am at home with the food most of the time,and rarely leave the house so I am at home,locational,locational
134,19.4164878389476,"592, 607","581, 623",27,leave the house,and rarely leave the house so I am at home,directional,directional
71,0.0,"613, 615","613, 615",0,am,am,main,main
69,0.0,"598, 607","598, 607",0,the house,the house,source,source
78,25.0,"713, 720","713, 745",25,to cook,to cook so we always have plenty,phenomenon,phenomenon
85,25.317977802344327,"706, 720","702, 745",29,I love to cook,and I love to cook so we always have plenty,mental,mental
84,0.0,"708, 712","708, 712",0,love,love,main,main
81,17.204650534085253,"739, 753","749, 767",15,plenty of food,food in the house.,possessed,possessed
75,3.0,"667, 677","667, 674",3,insists on,insists,main,main
77,0.0,"706, 707","706, 707",0,I,I,emoter,emoter
79,0.0,"724, 726","724, 726",0,we,we,carrier,carrier
86,21.213203435596427,"724, 766","721, 745",24,we always have plenty of food in the house,so we always have plenty,relational,relational
86,21.213203435596427,"724, 766","721, 745",24,we always have plenty of food in the house,so we always have plenty,possessive,possessive
80,0.0,"734, 738","734, 738",0,have,have,main,main
90,1.0,"768, 804","768, 805",1,My problem is with compulsive eating,My problem is with compulsive eating.,relational,relational
88,0.0,"779, 781","779, 781",0,is,is,main,main
93,0.0,"812, 827","812, 827",0,to limit myself,to limit myself,phenomenon,phenomenon
44,0.0,"919, 920","919, 920",0,I,I,agent,agent
92,0.0,"808, 811","808, 811",0,try,try,main,main
94,1.0,"806, 827","806, 828",1,I try to limit myself,"I try to limit myself,",influential,influential
99,4.0,"902, 913","902, 909",4,waiting for,waiting,main,main
97,0.0,"838, 847","838, 847",0,so hungry,so hungry,attribute,attribute
96,0.0,"835, 837","835, 837",0,am,am,main,main
91,0.0,"806, 807","806, 807",0,I,I,agent,agent
102,72.11102550927978,"833, 863","829, 935",76,I am so hungry all of the time,"but I am so hungry all of the time and always thinking of food, and just waiting for when I can eat again.",attributive,attributive
102,72.11102550927978,"833, 863","829, 935",76,I am so hungry all of the time,"but I am so hungry all of the time and always thinking of food, and just waiting for when I can eat again.",relational,relational
95,0.0,"833, 834","833, 834",0,I,I,carrier,carrier
133,0.0,"925, 928","925, 928",0,eat,eat,main,main
107,0.0,"939, 941","939, 941",0,is,is,main,main
