,,Relaxed/Lambda Match Statistics
,Precission,0.7763975155279503
,Recall,0.8992805755395683
,F1,0.8333333333333334
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
6,0.0,"70, 84","70, 84",0,"to say ""hello""","to say ""hello""",participant-role,participant-role
7,12.0,"58, 84","70, 84",12,"just wanted to say ""hello""","to say ""hello""",configuration,configuration
5,0.0,"63, 69","63, 69",0,wanted,wanted,main,main
3,9.848857801796104,"37, 53","41, 62",13,new to the group,to the group and just,participant-role,participant-role
4,9.0,"32, 53","32, 62",9,I am new to the group,I am new to the group and just,configuration,configuration
2,0.0,"34, 36","34, 36",0,am,am,main,main
1,0.0,"32, 33","32, 33",0,I,I,participant-role,participant-role
11,0.0,"94, 98","94, 98",0,tell,tell,main,main
16,1.0,"141, 151","141, 152",1,this group,this group?,participant-role,participant-role
17,0.0,"129, 132","129, 132",0,you,you,participant-role,participant-role
12,0.0,"90, 93","90, 93",0,you,you,participant-role,participant-role
20,7.0,"160, 164","160, 171",7,been,been eating,main,main
18,19.026297590440446,"153, 201","172, 202",20,I have been eating disordered for about 23 years,disordered for about 23 years.,configuration,configuration
22,0.0,"153, 154","153, 154",0,I,I,participant-role,participant-role
23,6.082762530298219,"209, 223","203, 224",7,I'm old ( 38 ),"Yeah, I'm old ( 38 ).",configuration,configuration
25,7.0,"213, 223","213, 216",7,old ( 38 ),old,participant-role,participant-role
24,1.0,"211, 212","210, 212",1,m,'m,main,main
26,2.0,"209, 210","207, 210",2,I,", I",participant-role,participant-role
29,8.0,"232, 236","232, 244",8,been,been married,main,main
31,0.0,"225, 226","225, 226",0,I,I,participant-role,participant-role
27,1.0,"225, 257","225, 258",1,I have been married for 13 years,I have been married for 13 years.,configuration,configuration
35,0.0,"260, 265","260, 265",0,My DH,My DH,participant-role,participant-role
34,4.0,"273, 277","269, 277",4,know,n't know,main,main
36,9.0,"278, 304","287, 304",9,anything about my being ED,about my being ED,participant-role,participant-role
32,1.0,"260, 322","260, 323",1,"My DH didn't know anything about my being ED, till last summer","My DH didn't know anything about my being ED, till last summer.",configuration,configuration
40,0.0,"325, 326","325, 326",0,I,I,participant-role,participant-role
37,36.0,"325, 368","325, 404",36,I had been living with the ED and not by it,"I had been living with the ED and not by it, since just before we were married.",configuration,configuration
39,5.0,"336, 347","336, 342",5,living with,living,main,main
49,0.0,"467, 474","467, 474",0,dropped,dropped,main,main
46,4.123105625617661,"453, 498","449, 499",5,my weight has dropped from a stable 110 to 88,and my weight has dropped from a stable 110 to 88.,configuration,configuration
42,9.0,"415, 448","406, 448",9,"I was triggered anew, 3 years ago","However, I was triggered anew, 3 years ago",configuration,configuration
45,0.0,"421, 430","421, 430",0,triggered,triggered,main,main
47,0.0,"453, 462","453, 462",0,my weight,my weight,participant-role,participant-role
43,2.0,"415, 416","413, 416",2,I,", I",participant-role,participant-role
51,0.0,"500, 501","500, 501",0,I,I,participant-role,participant-role
50,1.0,"500, 510","500, 511",1,"I am 5' 7""","I am 5' 7"".",configuration,configuration
53,3.0,"505, 510","508, 510",3,"5' 7""","7""",participant-role,participant-role
52,0.0,"502, 504","502, 504",0,am,am,main,main
