Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,139,,161,,0.7763975155279503,0.8992805755395683,0.8333333333333334
,
RANK,36,25.899280575539567,41,25.465838509316768,0.8048780487804879,0.9166666666666666,0.8571428571428571
clause,36,100.0,41,100.0,0.8048780487804879,0.9166666666666666,0.8571428571428571
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,103,74.10071942446042,120,74.53416149068323,0.7666666666666667,0.8932038834951457,0.8251121076233184
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,67,65.0485436893204,78,65.0,0.7564102564102564,0.8805970149253731,0.8137931034482757
complement-direct,67,65.0485436893204,78,65.0,0.7564102564102564,0.8805970149253731,0.8137931034482757
complement-indirect,67,65.0485436893204,78,65.0,0.7564102564102564,0.8805970149253731,0.8137931034482757
predicator,36,34.95145631067961,42,35.0,0.7857142857142857,0.9166666666666666,0.8461538461538461
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
