,,Relaxed/Lambda Match Statistics
,Precission,0.24594594594594596
,Recall,0.56875
,F1,0.3433962264150944
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
5,0.0,"63, 69","63, 69",0,wanted,wanted,main,main
4,9.0,"32, 53","32, 62",9,I am new to the group,I am new to the group and just,relational,relational
2,0.0,"34, 36","34, 36",0,am,am,main,main
11,0.0,"94, 98","94, 98",0,tell,tell,main,main
20,7.0,"160, 164","160, 171",7,been,been eating,main,main
23,6.082762530298219,"209, 223","203, 224",7,I'm old ( 38 ),"Yeah, I'm old ( 38 ).",attributive,attributive
23,6.082762530298219,"209, 223","203, 224",7,I'm old ( 38 ),"Yeah, I'm old ( 38 ).",relational,relational
25,7.0,"213, 223","213, 216",7,old ( 38 ),old,attribute,attribute
24,1.0,"211, 212","210, 212",1,m,'m,main,main
26,2.0,"209, 210","207, 210",2,I,", I",carrier,carrier
29,8.0,"232, 236","232, 244",8,been,been married,main,main
34,4.0,"273, 277","269, 277",4,know,n't know,main,main
40,0.0,"325, 326","325, 326",0,I,I,agent,agent
39,5.0,"336, 347","336, 342",5,living with,living,main,main
49,0.0,"467, 474","467, 474",0,dropped,dropped,main,main
46,4.123105625617661,"453, 498","449, 499",5,my weight has dropped from a stable 110 to 88,and my weight has dropped from a stable 110 to 88.,action,action
45,0.0,"421, 430","421, 430",0,triggered,triggered,main,main
47,0.0,"453, 462","453, 462",0,my weight,my weight,affected,affected
51,0.0,"500, 501","500, 501",0,I,I,carrier,carrier
50,1.0,"500, 510","500, 511",1,"I am 5' 7""","I am 5' 7"".",attributive,attributive
50,1.0,"500, 510","500, 511",1,"I am 5' 7""","I am 5' 7"".",relational,relational
53,3.0,"505, 510","508, 510",3,"5' 7""","7""",attribute,attribute
52,0.0,"502, 504","502, 504",0,am,am,main,main
56,18.0,"561, 582","561, 564",18,"did an ""intervention""",did,main,main
60,0.0,"587, 593","587, 593",0,forced,forced,main,main
58,4.123105625617661,"587, 611","583, 612",5,forced me into treatment,and forced me into treatment.,action,action
59,0.0,"594, 596","594, 596",0,me,me,affected,affected
64,0.0,"620, 635","620, 635",0,a horrible time,a horrible time,attribute,attribute
61,32.0,"613, 635","613, 667",32,It was a horrible time,It was a horrible time because I was 3 1/2 hours away.,attributive,attributive
65,31.016124838541646,"644, 666","613, 667",32,I was 3 1/2 hours away,It was a horrible time because I was 3 1/2 hours away.,locational,locational
65,31.016124838541646,"644, 666","613, 667",32,I was 3 1/2 hours away,It was a horrible time because I was 3 1/2 hours away.,relational,relational
63,0.0,"616, 619","616, 619",0,was,was,main,main
67,0.0,"646, 649","646, 649",0,was,was,main,main
62,0.0,"613, 615","613, 615",0,It,It,carrier,carrier
72,0.0,"683, 698","683, 698",0,my 6 young kids,my 6 young kids,affected-possessed,affected-possessed
76,0.0,"715, 722","715, 722",0,nursing,nursing,main,main
78,0.0,"703, 704","703, 704",0,I,I,agent,agent
77,1.0,"723, 745","723, 746",1,my 19 months old twins,my 19 months old twins.,affected,affected
71,3.0,"677, 682","674, 682",3,leave,to leave,main,main
87,7.0710678118654755,"829, 851","822, 852",8,they asked me to leave,", till they asked me to leave.",mental,mental
87,7.0710678118654755,"829, 851","822, 852",8,they asked me to leave,", till they asked me to leave.",three-role-cognition,three-role-cognition
91,3.1622776601683795,"843, 851","840, 852",4,to leave,me to leave.,phenomenon,phenomenon
81,4.0,"774, 781","770, 781",4,wanting,not wanting,main,main
85,4.0,"798, 806","798, 802",4,held out,held,main,main
86,0.0,"796, 797","796, 797",0,I,I,agent,agent
84,30.265491900843113,"796, 822","792, 852",34,I held out for 5 1/2 weeks,"and I held out for 5 1/2 weeks, till they asked me to leave.",action,action
89,0.0,"834, 839","834, 839",0,asked,asked,main,main
88,0.0,"829, 833","829, 833",0,they,they,agent,agent
156,0.0,"912, 916","912, 916",0,lost,lost,main,main
94,4.0,"863, 870","859, 870",4,restore,not restore,main,main
149,0.0,"964, 968","964, 968",0,live,live,main,main
98,0.0,"930, 931","930, 931",0,I,I,cognizant,cognizant
100,0.0,"951, 1007","951, 1007",0,"a person can live healthy, as the ""enlightened anorexic""","a person can live healthy, as the ""enlightened anorexic""",phenomenon,phenomenon
99,0.0,"943, 950","943, 950",0,believe,believe,main,main
97,1.0,"930, 1007","930, 1008",1,"I personally believe a person can live healthy, as the ""enlightened anorexic""","I personally believe a person can live healthy, as the ""enlightened anorexic"".",mental,mental
97,1.0,"930, 1007","930, 1008",1,"I personally believe a person can live healthy, as the ""enlightened anorexic""","I personally believe a person can live healthy, as the ""enlightened anorexic"".",two-role-cognition,two-role-cognition
101,6.082762530298219,"1015, 1066","1009, 1067",7,I'd love to give up the negative behaviours someday,"Yeah, I'd love to give up the negative behaviours someday.",mental,mental
105,2.0,"1015, 1016","1013, 1016",2,I,", I",emoter,emoter
103,0.0,"1019, 1023","1019, 1023",0,love,love,main,main
104,9.0,"1024, 1058","1024, 1067",9,to give up the negative behaviours,to give up the negative behaviours someday.,phenomenon,phenomenon
109,0.0,"1068, 1069","1068, 1069",0,I,I,cognizant,cognizant
106,1.0,"1068, 1090","1068, 1091",1,I know it is my choice,I know it is my choice.,mental,mental
106,1.0,"1068, 1090","1068, 1091",1,I know it is my choice,I know it is my choice.,two-role-cognition,two-role-cognition
108,0.0,"1070, 1074","1070, 1074",0,know,know,main,main
155,1.0,"1075, 1090","1075, 1091",1,it is my choice,it is my choice.,attributive,attributive
155,1.0,"1075, 1090","1075, 1091",1,it is my choice,it is my choice.,relational,relational
154,1.0,"1081, 1090","1081, 1091",1,my choice,my choice.,attribute,attribute
152,0.0,"1075, 1077","1075, 1077",0,it,it,carrier,carrier
107,1.0,"1075, 1090","1075, 1091",1,it is my choice,it is my choice.,phenomenon,phenomenon
153,0.0,"1078, 1080","1078, 1080",0,is,is,main,main
111,0.0,"1094, 1100","1094, 1100",0,remain,remain,main,main
113,0.0,"1092, 1093","1092, 1093",0,I,I,carrier,carrier
110,0.0,"1092, 1106","1092, 1106",0,I remain at 88,I remain at 88,attributive,attributive
112,0.0,"1101, 1106","1101, 1106",0,at 88,at 88,attribute,attribute
118,12.041594578792296,"1150, 1169","1138, 1170",13,your pics are great,"By the way, your pics are great.",relational,relational
121,2.0,"1150, 1159","1148, 1159",2,your pics,", your pics",carrier,carrier
119,0.0,"1160, 1163","1160, 1163",0,are,are,main,main
124,0.0,"1175, 1178","1175, 1178",0,are,are,main,main
125,1.0,"1179, 1188","1179, 1189",1,beautiful,beautiful!,attribute,attribute
122,1.0,"1171, 1188","1171, 1189",1,You are beautiful,You are beautiful!,attributive,attributive
122,1.0,"1171, 1188","1171, 1189",1,You are beautiful,You are beautiful!,relational,relational
123,0.0,"1171, 1174","1171, 1174",0,You,You,carrier,carrier
127,0.0,"1199, 1206","1199, 1206",0,reminds,reminds,main,main
132,34.0,"1288, 1292","1254, 1292",34,this,"Warm regards 
Mary 
Well, sorry this",carrier,carrier
133,0.0,"1293, 1296","1293, 1296",0,was,was,main,main
131,34.0147027033899,"1288, 1304","1254, 1305",35,this was so long,"Warm regards 
Mary 
Well, sorry this was so long.",relational,relational
