,,Relaxed/Lambda Match Statistics
,Precission,0.7107438016528925
,Recall,0.8514851485148515
,F1,0.7747747747747747
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
18,18.0,"49, 75","67, 75",18,a lifetime eating disorder,disorder,participant-role,participant-role
5,3.0,"104, 106","101, 106",3,be,to be,main,main
62,53.150729063673246,"17, 75","28, 127",63,I am about to finally let go of a lifetime eating disorder,"to finally let go of a lifetime eating disorder ( now binge eating, used to be bulimic, started out",configuration,configuration
1,0.0,"17, 18","17, 18",0,I,I,participant-role,participant-role
64,2.0,"96, 114","94, 114",2,used to be bulimic,", used to be bulimic",configuration,configuration
6,7.0,"116, 130","116, 123",7,started out as,started,main,main
63,0.0,"107, 114","107, 114",0,bulimic,bulimic,participant-role,participant-role
7,3.0,"131, 149","131, 152",3,a compulsive eater,a compulsive eater as,participant-role,participant-role
65,51.85556864985669,"116, 160","76, 127",43,started out as a compulsive eater as a child,"( now binge eating, used to be bulimic, started out",configuration,configuration
9,1.0,"168, 169","167, 169",1,m,'m,main,main
66,1.0,"166, 182","166, 183",1,I'm 44 years old,I'm 44 years old.,configuration,configuration
8,0.0,"166, 167","166, 167",0,I,I,participant-role,participant-role
10,9.055385138137417,"170, 182","179, 183",10,44 years old,old.,participant-role,participant-role
17,1.0,"269, 352","269, 353",1,"wonderful to read the thought-provoking, intelligent and feisty posts in this group","wonderful to read the thought-provoking, intelligent and feisty posts in this group!",participant-role,participant-role
14,12.0,"195, 236","195, 248",12,self-acceptance an immensely helpful tool,self-acceptance an immensely helpful tool in the past,participant-role,participant-role
11,0.0,"184, 185","184, 185",0,I,I,participant-role,participant-role
12,0.0,"189, 194","189, 194",0,found,found,main,main
67,0.0,"184, 248","184, 248",0,I've found self-acceptance an immensely helpful tool in the past,I've found self-acceptance an immensely helpful tool in the past,configuration,configuration
16,0.0,"263, 268","263, 268",0,feels,feels,main,main
68,4.123105625617661,"253, 352","249, 353",5,"it always feels wonderful to read the thought-provoking, intelligent and feisty posts in this group","and it always feels wonderful to read the thought-provoking, intelligent and feisty posts in this group!",configuration,configuration
15,0.0,"253, 255","253, 255",0,it,it,participant-role,participant-role
19,0.0,"372, 374","372, 374",0,it,it,participant-role,participant-role
96,0.0,"488, 500","488, 500",0,binge eating,binge eating,participant-role,participant-role
95,0.0,"478, 487","478, 487",0,conquered,conquered,main,main
87,7.0,"462, 500","469, 500",7,any of you have conquered binge eating,you have conquered binge eating,configuration,configuration
22,0.0,"393, 394","393, 394",0,I,I,participant-role,participant-role
100,0.0,"517, 521","517, 521",0,took,took,main,main
99,0.0,"514, 516","514, 516",0,it,it,participant-role,participant-role
93,7.0,"462, 472","462, 465",7,any of you,any,participant-role,participant-role
70,49.0,"393, 457","393, 408",49,I was wondering if anyone here has words of encouragement for me,I was wondering,configuration,configuration
91,7.0,"428, 450","428, 457",7,words of encouragement,words of encouragement for me,participant-role,participant-role
24,0.0,"399, 408","399, 408",0,wondering,wondering,main,main
90,0.0,"424, 427","424, 427",0,has,has,main,main
92,3.0,"412, 457","409, 457",3,anyone here has words of encouragement for me,if anyone here has words of encouragement for me,configuration,configuration
89,5.0,"412, 423","412, 418",5,anyone here,anyone,participant-role,participant-role
88,4.123105625617661,"505, 521","501, 522",5,how long it took,and how long it took.,configuration,configuration
30,0.0,"529, 533","529, 533",0,been,been,main,main
72,44.40720662234904,"560, 612","524, 638",62,I'm doing some conscious eating exercises at present,"I've been in therapy several years, I'm doing some conscious eating exercises at present and I exercise regularly.",configuration,configuration
35,0.0,"570, 601","570, 601",0,some conscious eating exercises,some conscious eating exercises,participant-role,participant-role
32,2.0,"560, 561","558, 561",2,I,", I",participant-role,participant-role
36,0.0,"617, 618","617, 618",0,I,I,participant-role,participant-role
28,0.0,"524, 525","524, 525",0,I,I,participant-role,participant-role
41,1.0,"647, 735","647, 736",1,"I could use some encouragement and advice on becoming more assertive, among other things","I could use some encouragement and advice on becoming more assertive, among other things.",participant-role,participant-role
106,1.0,"647, 735","647, 736",1,"I could use some encouragement and advice on becoming more assertive, among other things","I could use some encouragement and advice on becoming more assertive, among other things.",configuration,configuration
105,36.05551275463989,"659, 735","689, 715",50,"some encouragement and advice on becoming more assertive, among other things",on becoming more assertive,participant-role,participant-role
39,0.0,"640, 641","640, 641",0,I,I,participant-role,participant-role
40,0.0,"642, 646","642, 646",0,know,know,main,main
102,0.0,"647, 648","647, 648",0,I,I,participant-role,participant-role
74,1.0,"640, 735","640, 736",1,"I know I could use some encouragement and advice on becoming more assertive, among other things","I know I could use some encouragement and advice on becoming more assertive, among other things.",configuration,configuration
104,0.0,"655, 658","655, 658",0,use,use,main,main
113,1.0,"825, 845","825, 846",1,a fair amount who do,a fair amount who do.,participant-role,participant-role
109,0.0,"773, 804","773, 804",0,an eating disordered background,an eating disordered background,participant-role,participant-role
