Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,101,,121,,0.7107438016528925,0.8514851485148515,0.7747747747747747
,
RANK,27,26.732673267326735,31,25.6198347107438,0.7096774193548387,0.8148148148148148,0.7586206896551724
clause,27,100.0,31,100.0,0.7096774193548387,0.8148148148148148,0.7586206896551724
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,74,73.26732673267327,90,74.3801652892562,0.7111111111111111,0.8648648648648649,0.7804878048780488
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,49,66.21621621621621,60,66.66666666666666,0.7166666666666667,0.8775510204081632,0.7889908256880733
complement-direct,49,66.21621621621621,60,66.66666666666666,0.7166666666666667,0.8775510204081632,0.7889908256880733
complement-indirect,49,66.21621621621621,60,66.66666666666666,0.7166666666666667,0.8775510204081632,0.7889908256880733
predicator,25,33.78378378378378,30,33.33333333333333,0.7,0.84,0.7636363636363636
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
