,,Relaxed/Lambda Match Statistics
,Precission,0.21140142517814728
,Recall,0.664179104477612
,F1,0.3207207207207207
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
128,61.29437168288782,"27, 46","21, 107",67,as the subject says,"Okay, as the subject says, I am looking for advice and/or help with an eating problem.",mental,mental
126,0.0,"42, 46","42, 46",0,says,says,main,main
3,4.0,"53, 64","53, 60",4,looking for,looking,main,main
127,18.027756377319946,"27, 29","21, 46",23,as,"Okay, as the subject says",phenomenon,phenomenon
8,4.0,"117, 123","113, 123",4,having,not having,main,main
9,16.0,"124, 149","140, 149",16,trouble putting on weight,on weight,possessed,possessed
6,0.0,"108, 109","108, 109",0,I,I,carrier,carrier
103,4.123105625617661,"155, 190","151, 191",5,certainly not having trouble eating,and certainly not having trouble eating.,possessive,possessive
11,18.0,"108, 149","108, 131",18,I am not having trouble putting on weight,I am not having trouble,relational,relational
11,18.0,"108, 149","108, 131",18,I am not having trouble putting on weight,I am not having trouble,possessive,possessive
10,4.0,"169, 175","165, 175",4,having,not having,main,main
12,1.0,"176, 190","176, 191",1,trouble eating,trouble eating.,possessed,possessed
14,0.0,"194, 198","194, 198",0,have,have,main,main
15,1.0,"199, 219","199, 220",1,the opposite problem,the opposite problem.,possessed,possessed
16,1.0,"192, 219","192, 220",1,I have the opposite problem,I have the opposite problem.,relational,relational
16,1.0,"192, 219","192, 220",1,I have the opposite problem,I have the opposite problem.,possessive,possessive
13,0.0,"192, 193","192, 193",0,I,I,carrier,carrier
21,60.0,"221, 249","221, 309",60,I wrote in here a while back,I wrote in here a while back asking if there was a NG or place to talk about this issue.,action,action
22,18.027756377319946,"250, 308","232, 309",19,asking if there was a NG or place to talk about this issue,here a while back asking if there was a NG or place to talk about this issue.,mental,mental
22,18.027756377319946,"250, 308","232, 309",19,asking if there was a NG or place to talk about this issue,here a while back asking if there was a NG or place to talk about this issue.,three-role-cognition,three-role-cognition
111,3.1622776601683795,"260, 308","257, 309",4,there was a NG or place to talk about this issue,if there was a NG or place to talk about this issue.,relational,relational
19,0.0,"250, 256","250, 256",0,asking,asking,main,main
17,0.0,"221, 222","221, 222",0,I,I,agent,agent
109,0.0,"266, 269","266, 269",0,was,was,main,main
18,0.0,"223, 228","223, 228",0,wrote,wrote,main,main
23,0.0,"310, 311","310, 311",0,I,I,carrier,carrier
26,19.0,"327, 343","327, 362",19,anything helpful,anything helpful online or offline.,possessed,possessed
25,4.0,"321, 326","317, 326",4,found,not found,main,main
27,1.0,"310, 361","310, 362",1,I have not found anything helpful online or offline,I have not found anything helpful online or offline.,relational,relational
27,1.0,"310, 361","310, 362",1,I have not found anything helpful online or offline,I have not found anything helpful online or offline.,possessive,possessive
112,0.0,"451, 452","451, 452",0,I,I,agent,agent
30,0.0,"368, 399","368, 399",0,in a really bad way emotionally,in a really bad way emotionally,attribute,attribute
115,0.0,"463, 465","463, 465",0,it,it,range,range
114,4.0,"460, 462","456, 462",4,do,not do,main,main
35,0.0,"363, 413","363, 413",0,I am in a really bad way emotionally with this now,I am in a really bad way emotionally with this now,attributive,attributive
35,0.0,"363, 413","363, 413",0,I am in a really bad way emotionally with this now,I am in a really bad way emotionally with this now,relational,relational
28,0.0,"363, 364","363, 364",0,I,I,carrier,carrier
33,11.704699910719626,"423, 445","434, 441",15,admitting/ yelling out,yelling,main,main
29,0.0,"365, 367","365, 367",0,am,am,main,main
42,4.0,"544, 546","544, 550",4,am,am not,main,main
39,3.0,"487, 498","487, 495",3,referred to,referred,main,main
50,7.0710678118654755,"577, 637","584, 638",8,"I need to lose weight for health reasons, not just for looks","to lose weight for health reasons, not just for looks.",possessive,possessive
48,3.0,"587, 591","584, 591",3,lose,to lose,main,main
49,21.18962010041709,"592, 637","599, 617",27,"weight for health reasons, not just for looks",for health reasons,possessed,possessed
57,10.0,"698, 713","698, 703",10,going backwards,going,main,main
53,0.0,"645, 650","645, 650",0,doing,doing,main,main
63,0.0,"772, 773","772, 773",0,I,I,carrier,carrier
77,108.07404868885037,"802, 861","798, 969",112,it is getting to the point that I was at in about 1994-1995,"but it is getting to the point that I was at in about 1994-1995 where I would consume packets of things, not just a few sweets, but the whole bag, sometimes a few packets.",directional,directional
71,0.0,"836, 839","836, 839",0,was,was,main,main
75,0.0,"876, 883","876, 883",0,consume,consume,main,main
119,59.0,"829, 842","829, 901",59,that I was at,that I was at in about 1994-1995 where I would consume packets of things,locational,locational
77,48.25971404805462,"802, 861","829, 901",53,it is getting to the point that I was at in about 1994-1995,that I was at in about 1994-1995 where I would consume packets of things,relational,relational
78,77.52418977325722,"868, 968","829, 901",76,"I would consume packets of things, not just a few sweets, but the whole bag, sometimes a few packets",that I was at in about 1994-1995 where I would consume packets of things,action,action
66,0.0,"808, 815","808, 815",0,getting,getting,main,main
58,0.0,"834, 835","834, 835",0,I,I,carrier,carrier
68,8.0,"761, 768","753, 768",8,rubbish,as much rubbish,affected,affected
60,0.0,"733, 734","733, 734",0,I,I,agent,agent
67,33.0,"816, 861","816, 828",33,to the point that I was at in about 1994-1995,to the point,destination,destination
62,4.0,"743, 752","739, 752",4,be eating,not be eating,main,main
81,14.0,"976, 995","976, 1009",14,"a ""binging partner""","a ""binging partner"" at one stage.",possessed,possessed
82,1.0,"970, 1008","970, 1009",1,"I had a ""binging partner"" at one stage","I had a ""binging partner"" at one stage.",relational,relational
82,1.0,"970, 1008","970, 1009",1,"I had a ""binging partner"" at one stage","I had a ""binging partner"" at one stage.",possessive,possessive
80,0.0,"972, 975","972, 975",0,had,had,main,main
79,0.0,"970, 971","970, 971",0,I,I,carrier,carrier
84,0.0,"1012, 1015","1012, 1015",0,was,was,main,main
89,8.06225774829855,"1073, 1121","1065, 1122",9,a few very large bags of sweets and other things,through a few very large bags of sweets and other things.,affected,affected
85,10.0,"1016, 1035","1016, 1025",10,in year 7 at school,in year 7,attribute,attribute
86,14.0,"1040, 1055","1054, 1055",14,my friend and I,I,agent,agent
90,14.0,"1010, 1035","1010, 1049",14,I was in year 7 at school,I was in year 7 at school and my friend,attributive,attributive
90,14.0,"1010, 1035","1010, 1049",14,I was in year 7 at school,I was in year 7 at school and my friend,relational,relational
91,78.0,"1040, 1121","1010, 1049",62,my friend and I would go through a few very large bags of sweets and other things,I was in year 7 at school and my friend,action,action
88,8.0,"1062, 1072","1062, 1064",8,go through,go,main,main
83,0.0,"1010, 1011","1010, 1011",0,I,I,carrier,carrier
122,16.0,"1230, 1259","1230, 1243",16,"what I can do, where I can go",what I can do,phenomenon,phenomenon
120,11.0,"1206, 1223","1206, 1212",11,"anyone, anywhere,",anyone,cognizant,cognizant
105,16.76305461424021,"1194, 1259","1199, 1243",21,"just ask if anyone, anywhere, knows what I can do, where I can go","ask if anyone, anywhere, knows what I can do",mental,mental
105,16.76305461424021,"1194, 1259","1199, 1243",21,"just ask if anyone, anywhere, knows what I can do, where I can go","ask if anyone, anywhere, knows what I can do",three-role-cognition,three-role-cognition
94,3.0,"1149, 1153","1146, 1153",3,bore,to bore,main,main
121,0.0,"1224, 1229","1224, 1229",0,knows,knows,main,main
123,16.278820596099706,"1206, 1259","1203, 1243",19,"anyone, anywhere, knows what I can do, where I can go","if anyone, anywhere, knows what I can do",mental,mental
123,16.278820596099706,"1206, 1259","1203, 1243",19,"anyone, anywhere, knows what I can do, where I can go","if anyone, anywhere, knows what I can do",two-role-cognition,two-role-cognition
106,0.0,"1199, 1202","1199, 1202",0,ask,ask,main,main
101,0.0,"1292, 1297","1292, 1297",0,helps,helps,main,main
98,0.0,"1263, 1265","1263, 1265",0,am,am,main,main
102,15.0,"1261, 1283","1261, 1298",15,"I am in NSW, Australia","I am in NSW, Australia if that helps.",locational,locational
102,15.0,"1261, 1283","1261, 1298",15,"I am in NSW, Australia","I am in NSW, Australia if that helps.",relational,relational
124,26.019223662515376,"1287, 1297","1261, 1298",27,that helps,"I am in NSW, Australia if that helps.",action,action
97,0.0,"1261, 1262","1261, 1262",0,I,I,carrier,carrier
99,0.0,"1266, 1283","1266, 1283",0,"in NSW, Australia","in NSW, Australia",location,location
,
,Manual mismatching all parsed (False Negative)
128,"27, 46",as the subject says,three-role-cognition
125,"30, 41",the subject,agent
5,"48, 106",I am looking for advice and/or help with an eating problem,relational
5,"48, 106",I am looking for advice and/or help with an eating problem,possessive
1,"48, 49",I,carrier
4,"65, 106",advice and/or help with an eating problem,possessed
103,"155, 190",certainly not having trouble eating,relational
20,"260, 308",there was a NG or place to talk about this issue,phenomenon
111,"260, 308",there was a NG or place to talk about this issue,attributive
108,"260, 265",there,carrier
110,"270, 308",a NG or place to talk about this issue,attribute
36,"418, 479",I am admitting/ yelling out that I cannot do it alone anymore,mental
36,"418, 479",I am admitting/ yelling out that I cannot do it alone anymore,three-role-cognition
31,"418, 419",I,cognizant
34,"451, 479",I cannot do it alone anymore,phenomenon
116,"451, 479",I cannot do it alone anymore,action
44,"481, 533","I was referred to an ""Obesity Clinic"" back in August",relational
44,"481, 533","I was referred to an ""Obesity Clinic"" back in August",directional
37,"481, 482",I,affected-carrier
40,"499, 518","an ""Obesity Clinic""",destination
45,"542, 575","I am not just fat, but very obese",relational
45,"542, 575","I am not just fat, but very obese",attributive
41,"542, 543",I,carrier
43,"551, 575","just fat, but very obese",attribute
50,"577, 637","I need to lose weight for health reasons, not just for looks",relational
46,"577, 578",I,carrier
117,"639, 683",I was doing really well the first 2-3 months,action
51,"639, 640",I,agent
54,"651, 662",really well,manner
59,"693, 731",I am going backwards very very quickly,action
55,"693, 694",I,agent
69,"733, 768",I may not be eating as much rubbish,action
72,"772, 796",I was before this Clinic,action
64,"802, 804",it,carrier
119,"829, 842",that I was at,relational
118,"840, 842",at,location
73,"868, 869",I,agent
76,"884, 968","packets of things, not just a few sweets, but the whole bag, sometimes a few packets",affected
95,"1131, 1188",I am not going to bore you all with my life story anymore,mental
95,"1131, 1188",I am not going to bore you all with my life story anymore,three-role-cognition
92,"1131, 1132",I,agent
104,"1154, 1161",you all,affected-cognizant
96,"1162, 1188",with my life story anymore,phenomenon
107,"1206, 1259","anyone, anywhere, knows what I can do, where I can go",phenomenon
100,"1287, 1291",that,agent
,
,Parsed mismatching all manual (False Positives)
21,"21, 107","Okay, as the subject says, I am looking for advice and/or help with an eating problem.",process
21,"21, 107","Okay, as the subject says, I am looking for advice and/or help with an eating problem.",two-role-perception
21,"21, 46","Okay, as the subject says",created-phenomenon
46,"46, 49",", I",agent
46,"46, 49",", I",agent-perceiver
46,"46, 49",", I",perceiver
132,"132, 139",putting,main
132,"132, 150","putting on weight,",process
132,"132, 150","putting on weight,",two-role-action
132,"132, 150","putting on weight,",action
140,"140, 149",on weight,affected-emoter
140,"140, 149",on weight,created-phenomenon
140,"140, 149",on weight,affected-path
140,"140, 149",on weight,affected-perceiver
140,"140, 149",on weight,affected-cognizant
140,"140, 149",on weight,affected-carrier
140,"140, 149",on weight,affected-destination
140,"140, 149",on weight,affected
140,"140, 149",on weight,affected-possessed
140,"140, 149",on weight,affected-source
140,"140, 149",on weight,created
140,"140, 149",on weight,range
