Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,114,,152,,0.6710526315789473,0.8947368421052632,0.7669172932330827
,
RANK,31,27.192982456140353,41,26.973684210526315,0.7073170731707317,0.9354838709677419,0.8055555555555556
clause,31,100.0,41,100.0,0.7073170731707317,0.9354838709677419,0.8055555555555556
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,83,72.80701754385966,111,73.02631578947368,0.6576576576576577,0.8795180722891566,0.7525773195876289
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,53,63.85542168674698,71,63.96396396396396,0.676056338028169,0.9056603773584906,0.7741935483870968
complement-direct,53,63.85542168674698,71,63.96396396396396,0.676056338028169,0.9056603773584906,0.7741935483870968
complement-indirect,53,63.85542168674698,71,63.96396396396396,0.676056338028169,0.9056603773584906,0.7741935483870968
predicator,30,36.144578313253014,40,36.03603603603604,0.625,0.8333333333333334,0.7142857142857143
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
