,,Relaxed/Lambda Match Statistics
,Precission,0.712707182320442
,Recall,0.9416058394160584
,F1,0.8113207547169812
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,2.0,"22, 23","20, 23",2,I,", I",participant-role,participant-role
138,7.0710678118654755,"22, 50","15, 51",8,I need your help desperately,"Girls, I need your help desperately.",configuration,configuration
3,0.0,"29, 38","29, 38",0,your help,your help,participant-role,participant-role
2,0.0,"24, 28","24, 28",0,need,need,main,main
5,0.0,"54, 62","54, 62",0,realized,realized,main,main
4,0.0,"52, 53","52, 53",0,I,I,participant-role,participant-role
154,5.0,"82, 92","82, 87",5,taken over,taken,main,main
155,5.0990195135927845,"93, 100","88, 101",6,my life,over my life.,participant-role,participant-role
152,0.0,"74, 77","74, 77",0,mia,mia,participant-role,participant-role
156,5.0990195135927845,"74, 100","69, 101",6,mia has taken over my life,that mia has taken over my life.,configuration,configuration
7,1.0,"52, 100","52, 101",1,I realized today that mia has taken over my life,I realized today that mia has taken over my life.,configuration,configuration
6,5.0990195135927845,"74, 100","69, 101",6,mia has taken over my life,that mia has taken over my life.,participant-role,participant-role
13,2.0,"141, 142","139, 142",2,I,", I",participant-role,participant-role
15,2.0,"145, 149","147, 149",2,"5'2""","2""",participant-role,participant-role
19,0.0,"209, 210","209, 210",0,I,I,participant-role,participant-role
10,0.0,"102, 111","102, 111",0,My weight,My weight,participant-role,participant-role
21,1.0,"218, 223","218, 224",1,happy,happy.,participant-role,participant-role
14,0.0,"142, 144","142, 144",0,'m,'m,main,main
157,28.284271247461902,"167, 183","147, 203",40,my lowest weight,"2"" ) at the moment, my lowest weight at this height ever",participant-role,participant-role
16,4.123105625617661,"209, 223","205, 224",5,I am not happy,but I am not happy.,configuration,configuration
11,0.0,"112, 114","112, 114",0,is,is,main,main
8,39.0,"102, 165","102, 204",39,"My weight is at a standstill ( 95 lbs, I'm 5'2"" ) at the moment","My weight is at a standstill ( 95 lbs, I'm 5'2"" ) at the moment, my lowest weight at this height ever,",configuration,configuration
20,4.0,"211, 213","211, 217",4,am,am not,main,main
9,10.44030650891055,"141, 149","131, 146",13,"I'm 5'2""","( 95 lbs, I'm 5",configuration,configuration
24,0.0,"232, 238","232, 238",0,purged,purged,main,main
18,1.0,"225, 294","225, 295",1,I have purged everyday up to 4 times since 3 days before Thanksgiving,I have purged everyday up to 4 times since 3 days before Thanksgiving.,configuration,configuration
22,0.0,"225, 226","225, 226",0,I,I,participant-role,participant-role
158,0.0,"315, 321","315, 321",0,purged,purged,main,main
25,0.0,"296, 310","296, 310",0,Today I binged,Today I binged,configuration,configuration
27,0.0,"304, 310","304, 310",0,binged,binged,main,main
28,4.123105625617661,"315, 347","311, 348",5,purged on the same foods 3 times,and purged on the same foods 3 times.,configuration,configuration
26,0.0,"302, 303","302, 303",0,I,I,participant-role,participant-role
