Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,137,,181,,0.712707182320442,0.9416058394160584,0.8113207547169812
,
RANK,37,27.00729927007299,46,25.41436464088398,0.7608695652173914,0.9459459459459459,0.8433734939759038
clause,37,100.0,46,100.0,0.7608695652173914,0.9459459459459459,0.8433734939759038
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,100,72.99270072992701,135,74.58563535911603,0.6962962962962963,0.94,0.8
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,64,64.0,87,64.44444444444444,0.6781609195402298,0.921875,0.7814569536423841
complement-direct,64,64.0,87,64.44444444444444,0.6781609195402298,0.921875,0.7814569536423841
complement-indirect,64,64.0,87,64.44444444444444,0.6781609195402298,0.921875,0.7814569536423841
predicator,36,36.0,48,35.55555555555556,0.7291666666666666,0.9722222222222222,0.8333333333333333
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
