,,Relaxed/Lambda Match Statistics
,Precission,0.2216624685138539
,Recall,0.5789473684210527
,F1,0.3205828779599271
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,2.0,"22, 23","20, 23",2,I,", I",emoter,emoter
138,7.0710678118654755,"22, 50","15, 51",8,I need your help desperately,"Girls, I need your help desperately.",mental,mental
3,0.0,"29, 38","29, 38",0,your help,your help,phenomenon,phenomenon
2,0.0,"24, 28","24, 28",0,need,need,main,main
5,0.0,"54, 62","54, 62",0,realized,realized,main,main
4,0.0,"52, 53","52, 53",0,I,I,cognizant,cognizant
154,5.0,"82, 92","82, 87",5,taken over,taken,main,main
155,5.0990195135927845,"93, 100","88, 101",6,my life,over my life.,affected,affected
152,0.0,"74, 77","74, 77",0,mia,mia,agent,agent
7,1.0,"52, 100","52, 101",1,I realized today that mia has taken over my life,I realized today that mia has taken over my life.,mental,mental
7,1.0,"52, 100","52, 101",1,I realized today that mia has taken over my life,I realized today that mia has taken over my life.,two-role-cognition,two-role-cognition
6,5.0990195135927845,"74, 100","69, 101",6,mia has taken over my life,that mia has taken over my life.,phenomenon,phenomenon
19,0.0,"209, 210","209, 210",0,I,I,carrier,carrier
21,1.0,"218, 223","218, 224",1,happy,happy.,attribute,attribute
14,0.0,"142, 144","142, 144",0,'m,'m,main,main
16,4.123105625617661,"209, 223","205, 224",5,I am not happy,but I am not happy.,attributive,attributive
16,4.123105625617661,"209, 223","205, 224",5,I am not happy,but I am not happy.,relational,relational
11,0.0,"112, 114","112, 114",0,is,is,main,main
20,4.0,"211, 213","211, 217",4,am,am not,main,main
24,0.0,"232, 238","232, 238",0,purged,purged,main,main
158,0.0,"315, 321","315, 321",0,purged,purged,main,main
27,0.0,"304, 310","304, 310",0,binged,binged,main,main
139,52.0,"349, 368","349, 420",52,I've stopped eating,I've stopped eating in between binged because I can not control myself.,influential,influential
29,0.0,"349, 350","349, 350",0,I,I,agent,agent
32,18.0,"362, 368","362, 386",18,eating,eating in between binged,phenomenon,phenomenon
31,0.0,"354, 361","354, 361",0,stopped,stopped,main,main
34,0.0,"395, 396","395, 396",0,I,I,agent,agent
36,4.0,"405, 412","401, 412",4,control,not control,main,main
45,3.0,"457, 460","454, 460",3,eat,to eat,main,main
48,4.0,"476, 481","472, 481",4,shove,not shove,main,main
40,3.0,"438, 441","435, 441",3,eat,to eat,main,main
50,0.0,"528, 529","528, 529",0,I,I,agent,agent
51,0.0,"530, 533","530, 533",0,use,use,main,main
41,1.0,"528, 567","528, 568",1,I use my bulimia to control my emotions,I use my bulimia to control my emotions.,action,action
87,5.0,"574, 585","569, 585",5,I'm anxious,When I'm anxious,attributive,attributive
87,5.0,"574, 585","569, 585",5,I'm anxious,When I'm anxious,relational,relational
55,1.0,"576, 577","575, 577",1,m,'m,main,main
58,0.0,"588, 593","588, 593",0,binge,binge,main,main
54,0.0,"574, 575","574, 575",0,I,I,carrier,carrier
61,3.0,"609, 620","609, 617",3,followed by,followed,main,main
67,0.0,"725, 731","725, 731",0,racing,racing,main,main
64,0.0,"703, 708","703, 708",0,hurts,hurts,main,main
90,6.0,"694, 708","688, 708",6,my mouth hurts,until my mouth hurts,action,action
91,4.123105625617661,"713, 731","709, 732",5,my heart is racing,and my heart is racing.,action,action
70,0.0,"754, 764","754, 764",0,experience,experience,main,main
68,2.0,"746, 747","744, 747",2,I,", I",perceiver,perceiver
71,87.0,"765, 917","765, 830",87,"a small high from the purge, a sort of sick relaxed feeling, sort of like a ""phew, that's over, now I don't have to do it for another few hours""-feeling","a small high from the purge, a sort of sick relaxed feeling, sort",phenomenon,phenomenon
74,5.0,"947, 960","947, 955",5,consumed with,consumed,main,main
77,0.0,"994, 995","994, 995",0,I,I,agent-carrier,agent-carrier
78,0.0,"996, 999","996, 999",0,get,get,main,main
79,4.0,"1000, 1006","1000, 1002",4,it all,it,affected-possessed,affected-possessed
94,1.0,"990, 1010","990, 1011",1,Did I get it all out,Did I get it all out?,relational,relational
85,8.06225774829855,"1020, 1073","1012, 1074",9,there is more food hiding in the depths of my stomach,What if there is more food hiding in the depths of my stomach?,locational,locational
85,8.06225774829855,"1020, 1073","1012, 1074",9,there is more food hiding in the depths of my stomach,What if there is more food hiding in the depths of my stomach?,relational,relational
82,0.0,"1026, 1028","1026, 1028",0,is,is,main,main
83,36.0,"1029, 1038","1029, 1074",36,more food,more food hiding in the depths of my stomach?,carrier,carrier
