,,Relaxed/Lambda Match Statistics
,Precission,0.6559139784946236
,Recall,0.9312977099236641
,F1,0.7697160883280758
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
91,13.038404810405298,"34, 55","21, 56",14,I'm new to this group,"Hello all, 
I'm new to this group.",configuration,configuration
1,4.0,"34, 35","30, 35",4,I,", 
I",participant-role,participant-role
2,1.0,"36, 37","35, 37",1,m,'m,main,main
3,4.123105625617661,"38, 55","42, 56",5,new to this group,to this group.,participant-role,participant-role
4,0.0,"58, 59","58, 59",0,I,I,participant-role,participant-role
5,0.0,"60, 67","60, 67",0,believe,believe,main,main
132,0.0,"68, 69","68, 69",0,I,I,participant-role,participant-role
134,0.0,"73, 82","73, 82",0,developed,developed,main,main
7,2.0,"133, 134","131, 134",2,I,", I",participant-role,participant-role
136,0.0,"68, 130","68, 130",0,I've developed somewhat of an eating disorder ( binge eating ),I've developed somewhat of an eating disorder ( binge eating ),configuration,configuration
92,0.0,"58, 130","58, 130",0,I believe I've developed somewhat of an eating disorder ( binge eating ),I believe I've developed somewhat of an eating disorder ( binge eating ),configuration,configuration
8,0.0,"135, 140","135, 140",0,guess,guess,main,main
6,0.0,"68, 130","68, 130",0,I've developed somewhat of an eating disorder ( binge eating ),I've developed somewhat of an eating disorder ( binge eating ),participant-role,participant-role
135,9.0,"83, 130","92, 130",9,somewhat of an eating disorder ( binge eating ),of an eating disorder ( binge eating ),participant-role,participant-role
10,0.0,"168, 169","168, 169",0,I,I,participant-role,participant-role
94,1.0,"168, 224","168, 225",1,I'm not quite sure or not if it's a major problem or not,I'm not quite sure or not if it's a major problem or not.,configuration,configuration
9,5.0990195135927845,"197, 224","202, 225",6,it's a major problem or not,a major problem or not.,participant-role,participant-role
13,0.0,"197, 199","197, 199",0,it,it,participant-role,participant-role
19,0.0,"355, 358","355, 358",0,had,had,main,main
138,0.0,"384, 391","384, 391",0,believe,believe,main,main
137,0.0,"382, 383","382, 383",0,I,I,participant-role,participant-role
17,0.0,"273, 283","273, 283",0,remembered,remembered,main,main
20,11.0,"359, 381","359, 392",11,a binge eating problem,a binge eating problem I believe.,participant-role,participant-role
18,13.601470508735444,"284, 312","295, 304",19,overeating from time to time,from time,participant-role,participant-role
96,0.0,"227, 337","227, 337",0,"For the longest time, prior to 2 years ago, I remembered overeating from time to time ( especially ice cream )","For the longest time, prior to 2 years ago, I remembered overeating from time to time ( especially ice cream )",configuration,configuration
16,2.0,"271, 272","269, 272",2,I,", I",participant-role,participant-role
140,13.038404810405298,"342, 391","355, 392",14,never really had a binge eating problem I believe,had a binge eating problem I believe.,configuration,configuration
98,30.0,"394, 431","424, 431",30,"Though 2 years ago, I started running",running,configuration,configuration
100,25.019992006393608,"475, 495","450, 496",26,lose a bit of weight,to get rid of my gut and lose a bit of weight.,configuration,configuration
99,27.85677655436824,"441, 470","431, 496",36,I wanted to get rid of my gut,", because I wanted to get rid of my gut and lose a bit of weight.",configuration,configuration
21,2.0,"414, 415","412, 415",2,I,", I",participant-role,participant-role
25,0.0,"443, 449","443, 449",0,wanted,wanted,main,main
24,0.0,"441, 442","441, 442",0,I,I,participant-role,participant-role
23,0.0,"424, 431","424, 431",0,running,running,participant-role,participant-role
22,0.0,"416, 423","416, 423",0,started,started,main,main
28,5.0990195135927845,"475, 495","480, 496",6,lose a bit of weight,a bit of weight.,participant-role,participant-role
31,22.0,"512, 529","512, 551",22,running regularly,running regularly and watching my diet.,participant-role,participant-role
106,9.055385138137417,"534, 550","543, 551",10,watching my diet,my diet.,participant-role,participant-role
30,0.0,"504, 511","504, 511",0,started,started,main,main
29,2.0,"502, 503","500, 503",2,I,", I",participant-role,participant-role
101,10.0,"502, 529","512, 529",10,I started running regularly,running regularly,configuration,configuration
32,4.123105625617661,"534, 550","530, 551",5,watching my diet,and watching my diet.,configuration,configuration
34,3.0,"555, 563","555, 560",3,ended up,ended,main,main
33,0.0,"553, 554","553, 554",0,I,I,participant-role,participant-role
102,1.0,"553, 586","553, 587",1,I ended up losing about 25-30 lbs,I ended up losing about 25-30 lbs.,configuration,configuration
35,1.0,"564, 586","564, 587",1,losing about 25-30 lbs,losing about 25-30 lbs.,participant-role,participant-role
27,0.0,"612, 630","612, 630",0,at an ideal weight,at an ideal weight,participant-role,participant-role
123,5.0,"596, 630","596, 635",5,I'm pretty much at an ideal weight,I'm pretty much at an ideal weight now.,configuration,configuration
103,1.0,"589, 634","589, 635",1,I know I'm pretty much at an ideal weight now,I know I'm pretty much at an ideal weight now.,configuration,configuration
36,0.0,"589, 590","589, 590",0,I,I,participant-role,participant-role
38,1.0,"596, 634","596, 635",1,I'm pretty much at an ideal weight now,I'm pretty much at an ideal weight now.,participant-role,participant-role
121,1.0,"598, 599","597, 599",1,m,'m,main,main
37,0.0,"591, 595","591, 595",0,know,know,main,main
120,0.0,"596, 597","596, 597",0,I,I,participant-role,participant-role
107,12.727922061357855,"740, 779","749, 770",18,obsessed with calorie counting and such,with calorie counting,participant-role,participant-role
43,2.0,"719, 720","717, 720",2,I,", I",participant-role,participant-role
42,12.0,"679, 717","667, 717",12,paying more close attention to my diet,running and paying more close attention to my diet,participant-role,participant-role
40,0.0,"659, 666","659, 666",0,started,started,main,main
108,21.02379604162864,"719, 779","740, 780",22,I have almost become obsessed with calorie counting and such,obsessed with calorie counting and such.,configuration,configuration
105,7.0,"679, 717","686, 717",7,paying more close attention to my diet,more close attention to my diet,configuration,configuration
39,0.0,"657, 658","657, 658",0,I,I,participant-role,participant-role
45,0.0,"733, 739","733, 739",0,become,become,main,main
46,0.0,"782, 783","782, 783",0,I,I,participant-role,participant-role
128,0.0,"804, 808","804, 808",0,that,that,participant-role,participant-role
48,63.0,"792, 835","792, 898",63,it was this that really started the problem,"it was this that really started the problem ( more so, the obsessive calorie counting than the running ) .",participant-role,participant-role
124,0.0,"792, 794","792, 794",0,it,it,participant-role,participant-role
131,63.0,"804, 835","804, 898",63,that really started the problem,"that really started the problem ( more so, the obsessive calorie counting than the running ) .",configuration,configuration
130,63.0,"824, 835","824, 898",63,the problem,"the problem ( more so, the obsessive calorie counting than the running ) .",participant-role,participant-role
47,0.0,"784, 791","784, 791",0,believe,believe,main,main
109,63.0,"782, 835","782, 898",63,I believe it was this that really started the problem,"I believe it was this that really started the problem ( more so, the obsessive calorie counting than the running ) .",configuration,configuration
125,0.0,"795, 798","795, 798",0,was,was,main,main
126,95.0,"799, 803","799, 898",95,this,"this that really started the problem ( more so, the obsessive calorie counting than the running ) .",participant-role,participant-role
129,0.0,"816, 823","816, 823",0,started,started,main,main
110,55.00909015790027,"900, 1008","955, 1009",56,"Now, usually I can go fine for a week or a little less eating ""healthy"" and not eating the ""forbidden"" foods","eating ""healthy"" and not eating the ""forbidden"" foods.",configuration,configuration
51,5.0,"919, 926","919, 921",5,go fine,go,main,main
49,0.0,"913, 914","913, 914",0,I,I,participant-role,participant-role
58,0.0,"1098, 1099","1098, 1099",0,I,I,participant-role,participant-role
112,35.608987629529715,"1019, 1094","1041, 1066",50,"at the end of the week, usually starting Friday, I can never control myself",", usually starting Friday",configuration,configuration
60,18.0,"1109, 1183","1109, 1165",18,a little bit of a sweet food like ice cream or something along those lines,a little bit of a sweet food like ice cream or something,participant-role,participant-role
113,3.1622776601683795,"1098, 1183","1095, 1184",4,I even try a little bit of a sweet food like ice cream or something along those lines,if I even try a little bit of a sweet food like ice cream or something along those lines.,configuration,configuration
57,0.0,"1088, 1094","1088, 1094",0,myself,myself,participant-role,participant-role
54,2.0,"1068, 1069","1066, 1069",2,I,", I",participant-role,participant-role
56,6.0,"1080, 1087","1074, 1087",6,control,never control,main,main
59,0.0,"1105, 1108","1105, 1108",0,try,try,main,main
62,3.0,"1188, 1194","1188, 1191",3,end up,end,main,main
64,31.76476034853718,"1223, 1263","1195, 1248",40,eating a whole 1/2 gallon in one evening,"going overboard, often just eating a whole 1/2 gallon",participant-role,participant-role
61,0.0,"1186, 1187","1186, 1187",0,I,I,participant-role,participant-role
115,16.15549442140351,"1212, 1263","1218, 1248",21,often just eating a whole 1/2 gallon in one evening,just eating a whole 1/2 gallon,configuration,configuration
114,11.40175425099138,"1186, 1210","1195, 1217",16,I end up going overboard,"going overboard, often",configuration,configuration
66,0.0,"1271, 1273","1271, 1273",0,is,is,main,main
65,0.0,"1266, 1270","1266, 1270",0,This,This,participant-role,participant-role
