,,Relaxed/Lambda Match Statistics
,Precission,0.7297297297297297
,Recall,0.9473684210526315
,F1,0.8244274809160306
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
88,5.0990195135927845,"64, 82","59, 83",6,you are doing well,that you are doing well.,configuration,configuration
123,5.0990195135927845,"64, 82","59, 83",6,you are doing well,that you are doing well.,participant-role,participant-role
5,0.0,"64, 67","64, 67",0,you,you,participant-role,participant-role
7,0.0,"72, 77","72, 77",0,doing,doing,main,main
2,0.0,"47, 48","47, 48",0,I,I,participant-role,participant-role
1,1.0,"47, 82","47, 83",1,I'm so glad that you are doing well,I'm so glad that you are doing well.,configuration,configuration
11,0.0,"93, 95","93, 95",0,me,me,participant-role,participant-role
89,24.0,"84, 100","84, 124",24,It gives me hope,It gives me hope that I can do the same.,configuration,configuration
10,0.0,"87, 92","87, 92",0,gives,gives,main,main
9,0.0,"84, 86","84, 86",0,It,It,participant-role,participant-role
15,0.0,"112, 114","112, 114",0,do,do,main,main
13,0.0,"106, 107","106, 107",0,I,I,participant-role,participant-role
90,5.0990195135927845,"106, 123","101, 124",6,I can do the same,that I can do the same.,configuration,configuration
16,1.0,"115, 123","115, 124",1,the same,the same.,participant-role,participant-role
124,0.0,"190, 191","190, 191",0,I,I,participant-role,participant-role
21,4.123105625617661,"211, 223","207, 224",5,it went well,and it went well.,configuration,configuration
17,0.0,"125, 126","125, 126",0,I,I,participant-role,participant-role
24,0.0,"211, 213","211, 213",0,it,it,participant-role,participant-role
127,0.0,"190, 204","190, 204",0,I've ever done,I've ever done,configuration,configuration
25,0.0,"214, 218","214, 218",0,went,went,main,main
20,40.049968789001575,"165, 204","125, 206",42,first individual session I've ever done,I actually met with a therapist today ( first individual session I've ever done ),configuration,configuration
18,5.0,"136, 144","136, 139",5,met with,met,main,main
126,0.0,"200, 204","200, 204",0,done,done,main,main
101,25.079872407968907,"165, 204","140, 206",27,first individual session I've ever done,with a therapist today ( first individual session I've ever done ),participant-role,participant-role
27,0.0,"225, 228","225, 228",0,She,She,participant-role,participant-role
31,1.0,"244, 275","244, 276",1,to get me into the program ASAP,to get me into the program ASAP.,participant-role,participant-role
22,1.0,"225, 275","225, 276",1,She's going to try to get me into the program ASAP,She's going to try to get me into the program ASAP.,configuration,configuration
30,3.0,"240, 243","237, 243",3,try,to try,main,main
105,1.0,"277, 349","277, 350",1,"The strange thing about me, Jason, is that I never had any physical pain","The strange thing about me, Jason, is that I never had any physical pain.",configuration,configuration
23,6.0,"328, 331","322, 331",6,had,never had,main,main
104,5.0990195135927845,"320, 349","315, 350",6,I never had any physical pain,that I never had any physical pain.,participant-role,participant-role
29,5.0990195135927845,"320, 349","315, 350",6,I never had any physical pain,that I never had any physical pain.,configuration,configuration
34,0.0,"320, 321","320, 321",0,I,I,participant-role,participant-role
102,7.0,"277, 303","277, 310",7,The strange thing about me,"The strange thing about me, Jason",participant-role,participant-role
103,0.0,"312, 314","312, 314",0,is,is,main,main
36,1.0,"332, 349","332, 350",1,any physical pain,any physical pain.,participant-role,participant-role
37,0.0,"351, 359","351, 359",0,The food,The food,participant-role,participant-role
32,1.0,"351, 405","351, 406",1,The food just comes up smoothly without any hesitation,The food just comes up smoothly without any hesitation.,configuration,configuration
38,3.0,"365, 373","365, 370",3,comes up,comes,main,main
45,0.0,"513, 515","513, 515",0,is,is,main,main
39,2.0,"441, 446","439, 446",2,which,", which",participant-role,participant-role
107,12.0,"472, 488","472, 476",12,have or have had,have,main,main
46,1.0,"516, 550","516, 551",1,at the University of Iowa Hospital,at the University of Iowa Hospital.,participant-role,participant-role
109,29.0,"468, 505","468, 476",29,who have or have had eating disorders,who have,configuration,configuration
41,0.0,"409, 411","409, 411",0,go,go,main,main
44,46.2709412050371,"450, 505","455, 551",51,open to all males who have or have had eating disorders,"to all males who have or have had eating disorders, which is at the University of Iowa Hospital.",participant-role,participant-role
42,0.0,"412, 426","412, 426",0,to Men's group,to Men's group,participant-role,participant-role
33,0.0,"407, 439","407, 439",0,I go to Men's group every Friday,I go to Men's group every Friday,configuration,configuration
35,46.04345773288535,"441, 505","439, 551",48,which is open to all males who have or have had eating disorders,", which is open to all males who have or have had eating disorders, which is at the University of Iowa Hospital.",configuration,configuration
92,2.23606797749979,"507, 550","505, 551",3,which is at the University of Iowa Hospital,", which is at the University of Iowa Hospital.",configuration,configuration
110,2.0,"507, 512","505, 512",2,which,", which",participant-role,participant-role
43,0.0,"447, 449","447, 449",0,is,is,main,main
106,0.0,"468, 471","468, 471",0,who,who,participant-role,participant-role
40,0.0,"407, 408","407, 408",0,I,I,participant-role,participant-role
93,1.0,"552, 564","552, 565",1,It's awesome,It's awesome.,configuration,configuration
48,1.0,"555, 556","554, 556",1,s,'s,main,main
47,0.0,"552, 554","552, 554",0,It,It,participant-role,participant-role
49,1.0,"557, 564","557, 565",1,awesome,awesome.,participant-role,participant-role
94,3.0,"569, 592","566, 592",3,you're ever in the area,If you're ever in the area,configuration,configuration
111,0.0,"594, 598","594, 598",0,join,join,main,main
112,1.0,"599, 601","599, 602",1,us,us!,participant-role,participant-role
