,,Relaxed/Lambda Match Statistics
,Precission,0.7261146496815286
,Recall,0.8837209302325582
,F1,0.7972027972027971
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
3,5.0,"33, 45","38, 45",5,glad to hear,to hear,main,main
61,5.0990195135927845,"51, 124","46, 125",6,there was someone wanting to educate other people about men and their EDs,that there was someone wanting to educate other people about men and their EDs.,participant-role,participant-role
89,5.0990195135927845,"51, 124","46, 125",6,there was someone wanting to educate other people about men and their EDs,that there was someone wanting to educate other people about men and their EDs.,configuration,configuration
5,1.0,"61, 124","61, 125",1,someone wanting to educate other people about men and their EDs,someone wanting to educate other people about men and their EDs.,participant-role,participant-role
1,0.0,"27, 28","27, 28",0,I,I,participant-role,participant-role
4,0.0,"57, 60","57, 60",0,was,was,main,main
88,1.0,"27, 124","27, 125",1,I was glad to hear that there was someone wanting to educate other people about men and their EDs,I was glad to hear that there was someone wanting to educate other people about men and their EDs.,configuration,configuration
90,9.0,"135, 171","126, 171",9,many types of people suffer from EDs,Although many types of people suffer from EDs,configuration,configuration
9,5.0,"156, 167","156, 162",5,suffer from,suffer,main,main
8,0.0,"135, 155","135, 155",0,many types of people,many types of people,participant-role,participant-role
10,5.0,"168, 171","163, 171",5,EDs,from EDs,participant-role,participant-role
12,1.0,"182, 228","182, 229",1,a stigma attached to men with eating disorders,a stigma attached to men with eating disorders.,participant-role,participant-role
91,18.027756377319946,"173, 228","191, 229",19,there is a stigma attached to men with eating disorders,attached to men with eating disorders.,configuration,configuration
11,0.0,"179, 181","179, 181",0,is,is,main,main
94,40.01249804748511,"270, 315","230, 316",41,I live in Bemidji ( Bah-Midge-EEE ) Minnesota,"My name is Jason, I am 23 years old and I live in Bemidji ( Bah-Midge-EEE ) Minnesota.",configuration,configuration
18,2.0,"248, 249","246, 249",2,I,", I",participant-role,participant-role
20,9.0,"253, 265","262, 265",9,23 years old,old,participant-role,participant-role
16,0.0,"238, 240","238, 240",0,is,is,main,main
