Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,129,,157,,0.7261146496815286,0.8837209302325582,0.7972027972027971
,
RANK,32,24.8062015503876,37,23.56687898089172,0.7297297297297297,0.84375,0.7826086956521738
clause,32,100.0,37,100.0,0.7297297297297297,0.84375,0.7826086956521738
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,97,75.1937984496124,120,76.43312101910828,0.725,0.8969072164948454,0.8018433179723502
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,65,67.0103092783505,80,66.66666666666666,0.7375,0.9076923076923077,0.8137931034482759
complement-direct,65,67.0103092783505,80,66.66666666666666,0.7375,0.9076923076923077,0.8137931034482759
complement-indirect,65,67.0103092783505,80,66.66666666666666,0.7375,0.9076923076923077,0.8137931034482759
predicator,32,32.98969072164948,40,33.33333333333333,0.7,0.875,0.7777777777777777
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
