,,Relaxed/Lambda Match Statistics
,Precission,0.7477064220183486
,Recall,0.9644970414201184
,F1,0.8423772609819122
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,1.0,"28, 46","28, 47",1,an eating disorder,an eating disorder?,participant-role,participant-role
3,0.0,"23, 27","23, 27",0,have,have,main,main
2,0.0,"21, 22","21, 22",0,I,I,participant-role,participant-role
116,1.0,"18, 46","18, 47",1,Do I have an eating disorder,Do I have an eating disorder?,configuration,configuration
149,0.0,"63, 67","63, 67",0,Call,Call,main,main
150,0.0,"68, 70","68, 70",0,me,me,participant-role,participant-role
151,3.1622776601683795,"71, 76","68, 77",4,Tiger,me Tiger.,participant-role,participant-role
152,1.0,"63, 76","63, 77",1,Call me Tiger,Call me Tiger.,configuration,configuration
5,0.0,"78, 79","78, 79",0,I,I,participant-role,participant-role
7,0.0,"84, 114","84, 114",0,"a 6'0, 190, 32 w, athletic guy","a 6'0, 190, 32 w, athletic guy",participant-role,participant-role
117,1.0,"78, 132","78, 133",1,"I was a 6'0, 190, 32 w, athletic guy about 2 years ago","I was a 6'0, 190, 32 w, athletic guy about 2 years ago.",configuration,configuration
6,0.0,"80, 83","80, 83",0,was,was,main,main
118,5.0990195135927845,"139, 165","134, 166",6,I don't know what happened,Then I don't know what happened.,configuration,configuration
155,1.0,"152, 165","152, 166",1,what happened,what happened.,configuration,configuration
8,0.0,"139, 140","139, 140",0,I,I,participant-role,participant-role
11,1.0,"152, 165","152, 166",1,what happened,what happened.,participant-role,participant-role
154,0.0,"157, 165","157, 165",0,happened,happened,main,main
10,4.0,"147, 151","143, 151",4,know,n't know,main,main
153,0.0,"152, 156","152, 156",0,what,what,participant-role,participant-role
12,0.0,"167, 168","167, 168",0,I,I,participant-role,participant-role
119,0.0,"167, 196","167, 196",0,I lost all desire to workout.,I lost all desire to workout.,configuration,configuration
13,0.0,"169, 173","169, 173",0,lost,lost,main,main
14,11.0,"174, 196","185, 196",11,all desire to workout.,to workout.,participant-role,participant-role
157,0.0,"227, 230","227, 230",0,was,was,main,main
159,1.0,"197, 256","197, 257",1,"All I wanted to do after work was go home, eat and watch TV","All I wanted to do after work was go home, eat and watch TV.",configuration,configuration
158,0.0,"197, 226","197, 226",0,All I wanted to do after work,All I wanted to do after work,participant-role,participant-role
156,1.0,"231, 256","231, 257",1,"go home, eat and watch TV","go home, eat and watch TV.",participant-role,participant-role
21,1.0,"269, 290","269, 289",1,to clubs or anything.,to clubs or anything,participant-role,participant-role
16,4.123105625617661,"293, 332","289, 333",5,did not have any desire to meet friends,... did not have any desire to meet friends.,configuration,configuration
23,4.0,"301, 305","297, 305",4,have,not have,main,main
25,1.0,"306, 332","306, 333",1,any desire to meet friends,any desire to meet friends.,participant-role,participant-role
18,0.0,"258, 259","258, 259",0,I,I,participant-role,participant-role
15,1.0,"258, 290","258, 289",1,I don't go to clubs or anything.,I don't go to clubs or anything,configuration,configuration
20,4.0,"266, 268","262, 268",4,go,n't go,main,main
27,0.0,"349, 352","349, 352",0,got,got,main,main
17,9.0,"334, 357","334, 348",9,"A month ago, I got sick","A month ago, I",configuration,configuration
26,2.0,"347, 348","345, 348",2,I,", I",participant-role,participant-role
32,0.0,"395, 403","395, 403",0,informed,informed,main,main
31,0.0,"391, 394","391, 394",0,she,she,participant-role,participant-role
29,0.0,"359, 363","359, 363",0,Went,Went,main,main
30,0.0,"364, 386","364, 386",0,to the doctor's office,to the doctor's office,participant-role,participant-role
163,5.0990195135927845,"412, 455","407, 456",6,I gained 55 lbs in the last couple of years,that I gained 55 lbs in the last couple of years.,configuration,configuration
160,0.0,"412, 413","412, 413",0,I,I,participant-role,participant-role
35,29.274562336608895,"391, 427","387, 456",33,she informed me that I gained 55 lbs,and she informed me that I gained 55 lbs in the last couple of years.,configuration,configuration
33,0.0,"404, 406","404, 406",0,me,me,participant-role,participant-role
24,0.0,"359, 386","359, 386",0,Went to the doctor's office,Went to the doctor's office,configuration,configuration
34,5.0990195135927845,"412, 455","407, 456",6,I gained 55 lbs in the last couple of years,that I gained 55 lbs in the last couple of years.,participant-role,participant-role
162,29.0,"421, 427","421, 456",29,55 lbs,55 lbs in the last couple of years.,participant-role,participant-role
161,0.0,"414, 420","414, 420",0,gained,gained,main,main
122,0.0,"457, 498","457, 498",0,She diagnosed me with high blood pressure,She diagnosed me with high blood pressure,configuration,configuration
123,4.123105625617661,"503, 531","499, 532",5,told me to get back in shape,and told me to get back in shape.,configuration,configuration
41,0.0,"503, 507","503, 507",0,told,told,main,main
43,3.1622776601683795,"511, 531","508, 532",4,to get back in shape,me to get back in shape.,participant-role,participant-role
39,0.0,"471, 473","471, 473",0,me,me,participant-role,participant-role
42,0.0,"508, 510","508, 510",0,me,me,participant-role,participant-role
38,0.0,"461, 470","461, 470",0,diagnosed,diagnosed,main,main
40,0.0,"474, 498","474, 498",0,with high blood pressure,with high blood pressure,participant-role,participant-role
37,0.0,"457, 460","457, 460",0,She,She,participant-role,participant-role
124,1.0,"533, 538","533, 539",1,I did,I did.,configuration,configuration
44,0.0,"533, 534","533, 534",0,I,I,participant-role,participant-role
176,0.0,"550, 560","550, 560",0,what I ate,what I ate,configuration,configuration
46,0.0,"540, 541","540, 541",0,I,I,participant-role,participant-role
175,0.0,"557, 560","557, 560",0,ate,ate,main,main
125,0.0,"540, 560","540, 560",0,I watched what I ate,I watched what I ate,configuration,configuration
48,0.0,"550, 560","550, 560",0,what I ate,what I ate,participant-role,participant-role
126,4.0,"564, 591","560, 591",4,ate salads most of the time,... ate salads most of the time,configuration,configuration
51,0.0,"596, 600","596, 600",0,went,went,main,main
52,0.0,"601, 611","601, 611",0,to the gym,to the gym,participant-role,participant-role
173,0.0,"550, 554","550, 554",0,what,what,participant-role,participant-role
127,4.123105625617661,"596, 647","592, 648",5,went to the gym as often as I can - almost everyday,and went to the gym as often as I can - almost everyday.,configuration,configuration
174,0.0,"555, 556","555, 556",0,I,I,participant-role,participant-role
47,0.0,"542, 549","542, 549",0,watched,watched,main,main
54,0.0,"663, 670","663, 670",0,dropped,dropped,main,main
55,0.0,"671, 677","671, 677",0,20 lbs,20 lbs,participant-role,participant-role
56,0.0,"682, 689","682, 689",0,started,started,main,main
