,,Relaxed/Lambda Match Statistics
,Precission,0.2180327868852459
,Recall,0.6855670103092784
,F1,0.3308457711442786
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,1.0,"28, 46","28, 47",1,an eating disorder,an eating disorder?,possessed,possessed
3,0.0,"23, 27","23, 27",0,have,have,main,main
2,0.0,"21, 22","21, 22",0,I,I,carrier,carrier
116,1.0,"18, 46","18, 47",1,Do I have an eating disorder,Do I have an eating disorder?,relational,relational
116,1.0,"18, 46","18, 47",1,Do I have an eating disorder,Do I have an eating disorder?,possessive,possessive
149,0.0,"63, 67","63, 67",0,Call,Call,main,main
5,0.0,"78, 79","78, 79",0,I,I,carrier,carrier
7,0.0,"84, 114","84, 114",0,"a 6'0, 190, 32 w, athletic guy","a 6'0, 190, 32 w, athletic guy",attribute,attribute
117,1.0,"78, 132","78, 133",1,"I was a 6'0, 190, 32 w, athletic guy about 2 years ago","I was a 6'0, 190, 32 w, athletic guy about 2 years ago.",attributive,attributive
117,1.0,"78, 132","78, 133",1,"I was a 6'0, 190, 32 w, athletic guy about 2 years ago","I was a 6'0, 190, 32 w, athletic guy about 2 years ago.",relational,relational
6,0.0,"80, 83","80, 83",0,was,was,main,main
118,5.0990195135927845,"139, 165","134, 166",6,I don't know what happened,Then I don't know what happened.,mental,mental
118,5.0990195135927845,"139, 165","134, 166",6,I don't know what happened,Then I don't know what happened.,two-role-cognition,two-role-cognition
155,1.0,"152, 165","152, 166",1,what happened,what happened.,action,action
8,0.0,"139, 140","139, 140",0,I,I,cognizant,cognizant
11,1.0,"152, 165","152, 166",1,what happened,what happened.,phenomenon,phenomenon
154,0.0,"157, 165","157, 165",0,happened,happened,main,main
10,4.0,"147, 151","143, 151",4,know,n't know,main,main
12,0.0,"167, 168","167, 168",0,I,I,affected-carrier,affected-carrier
119,0.0,"167, 196","167, 196",0,I lost all desire to workout.,I lost all desire to workout.,possessive,possessive
13,0.0,"169, 173","169, 173",0,lost,lost,main,main
14,11.0,"174, 196","185, 196",11,all desire to workout.,to workout.,affected-possessed,affected-possessed
