,,Relaxed/Lambda Match Statistics
,Precission,0.21662468513853905
,Recall,0.5695364238410596
,F1,0.31386861313868614
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
93,6.082762530298219,"101, 124","107, 125",7,to me I have a huge gut,I have a huge gut.,relational,relational
93,6.082762530298219,"101, 124","107, 125",7,to me I have a huge gut,I have a huge gut.,possessive,possessive
5,0.0,"51, 57","51, 57",0,weighs,weighs,main,main
90,26.476404589747453,"25, 46","20, 72",31,I'm a 25 year old guy,Well I'm a 25 year old guy who weighs about 12 stone,attributive,attributive
90,26.476404589747453,"25, 46","20, 72",31,I'm a 25 year old guy,Well I'm a 25 year old guy who weighs about 12 stone,relational,relational
2,1.0,"27, 28","26, 28",1,m,'m,main,main
4,0.0,"47, 50","47, 50",0,who,who,carrier,carrier
6,0.0,"58, 72","58, 72",0,about 12 stone,about 12 stone,attribute,attribute
10,1.0,"114, 124","114, 125",1,a huge gut,a huge gut.,possessed,possessed
9,0.0,"109, 113","109, 113",0,have,have,main,main
91,24.0,"47, 96","47, 72",24,"who weighs about 12 stone, not exactly overweight",who weighs about 12 stone,attributive,attributive
91,24.0,"47, 96","47, 72",24,"who weighs about 12 stone, not exactly overweight",who weighs about 12 stone,relational,relational
1,0.0,"25, 26","25, 26",0,I,I,carrier,carrier
3,26.0,"29, 46","29, 72",26,a 25 year old guy,a 25 year old guy who weighs about 12 stone,attribute,attribute
8,0.0,"107, 108","107, 108",0,I,I,carrier,carrier
13,5.0,"137, 142","132, 142",5,doing,been doing,main,main
52,0.0,"212, 217","212, 217",0,guess,guess,main,main
16,3.0,"192, 199","192, 196",3,gave up,gave,main,main
19,8.0,"226, 237","226, 229",8,put back on,put,main,main
117,26.90724809414742,"253, 254","235, 274",38,I,on all the weight I had originally lost,affected-carrier,affected-carrier
20,22.20360331117452,"238, 252","235, 274",25,all the weight,on all the weight I had originally lost,affected-possessed,affected-possessed
22,0.0,"278, 282","278, 282",0,feel,feel,main,main
96,22.0,"224, 252","224, 274",22,I put back on all the weight,I put back on all the weight I had originally lost,relational,relational
96,22.0,"224, 252","224, 274",22,I put back on all the weight,I put back on all the weight I had originally lost,possessive,possessive
118,0.0,"270, 274","270, 274",0,lost,lost,main,main
121,0.0,"311, 315","311, 315",0,look,look,main,main
68,0.0,"680, 689","680, 689",0,beginning,beginning,main,main
28,12.0,"290, 320","290, 308",12,My friends tell me I look fine,My friends tell me,mental,mental
61,0.0,"613, 619","613, 619",0,sounds,sounds,main,main
60,4.0,"601, 603","597, 603",4,It,... It,carrier,carrier
106,4.123105625617661,"674, 705","670, 706",5,it is beginning to ruin my life,but it is beginning to ruin my life.,influential,influential
65,0.0,"649, 653","649, 653",0,what,what,phenomenon,phenomenon
102,0.0,"654, 657","654, 657",0,you,you,emoter,emoter
125,0.0,"457, 463","457, 463",0,anyone,anyone,emoter,emoter
131,0.0,"585, 597","585, 597",0,what you see,what you see,phenomenon,phenomenon
64,0.0,"644, 648","644, 648",0,type,type,main,main
58,34.23448553724738,"601, 634","597, 668",38,It actually sounds quite humorous,... It actually sounds quite humorous when you type what you're feeling,attributive,attributive
58,34.23448553724738,"601, 634","597, 668",38,It actually sounds quite humorous,... It actually sounds quite humorous when you type what you're feeling,relational,relational
25,0.0,"301, 305","301, 305",0,tell,tell,main,main
127,0.0,"470, 474","470, 474",0,want,want,main,main
130,0.0,"580, 584","580, 584",0,hate,hate,main,main
34,0.0,"371, 377","371, 377",0,no-one,no-one,agent-perceiver,agent-perceiver
51,15.0,"518, 537","518, 522",15,take an interest in,take,main,main
49,0.0,"505, 512","505, 512",0,someone,someone,agent,agent
