,,Relaxed/Lambda Match Statistics
,Precission,0.7142857142857143
,Recall,0.9154929577464789
,F1,0.8024691358024693
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,0.0,"44, 45","44, 45",0,I,I,participant-role,participant-role
10,22.561028345356956,"44, 94","39, 72",27,I've been hanging on so well since my brother left,that I've been hanging on so well,configuration,configuration
6,5.830951894845301,"54, 64","49, 61",8,hanging on,been hanging,main,main
159,22.561028345356956,"44, 94","39, 72",27,I've been hanging on so well since my brother left,that I've been hanging on so well,participant-role,participant-role
1,0.0,"17, 18","17, 18",0,I,I,participant-role,participant-role
9,1.0,"17, 94","17, 95",1,I'm sooo happy to say that I've been hanging on so well since my brother left,I'm sooo happy to say that I've been hanging on so well since my brother left.,configuration,configuration
3,11.0,"21, 38","32, 38",11,sooo happy to say,to say,main,main
16,53.0,"96, 168","96, 221",53,I've been keeping it at 600 or below every day without even wanting more,I've been keeping it at 600 or below every day without even wanting more ( unless it's an extra apple damn sugar cravings ) .,configuration,configuration
13,0.0,"106, 113","106, 113",0,keeping,keeping,main,main
11,0.0,"96, 97","96, 97",0,I,I,participant-role,participant-role
21,0.0,"226, 227","226, 227",0,I,I,participant-role,participant-role
22,0.0,"228, 235","228, 235",0,weighed,weighed,main,main
24,4.123105625617661,"226, 248","222, 249",5,I weighed myself today,And I weighed myself today!,configuration,configuration
23,0.0,"236, 242","236, 242",0,myself,myself,participant-role,participant-role
26,0.0,"272, 280","272, 280",0,8 pounds,8 pounds,participant-role,participant-role
29,1.0,"272, 295","272, 296",1,8 pounds gone in a week,8 pounds gone in a week.,configuration,configuration
27,0.0,"281, 285","281, 285",0,gone,gone,main,main
25,0.0,"320, 348","320, 348",0,water weight and muscle loss,water weight and muscle loss,participant-role,participant-role
35,1.0,"367, 371","367, 372",1,loss,loss!,participant-role,participant-role
36,5.0,"297, 348","297, 353",5,I think a lot of it is water weight and muscle loss,"I think a lot of it is water weight and muscle loss, but",configuration,configuration
30,0.0,"297, 298","297, 298",0,I,I,participant-role,participant-role
8,0.0,"317, 319","317, 319",0,is,is,main,main
33,2.0,"359, 363","357, 363",2,loss,", loss",participant-role,participant-role
31,0.0,"299, 304","299, 304",0,think,think,main,main
7,0.0,"305, 316","305, 316",0,a lot of it,a lot of it,participant-role,participant-role
34,0.0,"364, 366","364, 366",0,is,is,main,main
37,5.0990195135927845,"359, 371","354, 372",6,loss is loss,"hey, loss is loss!",configuration,configuration
28,0.0,"305, 348","305, 348",0,a lot of it is water weight and muscle loss,a lot of it is water weight and muscle loss,configuration,configuration
32,0.0,"305, 348","305, 348",0,a lot of it is water weight and muscle loss,a lot of it is water weight and muscle loss,participant-role,participant-role
41,0.0,"394, 395","394, 395",0,I,I,participant-role,participant-role
40,0.0,"378, 384","378, 384",0,so odd,so odd,participant-role,participant-role
39,1.0,"376, 377","375, 377",1,s,'s,main,main
139,4.0,"389, 393","385, 393",4,full,how full,participant-role,participant-role
42,1.0,"373, 419","373, 420",1,"It's so odd how full I've been feeling, though","It's so odd how full I've been feeling, though.",configuration,configuration
140,9.848857801796104,"389, 411","385, 420",13,full I've been feeling,"how full I've been feeling, though.",configuration,configuration
138,5.0,"404, 411","399, 411",5,feeling,been feeling,main,main
38,0.0,"373, 375","373, 375",0,It,It,participant-role,participant-role
47,1.0,"421, 500","421, 501",1,I don't understand how easily restricting is coming back to me this time around,I don't understand how easily restricting is coming back to me this time around.,configuration,configuration
141,0.0,"451, 462","451, 462",0,restricting,restricting,participant-role,participant-role
43,0.0,"421, 422","421, 422",0,I,I,participant-role,participant-role
143,5.0,"466, 477","466, 472",5,coming back,coming,main,main
45,4.0,"429, 439","425, 439",4,understand,n't understand,main,main
