,,Relaxed/Lambda Match Statistics
,Precission,0.1926782273603083
,Recall,0.5988023952095808
,F1,0.2915451895043732
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
9,26.627053911388696,"17, 94","32, 72",37,I'm sooo happy to say that I've been hanging on so well since my brother left,to say that I've been hanging on so well,mental,mental
4,0.0,"44, 45","44, 45",0,I,I,agent,agent
10,22.561028345356956,"44, 94","39, 72",27,I've been hanging on so well since my brother left,that I've been hanging on so well,action,action
6,5.830951894845301,"54, 64","49, 61",8,hanging on,been hanging,main,main
159,22.561028345356956,"44, 94","39, 72",27,I've been hanging on so well since my brother left,that I've been hanging on so well,phenomenon,phenomenon
3,11.0,"21, 38","32, 38",11,sooo happy to say,to say,main,main
13,0.0,"106, 113","106, 113",0,keeping,keeping,main,main
21,0.0,"226, 227","226, 227",0,I,I,agent,agent
22,0.0,"228, 235","228, 235",0,weighed,weighed,main,main
23,0.0,"236, 242","236, 242",0,myself,myself,affected,affected
26,0.0,"272, 280","272, 280",0,8 pounds,8 pounds,agent,agent
29,1.0,"272, 295","272, 296",1,8 pounds gone in a week,8 pounds gone in a week.,action,action
27,0.0,"281, 285","281, 285",0,gone,gone,main,main
35,1.0,"367, 371","367, 372",1,loss,loss!,attribute,attribute
36,5.0,"297, 348","297, 353",5,I think a lot of it is water weight and muscle loss,"I think a lot of it is water weight and muscle loss, but",mental,mental
36,5.0,"297, 348","297, 353",5,I think a lot of it is water weight and muscle loss,"I think a lot of it is water weight and muscle loss, but",two-role-cognition,two-role-cognition
30,0.0,"297, 298","297, 298",0,I,I,cognizant,cognizant
8,0.0,"317, 319","317, 319",0,is,is,main,main
33,2.0,"359, 363","357, 363",2,loss,", loss",carrier,carrier
31,0.0,"299, 304","299, 304",0,think,think,main,main
34,0.0,"364, 366","364, 366",0,is,is,main,main
37,5.0990195135927845,"359, 371","354, 372",6,loss is loss,"hey, loss is loss!",attributive,attributive
37,5.0990195135927845,"359, 371","354, 372",6,loss is loss,"hey, loss is loss!",relational,relational
32,0.0,"305, 348","305, 348",0,a lot of it is water weight and muscle loss,a lot of it is water weight and muscle loss,phenomenon,phenomenon
41,0.0,"394, 395","394, 395",0,I,I,carrier,carrier
39,1.0,"376, 377","375, 377",1,s,'s,main,main
139,4.0,"389, 393","385, 393",4,full,how full,attribute,attribute
138,5.0,"404, 411","399, 411",5,feeling,been feeling,main,main
140,9.848857801796104,"389, 411","385, 420",13,full I've been feeling,"how full I've been feeling, though.",attributive,attributive
47,1.0,"421, 500","421, 501",1,I don't understand how easily restricting is coming back to me this time around,I don't understand how easily restricting is coming back to me this time around.,mental,mental
47,1.0,"421, 500","421, 501",1,I don't understand how easily restricting is coming back to me this time around,I don't understand how easily restricting is coming back to me this time around.,two-role-cognition,two-role-cognition
141,0.0,"451, 462","451, 462",0,restricting,restricting,carrier,carrier
43,0.0,"421, 422","421, 422",0,I,I,cognizant,cognizant
143,5.0,"466, 477","466, 472",5,coming back,coming,main,main
45,4.0,"429, 439","425, 439",4,understand,n't understand,main,main
46,1.0,"440, 500","440, 501",1,how easily restricting is coming back to me this time around,how easily restricting is coming back to me this time around.,phenomenon,phenomenon
145,11.045361017187261,"451, 500","440, 501",12,restricting is coming back to me this time around,how easily restricting is coming back to me this time around.,directional,directional
144,0.0,"478, 483","478, 483",0,to me,to me,destination,destination
57,0.0,"623, 625","623, 625",0,is,is,main,main
119,4.123105625617661,"601, 647","597, 648",5,school-related stress is my main binge-trigger,and school-related stress is my main binge-trigger.,attributive,attributive
119,4.123105625617661,"601, 647","597, 648",5,school-related stress is my main binge-trigger,and school-related stress is my main binge-trigger.,relational,relational
58,1.0,"626, 647","626, 648",1,my main binge-trigger,my main binge-trigger.,attribute,attribute
56,0.0,"601, 622","601, 622",0,school-related stress,school-related stress,carrier,carrier
51,3.0,"534, 537","531, 537",3,end,to end,main,main
60,0.0,"655, 660","655, 660",0,think,think,main,main
147,0.0,"695, 702","695, 702",0,keeping,keeping,main,main
66,1.0,"763, 764","762, 764",1,s,'s,main,main
122,0.0,"760, 790","760, 790",0,it's almost completely protein,it's almost completely protein,attributive,attributive
122,0.0,"760, 790","760, 790",0,it's almost completely protein,it's almost completely protein,relational,relational
