Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,542,,679,,0.7245949926362297,0.9077490774907749,0.8058968058968059
,
RANK,144,26.56826568265683,167,24.594992636229748,0.7724550898203593,0.8958333333333334,0.829581993569132
clause,144,100.0,167,100.0,0.7724550898203593,0.8958333333333334,0.829581993569132
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,398,73.43173431734317,512,75.40500736377025,0.708984375,0.9120603015075377,0.7978021978021979
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,258,64.82412060301507,347,67.7734375,0.7089337175792507,0.9534883720930233,0.8132231404958679
complement-direct,258,64.82412060301507,347,67.7734375,0.7089337175792507,0.9534883720930233,0.8132231404958679
complement-indirect,258,64.82412060301507,347,67.7734375,0.7089337175792507,0.9534883720930233,0.8132231404958679
predicator,140,35.175879396984925,165,32.2265625,0.7090909090909091,0.8357142857142857,0.7672131147540985
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
