Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,245,,325,,0.7138461538461538,0.9469387755102041,0.8140350877192982
,
RANK,64,26.122448979591837,84,25.846153846153847,0.75,0.984375,0.8513513513513513
clause,64,100.0,84,100.0,0.75,0.984375,0.8513513513513513
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,181,73.87755102040816,241,74.15384615384616,0.7012448132780082,0.9337016574585635,0.8009478672985781
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,118,65.19337016574586,162,67.21991701244814,0.6790123456790124,0.9322033898305084,0.7857142857142857
complement-direct,118,65.19337016574586,162,67.21991701244814,0.6790123456790124,0.9322033898305084,0.7857142857142857
complement-indirect,118,65.19337016574586,162,67.21991701244814,0.6790123456790124,0.9322033898305084,0.7857142857142857
predicator,63,34.806629834254146,79,32.780082987551864,0.7468354430379747,0.9365079365079365,0.8309859154929577
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
