,,Relaxed/Lambda Match Statistics
,Precission,0.25523012552301255
,Recall,0.658273381294964
,F1,0.3678391959798995
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
3,5.0,"47, 53","42, 53",5,seeing,been seeing,main,main
6,2.0,"99, 101","97, 101",2,we,", we",carrier,carrier
10,0.0,"139, 141","139, 141",0,we,we,agent,agent
11,10.0,"142, 156","142, 146",10,play in a band,play,main,main
9,46.84015371452148,"99, 136","86, 181",58,we were friends for a couple of years,"Before that, we were friends for a couple of years ( we play in a band together at weekends ) .",attributive,attributive
9,46.84015371452148,"99, 136","86, 181",58,we were friends for a couple of years,"Before that, we were friends for a couple of years ( we play in a band together at weekends ) .",relational,relational
8,67.0,"107, 114","107, 181",67,friends,friends for a couple of years ( we play in a band together at weekends ) .,attribute,attribute
7,0.0,"102, 106","102, 106",0,were,were,main,main
28,2.0,"214, 220","212, 220",2,I'm 30,", I'm 30",attributive,attributive
28,2.0,"214, 220","212, 220",2,I'm 30,", I'm 30",relational,relational
15,1.0,"185, 186","184, 186",1,s,'s,main,main
22,1.0,"225, 226","224, 226",1,s,'s,main,main
19,1.0,"216, 217","215, 217",1,m,'m,main,main
20,0.0,"218, 220","218, 220",0,30,30,attribute,attribute
18,2.0,"214, 215","212, 215",2,I,", I",carrier,carrier
34,10.0,"294, 317","288, 309",14,"they have twins, aged 7",", and they have twins",relational,relational
34,10.0,"294, 317","288, 309",14,"they have twins, aged 7",", and they have twins",possessive,possessive
33,8.0,"304, 317","304, 309",8,"twins, aged 7",twins,possessed,possessed
31,0.0,"294, 298","294, 298",0,they,they,carrier,carrier
32,0.0,"299, 303","299, 303",0,have,have,main,main
26,8.0,"236, 240","236, 248",8,been,been married,main,main
46,18.439088914585774,"392, 445","406, 457",26,I was nothing to do with the break-up of the marriage,"to do with the break-up of the marriage, by the way",relational,relational
45,0.0,"394, 397","394, 397",0,was,was,main,main
40,0.0,"366, 378","366, 378",0,his children,his children,affected,affected
35,0.0,"319, 321","319, 321",0,He,He,agent-carrier,agent-carrier
36,5.0,"322, 336","322, 331",5,separated from,separated,main,main
39,0.0,"361, 365","361, 365",0,sees,sees,main,main
38,0.0,"319, 356","319, 356",0,He separated from his wife a year ago,He separated from his wife a year ago,matching,matching
38,0.0,"319, 356","319, 356",0,He separated from his wife a year ago,He separated from his wife a year ago,relational,relational
48,2.0,"487, 489","485, 489",2,we,", we",agent,agent
63,0.0,"577, 579","577, 579",0,he,he,agent,agent
50,0.0,"495, 502","495, 502",0,talking,talking,main,main
41,9.0,"560, 572","569, 572",9,he loved her,her,phenomenon,phenomenon
61,12.0,"548, 572","560, 572",12,he told her he loved her,he loved her,mental,mental
96,8.0,"470, 502","462, 502",8,"a few weeks ago, we were talking","Anyway, a few weeks ago, we were talking",action,action
97,17.69180601295413,"507, 572","519, 559",25,I asked him if when he was with his wife he told her he loved her,if when he was with his wife he told her,mental,mental
101,4.0,"577, 597","573, 597",4,"he said, ""of course""","and he said, ""of course""",mental,mental
101,4.0,"577, 597","573, 597",4,"he said, ""of course""","and he said, ""of course""",three-role-cognition,three-role-cognition
53,0.0,"515, 518","515, 518",0,him,him,affected-cognizant,affected-cognizant
52,0.0,"509, 514","509, 514",0,asked,asked,main,main
64,0.0,"580, 584","580, 584",0,said,said,main,main
54,0.0,"527, 529","527, 529",0,he,he,carrier,carrier
55,0.0,"530, 533","530, 533",0,was,was,main,main
58,0.0,"551, 555","551, 555",0,told,told,main,main
98,5.0,"527, 547","522, 547",5,he was with his wife,when he was with his wife,locational,locational
12,36.40054944640259,"522, 572","556, 559",47,when he was with his wife he told her he loved her,her,phenomenon,phenomenon
57,0.0,"548, 550","548, 550",0,he,he,agent,agent
97,25.317977802344327,"507, 572","503, 597",29,I asked him if when he was with his wife he told her he loved her,"and I asked him if when he was with his wife he told her he loved her and he said, ""of course""",three-role-cognition,three-role-cognition
51,0.0,"507, 508","507, 508",0,I,I,agent,agent
81,0.0,"706, 710","706, 710",0,said,said,main,main
104,5.0,"632, 643","627, 643",5,he loves me,that he loves me,mental,mental
94,0.0,"804, 808","804, 808",0,find,find,main,main
68,6.0,"616, 620","610, 620",6,said,never said,main,main
85,4.0,"730, 734","726, 734",4,love,n't love,main,main
103,0.0,"641, 643","641, 643",0,me,me,phenomenon,phenomenon
93,0.0,"797, 799","797, 799",0,go,go,main,main
107,8.06225774829855,"703, 737","711, 738",9,"he said that no, he didn't love me","that no, he didn't love me,",mental,mental
88,0.0,"753, 759","753, 759",0,wanted,wanted,main,main
91,0.0,"784, 785","784, 785",0,I,I,agent,agent
66,2.8284271247461903,"605, 607","603, 609",4,he,", he's",agent,agent
83,2.0,"720, 722","718, 722",2,he,", he",emoter,emoter
76,13.601470508735444,"804, 821","800, 808",13,find someone else,and find,relational,relational
76,13.601470508735444,"804, 821","800, 808",13,find someone else,and find,possessive,possessive
105,0.0,"648, 698","648, 698",0,last night I asked him straight out if he loved me,last night I asked him straight out if he loved me,mental,mental
105,0.0,"648, 698","648, 698",0,last night I asked him straight out if he loved me,last night I asked him straight out if he loved me,three-role-cognition,three-role-cognition
43,20.0,"687, 698","667, 698",20,he loved me,him straight out if he loved me,phenomenon,phenomenon
71,7.211102550927978,"605, 643","599, 647",10,he's never said to me that he loves me,"Well, he's never said to me that he loves me, so",mental,mental
71,7.211102550927978,"605, 643","599, 647",10,he's never said to me that he loves me,"Well, he's never said to me that he loves me, so",three-role-cognition,three-role-cognition
70,5.0,"632, 643","627, 643",5,he loves me,that he loves me,phenomenon,phenomenon
72,0.0,"632, 634","632, 634",0,he,he,emoter,emoter
78,0.0,"690, 695","690, 695",0,loved,loved,main,main
73,0.0,"659, 660","659, 660",0,I,I,agent,agent
74,0.0,"661, 666","661, 666",0,asked,asked,main,main
102,0.0,"635, 640","635, 640",0,loves,loves,main,main
86,0.0,"735, 737","735, 737",0,me,me,phenomenon,phenomenon
111,0.0,"839, 843","839, 843",0,said,said,main,main
122,0.0,"921, 924","921, 924",0,was,was,main,main
123,0.0,"969, 971","969, 971",0,he,he,carrier,carrier
124,0.0,"972, 975","972, 975",0,had,had,main,main
117,8.94427190999916,"860, 872","856, 864",10,fall in love,n't fall,main,main
