,,Relaxed/Lambda Match Statistics
,Precission,0.21807747489239598
,Recall,0.6129032258064516
,F1,0.3216931216931217
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
19,1.0,"22, 62","22, 63",1,My wife of 5 years has a very bad temper,My wife of 5 years has a very bad temper.,relational,relational
19,1.0,"22, 62","22, 63",1,My wife of 5 years has a very bad temper,My wife of 5 years has a very bad temper.,possessive,possessive
3,1.0,"45, 62","45, 63",1,a very bad temper,a very bad temper.,possessed,possessed
1,0.0,"22, 40","22, 40",0,My wife of 5 years,My wife of 5 years,carrier,carrier
2,0.0,"41, 44","41, 44",0,has,has,main,main
26,0.0,"182, 189","182, 189",0,smashes,smashes,main,main
5,0.0,"73, 77","73, 77",0,gets,gets,main,main
10,0.0,"111, 114","111, 114",0,she,she,emoter,emoter
14,0.0,"129, 134","129, 134",0,wants,wants,main,main
25,4.0,"150, 180","146, 180",4,throws her wedding rings at me,and throws her wedding rings at me,directional,directional
25,4.0,"150, 180","146, 180",4,throws her wedding rings at me,and throws her wedding rings at me,relational,relational
13,2.0,"125, 128","123, 128",2,she,", she",emoter,emoter
15,0.0,"135, 144","135, 144",0,a divorce,a divorce,phenomenon,phenomenon
12,0.0,"121, 123","121, 123",0,me,me,phenomenon,phenomenon
17,0.0,"157, 174","157, 174",0,her wedding rings,her wedding rings,affected-carrier,affected-carrier
8,10.0,"88, 105","98, 105",10,yells and screams,screams,main,main
21,20.024984394500787,"84, 144","64, 145",21,"she yells and screams that she hates me, she wants a divorce","When she gets angry she yells and screams that she hates me, she wants a divorce,",mental,mental
28,5.385164807134504,"182, 204","180, 209",7,smashes wedding photos,", smashes wedding photos etc.",action,action
11,0.0,"115, 120","115, 120",0,hates,hates,main,main
27,5.0,"190, 204","190, 209",5,wedding photos,wedding photos etc.,affected,affected
18,0.0,"175, 180","175, 180",0,at me,at me,affected-destination,affected-destination
16,0.0,"150, 156","150, 156",0,throws,throws,main,main
23,5.0,"111, 123","106, 123",5,she hates me,that she hates me,mental,mental
37,6.082762530298219,"248, 267","242, 268",7,we've been together,since we've been together.,relational,relational
35,0.0,"254, 258","254, 258",0,been,been,main,main
31,0.0,"219, 227","219, 227",0,happened,happened,main,main
33,27.0,"210, 241","210, 268",27,This has happened some 50 times,This has happened some 50 times since we've been together.,action,action
90,1.0,"310, 339","310, 340",1,her to take back her comments,her to take back her comments.,phenomenon,phenomenon
