,,Relaxed/Lambda Match Statistics
,Precission,0.7853403141361257
,Recall,0.9036144578313253
,F1,0.8403361344537815
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,5.0,"42, 49","37, 49",5,lurking,been lurking,main,main
11,8.06225774829855,"69, 114","61, 115",9,I'm experiencing some problems in my marriage,because I'm experiencing some problems in my marriage.,configuration,configuration
9,14.035668847618199,"86, 114","100, 115",15,some problems in my marriage,in my marriage.,participant-role,participant-role
10,55.0,"32, 60","32, 115",55,I've been lurking here a bit,I've been lurking here a bit because I'm experiencing some problems in my marriage.,configuration,configuration
6,0.0,"69, 70","69, 70",0,I,I,participant-role,participant-role
1,0.0,"32, 33","32, 33",0,I,I,participant-role,participant-role
8,0.0,"73, 85","73, 85",0,experiencing,experiencing,main,main
15,1.0,"116, 148","116, 149",1,Here's a quick bit of background,Here's a quick bit of background.,configuration,configuration
12,0.0,"116, 120","116, 120",0,Here,Here,participant-role,participant-role
14,1.0,"123, 148","123, 149",1,a quick bit of background,a quick bit of background.,participant-role,participant-role
13,1.0,"121, 122","120, 122",1,s,'s,main,main
18,0.0,"154, 167","154, 167",0,a married man,a married man,participant-role,participant-role
17,1.0,"152, 153","151, 153",1,m,'m,main,main
21,2.23606797749979,"169, 193","167, 194",3,been married for 7 years,", been married for 7 years.",configuration,configuration
22,27.0,"150, 167","150, 194",27,I'm a married man,"I'm a married man, been married for 7 years.",configuration,configuration
16,0.0,"150, 151","150, 151",0,I,I,participant-role,participant-role
19,8.0,"169, 173","169, 181",8,been,been married,main,main
23,0.0,"195, 196","195, 196",0,I,I,participant-role,participant-role
25,17.0,"202, 233","202, 216",17,"three children, aged 6, 4 and 2",three children,participant-role,participant-role
27,1.0,"195, 233","195, 234",1,"I have three children, aged 6, 4 and 2","I have three children, aged 6, 4 and 2.",configuration,configuration
31,17.72004514666935,"255, 296","250, 313",22,friendship getting in the way of marriage,"with friendship getting in the way of marriage, and vice-versa.",participant-role,participant-role
29,0.0,"235, 243","235, 243",0,My issue,My issue,participant-role,participant-role
30,5.0,"244, 254","244, 249",5,deals with,deals,main,main
32,1.0,"235, 312","235, 313",1,"My issue deals with friendship getting in the way of marriage, and vice-versa","My issue deals with friendship getting in the way of marriage, and vice-versa.",configuration,configuration
35,0.0,"326, 333","326, 333",0,younger,younger,participant-role,participant-role
38,0.0,"359, 363","359, 363",0,been,been,main,main
40,6.0,"320, 333","314, 333",6,I was younger,Since I was younger,configuration,configuration
33,0.0,"320, 321","320, 321",0,I,I,participant-role,participant-role
34,0.0,"322, 325","322, 325",0,was,was,main,main
36,2.0,"335, 353","333, 353",2,most of my friends,", most of my friends",participant-role,participant-role
41,21.02379604162864,"335, 370","314, 371",22,most of my friends have been female,"Since I was younger, most of my friends have been female.",configuration,configuration
39,1.0,"364, 370","364, 371",1,female,female.,participant-role,participant-role
49,25.317977802344327,"395, 438","391, 413",29,has had no problem with this until recently,and has had no problem,configuration,configuration
44,0.0,"385, 389","385, 389",0,this,this,participant-role,participant-role
47,0.0,"399, 402","399, 402",0,had,had,main,main
43,0.0,"380, 384","380, 384",0,knew,knew,main,main
48,10.0,"403, 423","403, 413",10,no problem with this,no problem,participant-role,participant-role
45,1.0,"372, 389","372, 390",1,My wife knew this,"My wife knew this,",configuration,configuration
42,0.0,"372, 379","372, 379",0,My wife,My wife,participant-role,participant-role
59,2.23606797749979,"496, 525","494, 526",3,who also happens to be female,", who also happens to be female.",configuration,configuration
52,0.0,"452, 465","452, 465",0,been visiting,been visiting,main,main
58,1.0,"519, 525","519, 526",1,female,female.,participant-role,participant-role
57,32.0,"440, 494","440, 526",32,Lately I've been visiting a mutual friend of 6 + years,"Lately I've been visiting a mutual friend of 6 + years, who also happens to be female.",configuration,configuration
53,32.0,"466, 494","466, 526",32,a mutual friend of 6 + years,"a mutual friend of 6 + years, who also happens to be female.",participant-role,participant-role
50,0.0,"447, 448","447, 448",0,I,I,participant-role,participant-role
54,2.0,"496, 499","494, 499",2,who,", who",participant-role,participant-role
56,0.0,"513, 518","513, 518",0,to be,to be,main,main
60,0.0,"527, 536","527, 536",0,My visits,My visits,participant-role,participant-role
68,11.0,"578, 597","567, 597",11,the kids are asleep,well after the kids are asleep,configuration,configuration
62,6.0,"548, 566","554, 566",6,going to her house,to her house,participant-role,participant-role
67,37.44329045369811,"527, 566","548, 597",38,My visits consist of going to her house,going to her house well after the kids are asleep,configuration,configuration
65,0.0,"591, 597","591, 597",0,asleep,asleep,participant-role,participant-role
