Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,166,,191,,0.7853403141361257,0.9036144578313253,0.8403361344537815
,
RANK,43,25.903614457831324,50,26.17801047120419,0.8,0.9302325581395349,0.8602150537634408
clause,43,100.0,50,100.0,0.8,0.9302325581395349,0.8602150537634408
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,123,74.09638554216868,141,73.82198952879581,0.7801418439716312,0.8943089430894309,0.8333333333333334
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,81,65.85365853658537,92,65.24822695035462,0.8043478260869565,0.9135802469135802,0.8554913294797687
complement-direct,81,65.85365853658537,92,65.24822695035462,0.8043478260869565,0.9135802469135802,0.8554913294797687
complement-indirect,81,65.85365853658537,92,65.24822695035462,0.8043478260869565,0.9135802469135802,0.8554913294797687
predicator,42,34.146341463414636,49,34.751773049645394,0.7346938775510204,0.8571428571428571,0.7912087912087913
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
