,,Relaxed/Lambda Match Statistics
,Precission,0.25732217573221755
,Recall,0.6243654822335025
,F1,0.36444444444444446
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
9,15.0,"86, 114","86, 99",15,some problems in my marriage,some problems,phenomenon,phenomenon
4,5.0,"42, 49","37, 49",5,lurking,been lurking,main,main
11,8.06225774829855,"69, 114","61, 115",9,I'm experiencing some problems in my marriage,because I'm experiencing some problems in my marriage.,mental,mental
11,8.06225774829855,"69, 114","61, 115",9,I'm experiencing some problems in my marriage,because I'm experiencing some problems in my marriage.,two-role-perception,two-role-perception
6,0.0,"69, 70","69, 70",0,I,I,agent-perceiver,agent-perceiver
8,0.0,"73, 85","73, 85",0,experiencing,experiencing,main,main
15,1.0,"116, 148","116, 149",1,Here's a quick bit of background,Here's a quick bit of background.,attributive,attributive
15,1.0,"116, 148","116, 149",1,Here's a quick bit of background,Here's a quick bit of background.,relational,relational
12,0.0,"116, 120","116, 120",0,Here,Here,carrier,carrier
14,1.0,"123, 148","123, 149",1,a quick bit of background,a quick bit of background.,attribute,attribute
13,1.0,"121, 122","120, 122",1,s,'s,main,main
18,0.0,"154, 167","154, 167",0,a married man,a married man,attribute,attribute
17,1.0,"152, 153","151, 153",1,m,'m,main,main
21,19.026297590440446,"169, 193","150, 194",20,been married for 7 years,"I'm a married man, been married for 7 years.",attributive,attributive
21,19.026297590440446,"169, 193","150, 194",20,been married for 7 years,"I'm a married man, been married for 7 years.",relational,relational
16,0.0,"150, 151","150, 151",0,I,I,carrier,carrier
19,8.0,"169, 173","169, 181",8,been,been married,main,main
31,25.495097567963924,"255, 296","274, 313",35,friendship getting in the way of marriage,"in the way of marriage, and vice-versa.",affected,affected
30,5.0,"244, 254","244, 249",5,deals with,deals,main,main
32,31.016124838541646,"235, 312","266, 313",32,"My issue deals with friendship getting in the way of marriage, and vice-versa","getting in the way of marriage, and vice-versa.",action,action
35,0.0,"326, 333","326, 333",0,younger,younger,attribute,attribute
38,0.0,"359, 363","359, 363",0,been,been,main,main
40,6.0,"320, 333","314, 333",6,I was younger,Since I was younger,attributive,attributive
40,6.0,"320, 333","314, 333",6,I was younger,Since I was younger,relational,relational
33,0.0,"320, 321","320, 321",0,I,I,carrier,carrier
34,0.0,"322, 325","322, 325",0,was,was,main,main
36,2.0,"335, 353","333, 353",2,most of my friends,", most of my friends",carrier,carrier
41,21.02379604162864,"335, 370","314, 371",22,most of my friends have been female,"Since I was younger, most of my friends have been female.",attributive,attributive
41,21.02379604162864,"335, 370","314, 371",22,most of my friends have been female,"Since I was younger, most of my friends have been female.",relational,relational
39,1.0,"364, 370","364, 371",1,female,female.,attribute,attribute
49,25.317977802344327,"395, 438","391, 413",29,has had no problem with this until recently,and has had no problem,relational,relational
49,25.317977802344327,"395, 438","391, 413",29,has had no problem with this until recently,and has had no problem,possessive,possessive
44,0.0,"385, 389","385, 389",0,this,this,phenomenon,phenomenon
47,0.0,"399, 402","399, 402",0,had,had,main,main
43,0.0,"380, 384","380, 384",0,knew,knew,main,main
48,10.0,"403, 423","403, 413",10,no problem with this,no problem,possessed,possessed
45,1.0,"372, 389","372, 390",1,My wife knew this,"My wife knew this,",mental,mental
