,,Relaxed/Lambda Match Statistics
,Precission,0.7451523545706371
,Recall,0.9405594405594405
,F1,0.8315301391035548
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,0.0,"18, 20","18, 20",0,Is,Is,main,main
3,1.0,"24, 30","24, 31",1,afraid,afraid?,participant-role,participant-role
2,0.0,"21, 23","21, 23",0,he,he,participant-role,participant-role
51,1.0,"18, 30","18, 31",1,Is he afraid,Is he afraid?,configuration,configuration
5,0.0,"36, 39","36, 39",0,was,was,main,main
52,1.0,"34, 85","34, 86",1,I was in a long-term relationship with my boyfriend,I was in a long-term relationship with my boyfriend.,configuration,configuration
4,0.0,"34, 35","34, 35",0,I,I,participant-role,participant-role
6,1.0,"40, 85","40, 86",1,in a long-term relationship with my boyfriend,in a long-term relationship with my boyfriend.,participant-role,participant-role
56,0.0,"154, 155","154, 155",0,I,I,participant-role,participant-role
12,2.0,"139, 140","137, 140",2,I,", I",participant-role,participant-role
11,0.0,"132, 137","132, 137",0,ended,ended,main,main
54,5.0,"129, 137","124, 137",5,it ended,when it ended,configuration,configuration
10,0.0,"129, 131","129, 131",0,it,it,participant-role,participant-role
55,15.033296378372908,"139, 186","124, 187",16,I thought that I would never fall in love again,"when it ended, I thought that I would never fall in love again.",configuration,configuration
8,0.0,"90, 94","90, 94",0,were,were,main,main
13,0.0,"141, 148","141, 148",0,thought,thought,main,main
14,5.0990195135927845,"154, 186","149, 187",6,I would never fall in love again,that I would never fall in love again.,participant-role,participant-role
58,5.0990195135927845,"154, 186","149, 187",6,I would never fall in love again,that I would never fall in love again.,configuration,configuration
53,4.0,"87, 119","87, 123",4,We were together for seven years,We were together for seven years and,configuration,configuration
59,10.0,"168, 180","162, 172",11,fall in love,never fall,main,main
7,0.0,"87, 89","87, 89",0,We,We,participant-role,participant-role
17,1.0,"232, 252","232, 253",1,in a local chat room,in a local chat room.,participant-role,participant-role
61,6.082762530298219,"194, 252","188, 253",7,"one Friday night last December, I was in a local chat room","Then, one Friday night last December, I was in a local chat room.",configuration,configuration
15,2.0,"226, 227","224, 227",2,I,", I",participant-role,participant-role
16,0.0,"228, 231","228, 231",0,was,was,main,main
64,37.0,"254, 337","254, 374",37,"Being bored and feeling a little adventurous, I decided I would meet this older man","Being bored and feeling a little adventurous, I decided I would meet this older man ( I was 23 at the time and he 37 ) .",configuration,configuration
22,2.0,"300, 301","298, 301",2,I,", I",participant-role,participant-role
67,0.0,"318, 322","318, 322",0,meet,meet,main,main
25,0.0,"340, 341","340, 341",0,I,I,participant-role,participant-role
26,0.0,"342, 345","342, 345",0,was,was,main,main
23,0.0,"302, 309","302, 309",0,decided,decided,main,main
24,37.0,"310, 337","310, 374",37,I would meet this older man,I would meet this older man ( I was 23 at the time and he 37 ) .,participant-role,participant-role
70,14.142135623730951,"340, 360","338, 374",16,I was 23 at the time,( I was 23 at the time and he 37 ) .,configuration,configuration
65,0.0,"310, 311","310, 311",0,I,I,participant-role,participant-role
27,34.713109915419565,"346, 348","323, 374",49,23,this older man ( I was 23 at the time and he 37 ) .,participant-role,participant-role
28,19.235384061671343,"365, 367","346, 370",22,he,23 at the time and he 37,participant-role,participant-role
76,0.0,"399, 403","399, 403",0,hurt,hurt,main,main
31,0.0,"377, 384","377, 384",0,figured,figured,main,main
30,0.0,"375, 376","375, 376",0,I,I,participant-role,participant-role
75,0.0,"396, 398","396, 398",0,it,it,participant-role,participant-role
72,19.0,"375, 403","375, 384",19,I figured what could it hurt,I figured,configuration,configuration
73,0.0,"385, 389","385, 389",0,what,what,participant-role,participant-role
79,26.019223662515376,"441, 494","467, 495",27,it would be a great story to tell years down the road,to tell years down the road.,configuration,configuration
39,0.0,"450, 452","450, 452",0,be,be,main,main
35,0.0,"419, 423","419, 423",0,make,make,main,main
36,0.0,"424, 436","424, 436",0,a new friend,a new friend,participant-role,participant-role
33,0.0,"405, 406","405, 406",0,I,I,participant-role,participant-role
37,0.0,"441, 443","441, 443",0,it,it,participant-role,participant-role
40,8.0,"453, 474","453, 466",8,a great story to tell,a great story,participant-role,participant-role
43,0.0,"503, 507","503, 507",0,sent,sent,main,main
44,0.0,"508, 510","508, 510",0,me,me,participant-role,participant-role
48,0.0,"553, 555","553, 555",0,he,he,participant-role,participant-role
47,0.0,"544, 547","544, 547",0,was,was,main,main
81,4.123105625617661,"525, 574","521, 575",5,my initial thought was that he was too old for me,and my initial thought was that he was too old for me.,configuration,configuration
45,0.0,"511, 520","511, 520",0,a picture,a picture,participant-role,participant-role
82,5.0990195135927845,"553, 574","548, 575",6,he was too old for me,that he was too old for me.,configuration,configuration
46,0.0,"525, 543","525, 543",0,my initial thought,my initial thought,participant-role,participant-role
80,0.0,"496, 520","496, 520",0,He had sent me a picture,He had sent me a picture,configuration,configuration
41,0.0,"496, 498","496, 498",0,He,He,participant-role,participant-role
49,0.0,"556, 559","556, 559",0,was,was,main,main
18,5.0990195135927845,"553, 574","548, 575",6,he was too old for me,that he was too old for me.,participant-role,participant-role
50,7.0,"560, 574","560, 567",7,too old for me,too old,participant-role,participant-role
83,2.0,"588, 590","586, 590",2,we,", we",participant-role,participant-role
84,0.0,"591, 594","591, 594",0,met,met,main,main
86,1.0,"576, 594","576, 595",1,"That night, we met","That night, we met.",configuration,configuration
94,1.0,"661, 707","661, 708",1,the one that thought he was drop dead gorgeous,the one that thought he was drop dead gorgeous.,participant-role,participant-role
99,4.123105625617661,"633, 707","629, 708",5,the funny thing was she was the one that thought he was drop dead gorgeous,and the funny thing was she was the one that thought he was drop dead gorgeous.,configuration,configuration
