,,Relaxed/Lambda Match Statistics
,Precission,0.2340909090909091
,Recall,0.6149253731343284
,F1,0.3390946502057613
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,0.0,"18, 20","18, 20",0,Is,Is,main,main
3,1.0,"24, 30","24, 31",1,afraid,afraid?,attribute,attribute
2,0.0,"21, 23","21, 23",0,he,he,carrier,carrier
51,1.0,"18, 30","18, 31",1,Is he afraid,Is he afraid?,attributive,attributive
51,1.0,"18, 30","18, 31",1,Is he afraid,Is he afraid?,relational,relational
5,0.0,"36, 39","36, 39",0,was,was,main,main
52,1.0,"34, 85","34, 86",1,I was in a long-term relationship with my boyfriend,I was in a long-term relationship with my boyfriend.,locational,locational
52,1.0,"34, 85","34, 86",1,I was in a long-term relationship with my boyfriend,I was in a long-term relationship with my boyfriend.,relational,relational
4,0.0,"34, 35","34, 35",0,I,I,carrier,carrier
6,1.0,"40, 85","40, 86",1,in a long-term relationship with my boyfriend,in a long-term relationship with my boyfriend.,location,location
12,2.0,"139, 140","137, 140",2,I,", I",cognizant,cognizant
11,0.0,"132, 137","132, 137",0,ended,ended,main,main
55,15.033296378372908,"139, 186","124, 187",16,I thought that I would never fall in love again,"when it ended, I thought that I would never fall in love again.",mental,mental
55,15.033296378372908,"139, 186","124, 187",16,I thought that I would never fall in love again,"when it ended, I thought that I would never fall in love again.",two-role-cognition,two-role-cognition
8,0.0,"90, 94","90, 94",0,were,were,main,main
13,0.0,"141, 148","141, 148",0,thought,thought,main,main
14,5.0990195135927845,"154, 186","149, 187",6,I would never fall in love again,that I would never fall in love again.,phenomenon,phenomenon
59,10.0,"168, 180","162, 172",11,fall in love,never fall,main,main
17,1.0,"232, 252","232, 253",1,in a local chat room,in a local chat room.,location,location
61,6.082762530298219,"194, 252","188, 253",7,"one Friday night last December, I was in a local chat room","Then, one Friday night last December, I was in a local chat room.",locational,locational
61,6.082762530298219,"194, 252","188, 253",7,"one Friday night last December, I was in a local chat room","Then, one Friday night last December, I was in a local chat room.",relational,relational
15,2.0,"226, 227","224, 227",2,I,", I",carrier,carrier
16,0.0,"228, 231","228, 231",0,was,was,main,main
67,0.0,"318, 322","318, 322",0,meet,meet,main,main
26,0.0,"342, 345","342, 345",0,was,was,main,main
23,0.0,"302, 309","302, 309",0,decided,decided,main,main
76,0.0,"399, 403","399, 403",0,hurt,hurt,main,main
31,0.0,"377, 384","377, 384",0,figured,figured,main,main
39,0.0,"450, 452","450, 452",0,be,be,main,main
35,0.0,"419, 423","419, 423",0,make,make,main,main
36,0.0,"424, 436","424, 436",0,a new friend,a new friend,possessed,possessed
33,0.0,"405, 406","405, 406",0,I,I,carrier,carrier
43,0.0,"503, 507","503, 507",0,sent,sent,main,main
44,0.0,"508, 510","508, 510",0,me,me,affected-carrier,affected-carrier
47,0.0,"544, 547","544, 547",0,was,was,main,main
80,0.0,"496, 520","496, 520",0,He had sent me a picture,He had sent me a picture,relational,relational
41,0.0,"496, 498","496, 498",0,He,He,agent,agent
49,0.0,"556, 559","556, 559",0,was,was,main,main
83,2.0,"588, 590","586, 590",2,we,", we",agent,agent
84,0.0,"591, 594","591, 594",0,met,met,main,main
86,1.0,"576, 594","576, 595",1,"That night, we met","That night, we met.",action,action
100,29.017236257093817,"653, 707","682, 708",30,she was the one that thought he was drop dead gorgeous,he was drop dead gorgeous.,attributive,attributive
93,0.0,"657, 660","657, 660",0,was,was,main,main
92,0.0,"653, 656","653, 656",0,she,she,carrier,carrier
89,0.0,"606, 620","606, 620",0,my best friend,my best friend,affected,affected
88,0.0,"598, 605","598, 605",0,brought,brought,main,main
100,1.0,"653, 707","653, 708",1,she was the one that thought he was drop dead gorgeous,she was the one that thought he was drop dead gorgeous.,relational,relational
87,0.0,"596, 597","596, 597",0,I,I,agent,agent
98,0.0,"596, 628","596, 628",0,I brought my best friend with me,I brought my best friend with me,action,action
94,28.0178514522438,"661, 707","689, 708",29,the one that thought he was drop dead gorgeous,drop dead gorgeous.,attribute,attribute
91,0.0,"649, 652","649, 652",0,was,was,main,main
108,0.0,"755, 758","755, 758",0,say,say,main,main
115,7.0,"793, 803","793, 796",7,hit it off,hit,main,main
110,3.0,"772, 779","772, 776",3,wore on,wore,main,main
113,3.0,"762, 779","759, 779",3,the night wore on,as the night wore on,action,action
119,0.0,"808, 814","808, 814",0,talked,talked,main,main
122,0.0,"847, 851","847, 851",0,went,went,main,main
121,1.0,"805, 836","805, 837",1,We talked over pizza and a beer,"We talked over pizza and a beer,",action,action
118,0.0,"805, 807","805, 807",0,We,We,agent,agent
139,4.0,"943, 947","939, 947",4,want,n't want,main,main
141,1.0,"934, 973","934, 974",1,I didn't want the night to end so early,I didn't want the night to end so early.,mental,mental
136,45.0111097397076,"927, 973","882, 974",46,I knew I didn't want the night to end so early,"When Beth decided that it was time to leave, I knew I didn't want the night to end so early.",mental,mental
136,45.0111097397076,"927, 973","882, 974",46,I knew I didn't want the night to end so early,"When Beth decided that it was time to leave, I knew I didn't want the night to end so early.",two-role-cognition,two-role-cognition
133,2.0,"927, 928","925, 928",2,I,", I",cognizant,cognizant
134,0.0,"929, 933","929, 933",0,knew,knew,main,main
126,0.0,"892, 899","892, 899",0,decided,decided,main,main
135,1.0,"934, 973","934, 974",1,I didn't want the night to end so early,I didn't want the night to end so early.,phenomenon,phenomenon
140,10.04987562112089,"948, 973","958, 974",11,the night to end so early,to end so early.,phenomenon,phenomenon
137,0.0,"934, 935","934, 935",0,I,I,emoter,emoter
143,0.0,"981, 988","981, 988",0,invited,invited,main,main
