,,Relaxed/Lambda Match Statistics
,Precission,0.7757009345794392
,Recall,0.9021739130434783
,F1,0.8341708542713568
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
6,30.0,"66, 73","48, 97",42,married,"I am thirty-four, married, and have two children.",configuration,configuration
5,27.294688127912362,"66, 73","53, 97",37,married,"thirty-four, married, and have two children.",participant-role,participant-role
9,1.0,"84, 96","84, 97",1,two children,two children.,participant-role,participant-role
1,0.0,"48, 49","48, 49",0,I,I,participant-role,participant-role
2,0.0,"50, 52","50, 52",0,am,am,main,main
11,0.0,"100, 104","100, 104",0,have,have,main,main
10,0.0,"98, 99","98, 99",0,I,I,participant-role,participant-role
13,1.0,"98, 142","98, 143",1,I have a loving husband and a beautiful home,I have a loving husband and a beautiful home.,configuration,configuration
12,1.0,"105, 142","105, 143",1,a loving husband and a beautiful home,a loving husband and a beautiful home.,participant-role,participant-role
24,5.0990195135927845,"164, 201","159, 202",6,there is this guy that I want so much,that there is this guy that I want so much.,participant-role,participant-role
150,1.0,"182, 201","182, 202",1,that I want so much,that I want so much.,configuration,configuration
148,0.0,"187, 188","187, 188",0,I,I,participant-role,participant-role
146,0.0,"173, 181","173, 181",0,this guy,this guy,participant-role,participant-role
147,16.0,"182, 186","182, 202",16,that,that I want so much.,participant-role,participant-role
145,0.0,"170, 172","170, 172",0,is,is,main,main
25,1.0,"144, 201","144, 202",1,The problem is that there is this guy that I want so much,The problem is that there is this guy that I want so much.,configuration,configuration
23,0.0,"156, 158","156, 158",0,is,is,main,main
22,0.0,"144, 155","144, 155",0,The problem,The problem,participant-role,participant-role
149,0.0,"189, 193","189, 193",0,want,want,main,main
154,5.0,"220, 230","220, 225",5,slept with,slept,main,main
28,39.81205847478876,"239, 259","203, 276",53,about nine years ago,The first time I slept with him was about nine years ago after my husband,participant-role,participant-role
29,22.67156809750927,"203, 259","218, 276",32,The first time I slept with him was about nine years ago,I slept with him was about nine years ago after my husband,configuration,configuration
153,0.0,"218, 219","218, 219",0,I,I,participant-role,participant-role
155,0.0,"231, 234","231, 234",0,him,him,participant-role,participant-role
156,57.0,"203, 234","203, 291",57,The first time I slept with him,The first time I slept with him was about nine years ago after my husband had an affair.,configuration,configuration
32,1.0,"281, 290","281, 291",1,an affair,an affair.,participant-role,participant-role
31,0.0,"277, 280","277, 280",0,had,had,main,main
27,0.0,"235, 238","235, 238",0,was,was,main,main
33,42.37924020083418,"266, 290","226, 276",37,my husband had an affair,with him was about nine years ago after my husband,configuration,configuration
30,6.0,"266, 276","260, 276",6,my husband,after my husband,participant-role,participant-role
36,4.123105625617661,"312, 329","316, 330",5,all about revenge,about revenge.,participant-role,participant-role
34,2.0,"305, 307","303, 307",2,it,", it",participant-role,participant-role
37,1.0,"292, 329","292, 330",1,"At the time, it was all about revenge","At the time, it was all about revenge.",configuration,configuration
35,0.0,"308, 311","308, 311",0,was,was,main,main
38,2.0,"349, 360","347, 360",2,the revenge,", the revenge",participant-role,participant-role
39,0.0,"361, 363","361, 363",0,is,is,main,main
43,24.0,"331, 368","331, 392",24,"Nine years later, the revenge is over","Nine years later, the revenge is over, but the affair is not.",configuration,configuration
41,0.0,"374, 384","374, 384",0,the affair,the affair,participant-role,participant-role
158,0.0,"435, 437","435, 437",0,we,we,participant-role,participant-role
161,5.0,"424, 452","419, 452",5,every time we see each other,that every time we see each other,configuration,configuration
50,0.0,"457, 460","457, 460",0,are,are,main,main
49,2.0,"454, 456","452, 456",2,we,", we",participant-role,participant-role
51,9.055385138137417,"461, 480","470, 481",10,all over each other,each other.,participant-role,participant-role
160,0.0,"442, 452","442, 452",0,each other,each other,participant-role,participant-role
52,31.016124838541646,"424, 480","393, 481",32,"every time we see each other, we are all over each other","We have so much chemistry that every time we see each other, we are all over each other.",configuration,configuration
45,0.0,"393, 395","393, 395",0,We,We,participant-role,participant-role
159,0.0,"438, 441","438, 441",0,see,see,main,main
47,34.92849839314596,"401, 418","393, 452",42,so much chemistry,We have so much chemistry that every time we see each other,participant-role,participant-role
56,1.0,"482, 502","482, 503",1,He is amazing in bed,He is amazing in bed.,configuration,configuration
54,0.0,"485, 487","485, 487",0,is,is,main,main
53,0.0,"482, 484","482, 484",0,He,He,participant-role,participant-role
55,7.0,"488, 502","488, 495",7,amazing in bed,amazing,participant-role,participant-role
57,0.0,"504, 506","504, 506",0,We,We,participant-role,participant-role
65,3.0,"575, 582","575, 579",3,stay up,stay,main,main
162,0.0,"589, 591","589, 591",0,it,it,participant-role,participant-role
64,28.0,"559, 570","559, 598",28,the sun set,the sun set and stay up until it rises.,participant-role,participant-role
16,0.0,"559, 566","559, 566",0,the sun,the sun,participant-role,participant-role
66,4.123105625617661,"575, 597","571, 598",5,stay up until it rises,and stay up until it rises.,configuration,configuration
20,28.0,"550, 570","550, 598",28,We watch the sun set,We watch the sun set and stay up until it rises.,configuration,configuration
17,0.0,"567, 570","567, 570",0,set,set,main,main
18,0.0,"559, 570","559, 570",0,the sun set,the sun set,configuration,configuration
163,0.0,"592, 597","592, 597",0,rises,rises,main,main
164,6.082762530298219,"589, 597","583, 598",7,it rises,until it rises.,configuration,configuration
62,0.0,"550, 552","550, 552",0,We,We,participant-role,participant-role
63,0.0,"553, 558","553, 558",0,watch,watch,main,main
67,0.0,"599, 601","599, 601",0,We,We,participant-role,participant-role
69,1.0,"599, 682","599, 683",1,"We make love on the beach, in the boat, on the dock, and just about anywhere we can","We make love on the beach, in the boat, on the dock, and just about anywhere we can.",configuration,configuration
68,5.0,"602, 611","602, 606",5,make love,make,main,main
73,4.123105625617661,"688, 726","684, 727",5,our relationship is not only about sex,But our relationship is not only about sex.,configuration,configuration
72,6.082762530298219,"717, 726","723, 727",7,about sex,sex.,participant-role,participant-role
70,0.0,"688, 704","688, 704",0,our relationship,our relationship,participant-role,participant-role
71,4.0,"705, 707","705, 711",4,is,is not,main,main
