Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,184,,214,,0.7757009345794392,0.9021739130434783,0.8341708542713568
,
RANK,49,26.6304347826087,50,23.364485981308412,0.84,0.8571428571428571,0.8484848484848485
clause,49,100.0,50,100.0,0.84,0.8571428571428571,0.8484848484848485
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,135,73.36956521739131,164,76.63551401869158,0.7560975609756098,0.9185185185185185,0.8294314381270903
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,87,64.44444444444444,112,68.29268292682927,0.7232142857142857,0.9310344827586207,0.8140703517587939
complement-direct,87,64.44444444444444,112,68.29268292682927,0.7232142857142857,0.9310344827586207,0.8140703517587939
complement-indirect,87,64.44444444444444,112,68.29268292682927,0.7232142857142857,0.9310344827586207,0.8140703517587939
predicator,48,35.55555555555556,52,31.70731707317073,0.8269230769230769,0.8958333333333334,0.86
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
