,,Relaxed/Lambda Match Statistics
,Precission,0.1836734693877551
,Recall,0.6
,F1,0.28125
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
6,30.0,"66, 73","48, 97",42,married,"I am thirty-four, married, and have two children.",attributive,attributive
6,30.0,"66, 73","48, 97",42,married,"I am thirty-four, married, and have two children.",relational,relational
5,27.294688127912362,"66, 73","53, 97",37,married,"thirty-four, married, and have two children.",attribute,attribute
1,0.0,"48, 49","48, 49",0,I,I,carrier,carrier
2,0.0,"50, 52","50, 52",0,am,am,main,main
11,0.0,"100, 104","100, 104",0,have,have,main,main
10,0.0,"98, 99","98, 99",0,I,I,carrier,carrier
13,1.0,"98, 142","98, 143",1,I have a loving husband and a beautiful home,I have a loving husband and a beautiful home.,relational,relational
13,1.0,"98, 142","98, 143",1,I have a loving husband and a beautiful home,I have a loving husband and a beautiful home.,possessive,possessive
12,1.0,"105, 142","105, 143",1,a loving husband and a beautiful home,a loving husband and a beautiful home.,possessed,possessed
145,0.0,"170, 172","170, 172",0,is,is,main,main
23,0.0,"156, 158","156, 158",0,is,is,main,main
149,0.0,"189, 193","189, 193",0,want,want,main,main
154,5.0,"220, 230","220, 225",5,slept with,slept,main,main
153,58.9406481131655,"218, 219","203, 276",72,I,The first time I slept with him was about nine years ago after my husband,agent,agent
155,50.47771785649585,"231, 234","203, 276",70,him,The first time I slept with him was about nine years ago after my husband,affected,affected
26,42.0,"203, 234","203, 276",42,The first time I slept with him,The first time I slept with him was about nine years ago after my husband,carrier,carrier
29,32.0,"203, 259","203, 291",32,The first time I slept with him was about nine years ago,The first time I slept with him was about nine years ago after my husband had an affair.,relational,relational
33,63.00793600809346,"266, 290","203, 291",64,my husband had an affair,The first time I slept with him was about nine years ago after my husband had an affair.,possessive,possessive
32,1.0,"281, 290","281, 291",1,an affair,an affair.,possessed,possessed
31,0.0,"277, 280","277, 280",0,had,had,main,main
27,0.0,"235, 238","235, 238",0,was,was,main,main
156,47.885279575251516,"203, 234","226, 276",37,The first time I slept with him,with him was about nine years ago after my husband,action,action
36,4.123105625617661,"312, 329","316, 330",5,all about revenge,about revenge.,attribute,attribute
34,2.0,"305, 307","303, 307",2,it,", it",carrier,carrier
37,1.0,"292, 329","292, 330",1,"At the time, it was all about revenge","At the time, it was all about revenge.",attributive,attributive
35,0.0,"308, 311","308, 311",0,was,was,main,main
38,2.0,"349, 360","347, 360",2,the revenge,", the revenge",carrier,carrier
39,0.0,"361, 363","361, 363",0,is,is,main,main
158,0.0,"435, 437","435, 437",0,we,we,agent,agent
52,28.442925306655784,"424, 480","419, 452",33,"every time we see each other, we are all over each other",that every time we see each other,relational,relational
50,0.0,"457, 460","457, 460",0,are,are,main,main
160,0.0,"442, 452","442, 452",0,each other,each other,affected,affected
159,0.0,"438, 441","438, 441",0,see,see,main,main
56,1.0,"482, 502","482, 503",1,He is amazing in bed,He is amazing in bed.,attributive,attributive
56,1.0,"482, 502","482, 503",1,He is amazing in bed,He is amazing in bed.,relational,relational
54,0.0,"485, 487","485, 487",0,is,is,main,main
53,0.0,"482, 484","482, 484",0,He,He,carrier,carrier
