,,Relaxed/Lambda Match Statistics
,Precission,0.6869158878504673
,Recall,0.9245283018867925
,F1,0.7882037533512065
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
136,0.0,"81, 84","81, 84",0,saw,saw,main,main
4,3.0,"60, 70","57, 70",3,this woman,by this woman,participant-role,participant-role
137,0.0,"85, 90","85, 90",0,my ad,my ad,participant-role,participant-role
3,3.0,"47, 59","47, 56",3,contacted by,contacted,main,main
135,0.0,"77, 80","77, 80",0,she,she,participant-role,participant-role
138,6.082762530298219,"77, 118","71, 119",7,she saw my ad on an online personals site,after she saw my ad on an online personals site.,configuration,configuration
1,0.0,"41, 42","41, 42",0,I,I,participant-role,participant-role
9,0.0,"120, 122","120, 122",0,We,We,participant-role,participant-role
10,1.0,"120, 159","120, 160",1,We hit it off good right from the start,We hit it off good right from the start.,configuration,configuration
8,12.0,"123, 138","123, 126",12,hit it off good,hit,main,main
13,0.0,"170, 172","170, 172",0,IM,IM,main,main
11,0.0,"161, 163","161, 163",0,We,We,participant-role,participant-role
16,13.0,"188, 206","188, 193",13,speak on the phone,speak,main,main
14,0.0,"173, 183","173, 183",0,each other,each other,participant-role,participant-role
18,4.123105625617661,"188, 229","184, 230",5,speak on the phone over the next few days,and speak on the phone over the next few days.,configuration,configuration
19,0.0,"231, 237","231, 237",0,Things,Things,participant-role,participant-role
24,0.0,"274, 281","274, 281",0,invited,invited,main,main
22,11.045361017187261,"231, 262","242, 263",12,Things got progressively hotter,"progressively hotter,",configuration,configuration
27,4.123105625617661,"268, 324","264, 325",5,I was invited to come over to her place the next weekend,and I was invited to come over to her place the next weekend.,configuration,configuration
20,0.0,"238, 241","238, 241",0,got,got,main,main
26,0.0,"268, 269","268, 269",0,I,I,participant-role,participant-role
31,0.0,"359, 379","359, 379",0,from total strangers,from total strangers,participant-role,participant-role
30,0.0,"354, 358","354, 358",0,went,went,main,main
33,5.0990195135927845,"331, 412","326, 413",6,"in one week's time, we went from total strangers to spending the weekend together","Yes, in one week's time, we went from total strangers to spending the weekend together.",configuration,configuration
29,2.0,"351, 353","349, 353",2,we,", we",participant-role,participant-role
32,1.0,"380, 412","380, 413",1,to spending the weekend together,to spending the weekend together.,participant-role,participant-role
42,4.123105625617661,"447, 544","443, 545",5,from her photos and conversations I just knew I wouldn't be disappointed when we met face-to-face,but from her photos and conversations I just knew I wouldn't be disappointed when we met face-to-face.,configuration,configuration
146,5.0990195135927845,"525, 544","520, 545",6,we met face-to-face,when we met face-to-face.,configuration,configuration
41,1.0,"493, 544","493, 545",1,I wouldn't be disappointed when we met face-to-face,I wouldn't be disappointed when we met face-to-face.,participant-role,participant-role
143,26.0,"493, 519","493, 545",26,I wouldn't be disappointed,I wouldn't be disappointed when we met face-to-face.,configuration,configuration
37,1.0,"414, 441","414, 442",1,She lived ninety miles away,"She lived ninety miles away,",configuration,configuration
35,0.0,"418, 423","418, 423",0,lived,lived,main,main
141,13.601470508735444,"504, 506","500, 519",17,be,n't be disappointed,main,main
145,0.0,"528, 531","528, 531",0,met,met,main,main
139,0.0,"493, 494","493, 494",0,I,I,participant-role,participant-role
40,0.0,"488, 492","488, 492",0,knew,knew,main,main
34,0.0,"414, 417","414, 417",0,She,She,participant-role,participant-role
39,0.0,"481, 482","481, 482",0,I,I,participant-role,participant-role
144,0.0,"525, 527","525, 527",0,we,we,participant-role,participant-role
157,0.0,"620, 623","620, 623",0,she,she,participant-role,participant-role
7,0.0,"553, 560","553, 560",0,arrived,arrived,main,main
5,0.0,"551, 552","551, 552",0,I,I,participant-role,participant-role
28,0.0,"578, 581","578, 581",0,she,she,participant-role,participant-role
38,0.0,"582, 588","582, 588",0,opened,opened,main,main
23,5.0,"551, 573","546, 573",5,I arrived at her place,When I arrived at her place,configuration,configuration
17,0.0,"561, 573","561, 573",0,at her place,at her place,participant-role,participant-role
47,1.0,"613, 659","613, 660",1,to see she was more attractive than her photos,to see she was more attractive than her photos!,participant-role,participant-role
158,0.0,"624, 627","624, 627",0,was,was,main,main
