,,Relaxed/Lambda Match Statistics
,Precission,0.171900826446281
,Recall,0.5777777777777777
,F1,0.264968152866242
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
136,0.0,"81, 84","81, 84",0,saw,saw,main,main
137,0.0,"85, 90","85, 90",0,my ad,my ad,phenomenon,phenomenon
3,3.0,"47, 59","47, 56",3,contacted by,contacted,main,main
135,0.0,"77, 80","77, 80",0,she,she,perceiver,perceiver
138,6.082762530298219,"77, 118","71, 119",7,she saw my ad on an online personals site,after she saw my ad on an online personals site.,two-role-perception,two-role-perception
9,0.0,"120, 122","120, 122",0,We,We,agent,agent
8,12.0,"123, 138","123, 126",12,hit it off good,hit,main,main
13,0.0,"170, 172","170, 172",0,IM,IM,main,main
16,13.0,"188, 206","188, 193",13,speak on the phone,speak,main,main
18,4.123105625617661,"188, 229","184, 230",5,speak on the phone over the next few days,and speak on the phone over the next few days.,action,action
24,0.0,"274, 281","274, 281",0,invited,invited,main,main
27,14.035668847618199,"268, 324","282, 325",15,I was invited to come over to her place the next weekend,to come over to her place the next weekend.,action,action
20,0.0,"238, 241","238, 241",0,got,got,main,main
30,0.0,"354, 358","354, 358",0,went,went,main,main
33,5.0990195135927845,"331, 412","326, 413",6,"in one week's time, we went from total strangers to spending the weekend together","Yes, in one week's time, we went from total strangers to spending the weekend together.",directional,directional
33,5.0990195135927845,"331, 412","326, 413",6,"in one week's time, we went from total strangers to spending the weekend together","Yes, in one week's time, we went from total strangers to spending the weekend together.",relational,relational
29,2.0,"351, 353","349, 353",2,we,", we",agent-carrier,agent-carrier
42,4.123105625617661,"447, 544","443, 545",5,from her photos and conversations I just knew I wouldn't be disappointed when we met face-to-face,but from her photos and conversations I just knew I wouldn't be disappointed when we met face-to-face.,mental,mental
42,4.123105625617661,"447, 544","443, 545",5,from her photos and conversations I just knew I wouldn't be disappointed when we met face-to-face,but from her photos and conversations I just knew I wouldn't be disappointed when we met face-to-face.,two-role-cognition,two-role-cognition
41,1.0,"493, 544","493, 545",1,I wouldn't be disappointed when we met face-to-face,I wouldn't be disappointed when we met face-to-face.,phenomenon,phenomenon
37,1.0,"414, 441","414, 442",1,She lived ninety miles away,"She lived ninety miles away,",locational,locational
35,0.0,"418, 423","418, 423",0,lived,lived,main,main
141,13.601470508735444,"504, 506","500, 519",17,be,n't be disappointed,main,main
145,0.0,"528, 531","528, 531",0,met,met,main,main
40,0.0,"488, 492","488, 492",0,knew,knew,main,main
34,0.0,"414, 417","414, 417",0,She,She,carrier,carrier
146,5.0990195135927845,"525, 544","520, 545",6,we met face-to-face,when we met face-to-face.,action,action
39,0.0,"481, 482","481, 482",0,I,I,cognizant,cognizant
144,0.0,"525, 527","525, 527",0,we,we,agent,agent
157,0.0,"620, 623","620, 623",0,she,she,carrier,carrier
7,0.0,"553, 560","553, 560",0,arrived,arrived,main,main
28,0.0,"578, 581","578, 581",0,she,she,agent,agent
159,16.0,"628, 659","628, 643",16,more attractive than her photos,more attractive,attribute,attribute
38,0.0,"582, 588","582, 588",0,opened,opened,main,main
23,5.0,"551, 573","546, 573",5,I arrived at her place,When I arrived at her place,directional,directional
23,5.0,"551, 573","546, 573",5,I arrived at her place,When I arrived at her place,relational,relational
17,0.0,"561, 573","561, 573",0,at her place,at her place,destination,destination
158,0.0,"624, 627","624, 627",0,was,was,main,main
147,4.0,"578, 597","574, 597",4,she opened the door,and she opened the door,action,action
160,1.0,"620, 659","620, 660",1,she was more attractive than her photos,she was more attractive than her photos!,attributive,attributive
160,1.0,"620, 659","620, 660",1,she was more attractive than her photos,she was more attractive than her photos!,relational,relational
43,0.0,"589, 597","589, 597",0,the door,the door,affected,affected
47,7.0710678118654755,"613, 659","620, 660",8,to see she was more attractive than her photos,she was more attractive than her photos!,phenomenon,phenomenon
52,74.32361670424818,"667, 826","697, 758",98,"we had a great time barbequing, going through a bottle of wine, slow dancing in the kitchen, and sharing some passionate kisses with a little groping thrown in",", going through a bottle of wine, slow dancing in the kitchen",action,action
50,13.0,"670, 686","670, 673",13,had a great time,had,main,main
51,2.0,"667, 669","665, 669",2,we,", we",agent,agent
54,0.0,"831, 835","831, 835",0,were,were,main,main
57,0.0,"859, 861","859, 861",0,We,We,agent,agent
58,5.0,"862, 872","862, 867",5,wound down,wound,main,main
62,1.0,"897, 908","897, 909",1,to her room,to her room.,destination,destination
61,0.0,"892, 896","892, 896",0,went,went,main,main
63,4.123105625617661,"892, 908","888, 909",5,went to her room,and went to her room.,directional,directional
63,4.123105625617661,"892, 908","888, 909",5,went to her room,and went to her room.,relational,relational
60,0.0,"859, 887","859, 887",0,We wound down about midnight,We wound down about midnight,action,action
164,16.0,"931, 951","931, 935",16,some of the best sex,some,phenomenon,phenomenon
65,0.0,"913, 922","913, 922",0,proceeded,proceeded,main,main
163,0.0,"963, 971","963, 971",0,remember,remember,main,main
161,0.0,"952, 953","952, 953",0,I,I,cognizant,cognizant
64,13.038404810405298,"923, 978","936, 979",14,to have some of the best sex I can ever remember having,of the best sex I can ever remember having.,phenomenon,phenomenon
70,1.0,"987, 996","987, 997",1,delicious,delicious.,attribute,attribute
69,0.0,"983, 986","983, 986",0,was,was,main,main
68,0.0,"980, 982","980, 982",0,It,It,carrier,carrier
71,1.0,"980, 996","980, 997",1,It was delicious,It was delicious.,attributive,attributive
71,1.0,"980, 996","980, 997",1,It was delicious,It was delicious.,relational,relational
75,6.0,"998, 1024","998, 1030",6,The morning after was nice,"The morning after was nice, too.",relational,relational
73,0.0,"1016, 1019","1016, 1019",0,was,was,main,main
85,0.0,"1094, 1101","1094, 1101",0,thanked,thanked,main,main
89,0.0,"1132, 1137","1132, 1137",0,split,split,main,main
77,0.0,"1033, 1037","1033, 1037",0,made,made,main,main
80,16.0,"1046, 1065","1046, 1049",16,had some small talk,had,main,main
82,0.0,"1067, 1075","1067, 1075",0,finished,finished,main,main
86,0.0,"1102, 1105","1102, 1105",0,her,her,affected-cognizant,affected-cognizant
90,4.123105625617661,"1132, 1137","1128, 1138",5,split,and split.,action,action
76,0.0,"1031, 1032","1031, 1032",0,I,I,agent,agent
88,2.0,"1094, 1126","1092, 1126",2,thanked her for a wonderful time,", thanked her for a wonderful time",mental,mental
88,2.0,"1094, 1126","1092, 1126",2,thanked her for a wonderful time,", thanked her for a wonderful time",three-role-cognition,three-role-cognition
92,1.0,"1149, 1150","1148, 1150",1,s,'s,main,main
94,5.0990195135927845,"1144, 1160","1139, 1161",6,here's the thing,"Now, here's the thing.",locational,locational
97,4.0,"1173, 1179","1169, 1179",4,spoken,n't spoken,main,main
106,0.0,"1220, 1222","1220, 1222",0,is,is,main,main
167,0.0,"1215, 1219","1215, 1219",0,know,know,main,main
120,45.0,"1313, 1397","1313, 1442",45,We both agreed that the sex we had was like making love with someone you cared about,We both agreed that the sex we had was like making love with someone you cared about; and we had a great time during the evening.,mental,mental
113,0.0,"1321, 1327","1321, 1327",0,agreed,agreed,main,main
116,0.0,"1403, 1405","1403, 1405",0,we,we,agent,agent
151,5.0,"1348, 1356","1348, 1351",5,was like,was,main,main
119,4.123105625617661,"1403, 1441","1399, 1442",5,we had a great time during the evening,and we had a great time during the evening.,action,action
152,12.0,"1357, 1397","1369, 1397",12,making love with someone you cared about,with someone you cared about,phenomenon,phenomenon
117,13.0,"1406, 1422","1406, 1409",13,had a great time,had,main,main
122,0.0,"1452, 1456","1452, 1456",0,left,left,main,main
121,4.0,"1443, 1451","1443, 1447",4,This all,This,agent,agent
124,11.045361017187261,"1457, 1472","1468, 1473",12,me wanting more,more.,phenomenon,phenomenon
128,5.0990195135927845,"1486, 1512","1481, 1513",6,a junkie hurting for a fix,like a junkie hurting for a fix.,attribute,attribute
129,1.0,"1474, 1512","1474, 1513",1,I feel like a junkie hurting for a fix,I feel like a junkie hurting for a fix.,attributive,attributive
129,1.0,"1474, 1512","1474, 1513",1,I feel like a junkie hurting for a fix,I feel like a junkie hurting for a fix.,relational,relational
127,5.0,"1476, 1485","1476, 1480",5,feel like,feel,main,main
126,0.0,"1474, 1475","1474, 1475",0,I,I,carrier,carrier
130,0.0,"1514, 1515","1514, 1515",0,I,I,cognizant,cognizant
156,1.0,"1538, 1567","1538, 1568",1,what is making her so distant,what is making her so distant.,influential,influential
118,0.0,"1538, 1542","1538, 1542",0,what,what,agent,agent
132,4.0,"1527, 1537","1523, 1537",4,understand,n't understand,main,main
155,1.0,"1553, 1567","1553, 1568",1,her so distant,her so distant.,phenomenon,phenomenon
154,0.0,"1546, 1552","1546, 1552",0,making,making,main,main
133,1.0,"1538, 1567","1538, 1568",1,what is making her so distant,what is making her so distant.,phenomenon,phenomenon
114,42.44997055358225,"1333, 1397","1364, 1368",60,the sex we had was like making love with someone you cared about,love,phenomenon,phenomenon
,
,Manual mismatching all parsed (False Negative)
6,"41, 70",I was contacted by this woman,action
1,"41, 42",I,affected
4,"60, 70",this woman,agent
138,"77, 118",she saw my ad on an online personals site,mental
10,"120, 159",We hit it off good right from the start,action
15,"161, 183",We would IM each other,action
11,"161, 163",We,agent
14,"173, 183",each other,affected
22,"231, 262",Things got progressively hotter,relational
22,"231, 262",Things got progressively hotter,attributive
19,"231, 237",Things,carrier
21,"242, 262",progressively hotter,attribute
26,"268, 269",I,affected
31,"359, 379",from total strangers,source
32,"380, 412",to spending the weekend together,destination
37,"414, 441",She lived ninety miles away,relational
36,"424, 441",ninety miles away,location
143,"493, 519",I wouldn't be disappointed,relational
143,"493, 519",I wouldn't be disappointed,attributive
139,"493, 494",I,carrier
142,"507, 519",disappointed,attribute
5,"551, 552",I,agent-carrier
48,"599, 659",I was pleased to see she was more attractive than her photos,mental
44,"599, 600",I,emoter
46,"605, 612",pleased,main
