,,Relaxed/Lambda Match Statistics
,Precission,0.7837837837837838
,Recall,0.9103139013452914
,F1,0.8423236514522822
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
7,3.0,"42, 69","39, 69",3,I hope you can bear with me,so I hope you can bear with me,configuration,configuration
4,0.0,"42, 43","42, 43",0,I,I,participant-role,participant-role
6,0.0,"49, 69","49, 69",0,you can bear with me,you can bear with me,participant-role,participant-role
12,0.0,"49, 69","49, 69",0,you can bear with me,you can bear with me,configuration,configuration
5,0.0,"44, 48","44, 48",0,hope,hope,main,main
2,12.0,"23, 38","23, 26",12,new to all this,new,participant-role,participant-role
8,0.0,"49, 52","49, 52",0,you,you,participant-role,participant-role
3,32.57299494980466,"20, 38","30, 69",30,am new to all this,all this so I hope you can bear with me,configuration,configuration
10,5.0,"57, 66","57, 61",5,bear with,bear,main,main
11,5.0,"67, 69","62, 69",5,me,with me,participant-role,participant-role
1,0.0,"20, 22","20, 22",0,am,am,main,main
16,0.0,"93, 100","93, 100",0,I am 23,I am 23,configuration,configuration
13,0.0,"93, 94","93, 94",0,I,I,participant-role,participant-role
20,9.055385138137417,"102, 117","93, 118",10,my fiancé is 37,"I am 23, my fiancé is 37.",configuration,configuration
19,1.0,"115, 117","115, 118",1,37,37.,participant-role,participant-role
17,2.23606797749979,"102, 111","100, 112",3,my fiancé,", my fiancé ",participant-role,participant-role
15,0.0,"98, 100","98, 100",0,23,23,participant-role,participant-role
14,0.0,"95, 97","95, 97",0,am,am,main,main
18,0.0,"112, 114","112, 114",0,is,is,main,main
21,0.0,"119, 120","119, 120",0,I,I,participant-role,participant-role
22,0.0,"121, 125","121, 125",0,have,have,main,main
23,35.0,"126, 138","126, 173",35,a 3 year old,a 3 year old from my last marriage ( I know ) .,participant-role,participant-role
24,13.0,"119, 160","119, 173",13,I have a 3 year old from my last marriage,I have a 3 year old from my last marriage ( I know ) .,configuration,configuration
32,0.0,"220, 228","220, 228",0,40 miles,40 miles,participant-role,participant-role
33,22.02271554554524,"207, 243","229, 244",23,I just moved 40 miles to be with him,to be with him.,configuration,configuration
30,0.0,"207, 208","207, 208",0,I,I,participant-role,participant-role
27,0.0,"182, 186","182, 186",0,been,been,main,main
25,0.0,"174, 176","174, 176",0,We,We,participant-role,participant-role
29,42.0,"174, 202","174, 244",42,We have been together a year,We have been together a year and I just moved 40 miles to be with him.,configuration,configuration
48,0.0,"315, 318","315, 318",0,she,she,participant-role,participant-role
40,5.0,"264, 270","259, 270",5,we met,when we met,configuration,configuration
35,0.0,"248, 253","248, 253",0,hated,hated,main,main
39,0.0,"267, 270","267, 270",0,met,met,main,main
43,4.0,"275, 292","271, 292",4,now loves my girl,but now loves my girl,configuration,configuration
42,0.0,"285, 292","285, 292",0,my girl,my girl,participant-role,participant-role
38,0.0,"264, 266","264, 266",0,we,we,participant-role,participant-role
49,0.0,"319, 324","319, 324",0,loves,loves,main,main
44,0.0,"299, 302","299, 302",0,she,she,participant-role,participant-role
45,0.0,"303, 306","303, 306",0,was,was,main,main
46,4.0,"307, 314","311, 314",4,his own,own,participant-role,participant-role
47,3.0,"299, 314","296, 314",3,she was his own,if she was his own,configuration,configuration
36,34.0,"254, 258","254, 292",34,kids,kids when we met but now loves my girl,participant-role,participant-role
34,0.0,"245, 247","245, 247",0,He,He,participant-role,participant-role
50,0.0,"325, 328","325, 328",0,him,him,participant-role,participant-role
41,0.0,"279, 284","279, 284",0,loves,loves,main,main
228,0.0,"356, 357","356, 357",0,I,I,participant-role,participant-role
229,0.0,"358, 362","358, 362",0,feel,feel,main,main
63,3.0,"423, 432","423, 429",3,scared of,scared,main,main
52,0.0,"344, 345","344, 345",0,I,I,participant-role,participant-role
231,3.0,"356, 391","353, 391",3,I feel threatened by what they have,if I feel threatened by what they have,configuration,configuration
64,3.1622776601683795,"433, 477","430, 478",4,putting my daughter through another break-up,of putting my daughter through another break-up.,participant-role,participant-role
61,6.0,"398, 415","392, 415",6,I want to get out,or if I want to get out,configuration,configuration
60,0.0,"405, 415","405, 415",0,to get out,to get out,participant-role,participant-role
230,0.0,"363, 391","363, 391",0,threatened by what they have,threatened by what they have,participant-role,participant-role
55,49.73932046178355,"398, 477","441, 452",68,I want to get out but am scared of putting my daughter through another break-up,my daughter,participant-role,participant-role
56,39.0,"334, 391","334, 352",39,Sometimes I wonder if I feel threatened by what they have,Sometimes I wonder,configuration,configuration
65,4.123105625617661,"420, 477","416, 478",5,am scared of putting my daughter through another break-up,but am scared of putting my daughter through another break-up.,configuration,configuration
59,0.0,"400, 404","400, 404",0,want,want,main,main
53,0.0,"346, 352","346, 352",0,wonder,wonder,main,main
58,0.0,"398, 399","398, 399",0,I,I,participant-role,participant-role
54,18.0,"356, 391","374, 391",18,I feel threatened by what they have,by what they have,participant-role,participant-role
72,5.0,"543, 547","538, 547",5,work,from work,participant-role,participant-role
67,0.0,"482, 484","482, 484",0,is,is,main,main
78,18.027756377319946,"578, 585","560, 586",19,candles,a bath and lights candles.,participant-role,participant-role
74,0.0,"552, 554","552, 554",0,he,he,participant-role,participant-role
69,27.0,"479, 524","506, 524",27,He is a wonderful man kind caring considerate,caring considerate,configuration,configuration
66,0.0,"479, 481","479, 481",0,He,He,participant-role,participant-role
73,61.07372593840988,"526, 547","479, 586",86,I come home from work,"He is a wonderful man kind caring considerate, I come home from work and he runs a bath and lights candles.",configuration,configuration
68,28.0,"485, 524","513, 524",28,a wonderful man kind caring considerate,considerate,participant-role,participant-role
70,2.0,"526, 527","524, 527",2,I,", I",participant-role,participant-role
80,0.0,"605, 617","605, 617",0,our sex life,our sex life,participant-role,participant-role
85,0.0,"631, 635","631, 635",0,mean,mean,main,main
86,1.0,"636, 639","636, 640",1,HOT,HOT!,participant-role,participant-role
84,2.0,"629, 630","627, 630",2,I,", I",participant-role,participant-role
83,13.0,"587, 627","587, 640",13,Up until recently our sex life was great,"Up until recently our sex life was great, I mean HOT!",configuration,configuration
102,1.0,"711, 714","711, 715",1,him,him.,participant-role,participant-role
101,0.0,"705, 710","705, 710",0,hurts,hurts,main,main
100,0.0,"702, 704","702, 704",0,it,it,participant-role,participant-role
92,0.0,"641, 669","641, 669",0,Now I don't want him near me,Now I don't want him near me,configuration,configuration
99,5.0990195135927845,"687, 714","682, 715",6,I see how much it hurts him,when I see how much it hurts him.,configuration,configuration
90,4.0,"653, 657","649, 657",4,want,n't want,main,main
94,0.0,"673, 677","673, 677",0,feel,feel,main,main
96,0.0,"687, 688","687, 688",0,I,I,participant-role,participant-role
232,45.34313619501854,"671, 681","641, 715",64,I feel bad,"Now I don't want him near me, I feel bad when I see how much it hurts him.",configuration,configuration
93,2.0,"671, 672","669, 672",2,I,", I",participant-role,participant-role
103,9.055385138137417,"702, 714","693, 715",10,it hurts him,how much it hurts him.,configuration,configuration
97,0.0,"689, 692","689, 692",0,see,see,main,main
88,0.0,"645, 646","645, 646",0,I,I,participant-role,participant-role
91,4.0,"658, 669","662, 669",4,him near me,near me,participant-role,participant-role
