Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,223,,259,,0.7837837837837838,0.9103139013452914,0.8423236514522822
,
RANK,59,26.45739910313901,66,25.482625482625483,0.8181818181818182,0.9152542372881356,0.8640000000000001
clause,59,100.0,66,100.0,0.8181818181818182,0.9152542372881356,0.8640000000000001
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,164,73.54260089686099,193,74.5173745173745,0.772020725388601,0.9085365853658537,0.8347338935574229
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,108,65.85365853658537,128,66.32124352331607,0.78125,0.9259259259259259,0.847457627118644
complement-direct,108,65.85365853658537,128,66.32124352331607,0.78125,0.9259259259259259,0.847457627118644
complement-indirect,108,65.85365853658537,128,66.32124352331607,0.78125,0.9259259259259259,0.847457627118644
predicator,56,34.146341463414636,65,33.67875647668394,0.7538461538461538,0.875,0.8099173553719008
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
