,,Relaxed/Lambda Match Statistics
,Precission,0.28628230616302186
,Recall,0.5538461538461539
,F1,0.37745740498034075
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,0.0,"42, 43","42, 43",0,I,I,emoter,emoter
6,0.0,"49, 69","49, 69",0,you can bear with me,you can bear with me,phenomenon,phenomenon
5,0.0,"44, 48","44, 48",0,hope,hope,main,main
7,3.0,"42, 69","39, 69",3,I hope you can bear with me,so I hope you can bear with me,mental,mental
3,32.57299494980466,"20, 38","30, 69",30,am new to all this,all this so I hope you can bear with me,relational,relational
10,5.0,"57, 66","57, 61",5,bear with,bear,main,main
1,0.0,"20, 22","20, 22",0,am,am,main,main
13,0.0,"93, 94","93, 94",0,I,I,carrier,carrier
16,0.0,"93, 100","93, 100",0,I am 23,I am 23,attributive,attributive
16,0.0,"93, 100","93, 100",0,I am 23,I am 23,relational,relational
15,0.0,"98, 100","98, 100",0,23,23,attribute,attribute
14,0.0,"95, 97","95, 97",0,am,am,main,main
18,0.0,"112, 114","112, 114",0,is,is,main,main
21,0.0,"119, 120","119, 120",0,I,I,carrier,carrier
22,0.0,"121, 125","121, 125",0,have,have,main,main
23,35.0,"126, 138","126, 173",35,a 3 year old,a 3 year old from my last marriage ( I know ) .,possessed,possessed
24,13.0,"119, 160","119, 173",13,I have a 3 year old from my last marriage,I have a 3 year old from my last marriage ( I know ) .,relational,relational
24,13.0,"119, 160","119, 173",13,I have a 3 year old from my last marriage,I have a 3 year old from my last marriage ( I know ) .,possessive,possessive
33,22.02271554554524,"207, 243","229, 244",23,I just moved 40 miles to be with him,to be with him.,relational,relational
27,0.0,"182, 186","182, 186",0,been,been,main,main
33,33.015148038438355,"207, 243","174, 244",34,I just moved 40 miles to be with him,We have been together a year and I just moved 40 miles to be with him.,directional,directional
29,42.0,"174, 202","174, 244",42,We have been together a year,We have been together a year and I just moved 40 miles to be with him.,relational,relational
48,0.0,"315, 318","315, 318",0,she,she,emoter,emoter
40,5.0,"264, 270","259, 270",5,we met,when we met,action,action
35,0.0,"248, 253","248, 253",0,hated,hated,main,main
39,0.0,"267, 270","267, 270",0,met,met,main,main
43,50.80354318352215,"275, 292","245, 333",71,now loves my girl,He hated kids when we met but now loves my girl as if she was his own she loves him too.,mental,mental
38,0.0,"264, 266","264, 266",0,we,we,agent,agent
49,0.0,"319, 324","319, 324",0,loves,loves,main,main
44,0.0,"299, 302","299, 302",0,she,she,carrier,carrier
45,0.0,"303, 306","303, 306",0,was,was,main,main
46,4.0,"307, 314","311, 314",4,his own,own,attribute,attribute
47,3.0,"299, 314","296, 314",3,she was his own,if she was his own,attributive,attributive
47,3.0,"299, 314","296, 314",3,she was his own,if she was his own,relational,relational
51,22.02271554554524,"315, 332","293, 333",23,she loves him too,as if she was his own she loves him too.,mental,mental
42,31.0,"285, 292","254, 292",31,my girl,kids when we met but now loves my girl,phenomenon,phenomenon
34,0.0,"245, 247","245, 247",0,He,He,emoter,emoter
50,0.0,"325, 328","325, 328",0,him,him,phenomenon,phenomenon
41,0.0,"279, 284","279, 284",0,loves,loves,main,main
228,0.0,"356, 357","356, 357",0,I,I,carrier,carrier
229,0.0,"358, 362","358, 362",0,feel,feel,main,main
63,3.0,"423, 432","423, 429",3,scared of,scared,main,main
231,3.0,"356, 391","353, 391",3,I feel threatened by what they have,if I feel threatened by what they have,attributive,attributive
56,19.0,"334, 391","353, 391",19,Sometimes I wonder if I feel threatened by what they have,if I feel threatened by what they have,mental,mental
231,21.0,"356, 391","377, 391",21,I feel threatened by what they have,what they have,relational,relational
61,6.0,"398, 415","392, 415",6,I want to get out,or if I want to get out,mental,mental
60,0.0,"405, 415","405, 415",0,to get out,to get out,phenomenon,phenomenon
54,7.0,"356, 391","363, 391",7,I feel threatened by what they have,threatened by what they have,phenomenon,phenomenon
230,0.0,"363, 391","363, 391",0,threatened by what they have,threatened by what they have,attribute,attribute
59,0.0,"400, 404","400, 404",0,want,want,main,main
53,0.0,"346, 352","346, 352",0,wonder,wonder,main,main
67,0.0,"482, 484","482, 484",0,is,is,main,main
66,0.0,"479, 481","479, 481",0,He,He,carrier,carrier
73,61.07372593840988,"526, 547","479, 586",86,I come home from work,"He is a wonderful man kind caring considerate, I come home from work and he runs a bath and lights candles.",relational,relational
85,0.0,"631, 635","631, 635",0,mean,mean,main,main
86,1.0,"636, 639","636, 640",1,HOT,HOT!,phenomenon,phenomenon
84,2.0,"629, 630","627, 630",2,I,", I",cognizant,cognizant
83,13.0,"587, 627","587, 640",13,Up until recently our sex life was great,"Up until recently our sex life was great, I mean HOT!",attributive,attributive
83,13.0,"587, 627","587, 640",13,Up until recently our sex life was great,"Up until recently our sex life was great, I mean HOT!",relational,relational
87,42.01190307520001,"629, 639","587, 640",43,I mean HOT,"Up until recently our sex life was great, I mean HOT!",two-role-cognition,two-role-cognition
102,1.0,"711, 714","711, 715",1,him,him.,affected-emoter,affected-emoter
101,0.0,"705, 710","705, 710",0,hurts,hurts,main,main
92,0.0,"641, 669","641, 669",0,Now I don't want him near me,Now I don't want him near me,mental,mental
90,4.0,"653, 657","649, 657",4,want,n't want,main,main
94,0.0,"673, 677","673, 677",0,feel,feel,main,main
91,8.0,"658, 669","658, 661",8,him near me,him,phenomenon,phenomenon
97,0.0,"689, 692","689, 692",0,see,see,main,main
88,0.0,"645, 646","645, 646",0,I,I,emoter,emoter
105,0.0,"718, 722","718, 722",0,feel,feel,main,main
115,15.0,"759, 777","759, 792",15,I love him so much,I love him so much I want to cry.,mental,mental
109,0.0,"753, 758","753, 758",0,think,think,main,main
117,0.0,"780, 784","780, 784",0,want,want,main,main
110,1.0,"759, 791","759, 792",1,I love him so much I want to cry,I love him so much I want to cry.,phenomenon,phenomenon
113,0.0,"761, 765","761, 765",0,love,love,main,main
112,0.0,"759, 760","759, 760",0,I,I,emoter,emoter
111,1.0,"741, 791","741, 792",1,Sometimes I think I love him so much I want to cry,Sometimes I think I love him so much I want to cry.,mental,mental
111,1.0,"741, 791","741, 792",1,Sometimes I think I love him so much I want to cry,Sometimes I think I love him so much I want to cry.,two-role-cognition,two-role-cognition
118,1.0,"785, 791","785, 792",1,to cry,to cry.,phenomenon,phenomenon
114,23.0,"766, 769","766, 792",23,him,him so much I want to cry.,phenomenon,phenomenon
108,0.0,"751, 752","751, 752",0,I,I,cognizant,cognizant
119,1.0,"778, 791","778, 792",1,I want to cry,I want to cry.,mental,mental
116,0.0,"778, 779","778, 779",0,I,I,emoter,emoter
128,0.0,"830, 833","830, 833",0,are,are,main,main
139,2.23606797749979,"880, 893","878, 894",3,am I horrible,", am I horrible?",attributive,attributive
139,2.23606797749979,"880, 893","878, 894",3,am I horrible,", am I horrible?",relational,relational
136,0.0,"880, 882","880, 882",0,am,am,main,main
137,0.0,"883, 884","883, 884",0,I,I,carrier,carrier
138,1.0,"885, 893","885, 894",1,horrible,horrible?,attribute,attribute
121,3.0,"800, 807","800, 804",3,look at,look,main,main
134,3.0,"870, 872","867, 872",3,be,to be,main,main
124,0.0,"816, 822","816, 822",0,wonder,wonder,main,main
135,24.0,"843, 878","867, 878",24,other times I just need to be alone,to be alone,relational,relational
145,3.0,"955, 958","955, 961",3,are,aren't,main,main
234,0.0,"921, 923","921, 923",0,is,is,main,main
156,0.0,"1000, 1006","1000, 1006",0,wanted,wanted,main,main
151,1.0,"977, 1006","977, 1007",1,everything I have ever wanted,everything I have ever wanted.,attribute,attribute
150,0.0,"974, 976","974, 976",0,is,is,main,main
152,1.0,"971, 1006","971, 1007",1,He is everything I have ever wanted,He is everything I have ever wanted.,attributive,attributive
152,1.0,"971, 1006","971, 1007",1,He is everything I have ever wanted,He is everything I have ever wanted.,relational,relational
149,0.0,"971, 973","971, 973",0,He,He,carrier,carrier
171,0.0,"1044, 1089","1044, 1089",0,we don't go anyplace other than food shopping,we don't go anyplace other than food shopping,directional,directional
171,0.0,"1044, 1089","1044, 1089",0,we don't go anyplace other than food shopping,we don't go anyplace other than food shopping,relational,relational
179,1.0,"1139, 1144","1139, 1145",1,sport,sport.,phenomenon,phenomenon
169,4.0,"1053, 1055","1049, 1055",4,go,n't go,main,main
175,29.274562336608895,"1095, 1116","1091, 1145",33,he likes to stay home,but he likes to stay home unless he is watching sport.,mental,mental
174,29.0,"1104, 1116","1104, 1145",29,to stay home,to stay home unless he is watching sport.,phenomenon,phenomenon
172,0.0,"1095, 1097","1095, 1097",0,he,he,emoter,emoter
165,0.0,"1044, 1089","1044, 1089",0,we don't go anyplace other than food shopping,we don't go anyplace other than food shopping,phenomenon,phenomenon
166,0.0,"1037, 1089","1037, 1089",0,I mean we don't go anyplace other than food shopping,I mean we don't go anyplace other than food shopping,mental,mental
166,0.0,"1037, 1089","1037, 1089",0,I mean we don't go anyplace other than food shopping,I mean we don't go anyplace other than food shopping,two-role-cognition,two-role-cognition
170,19.0,"1056, 1089","1056, 1070",19,anyplace other than food shopping,anyplace other,destination,destination
176,0.0,"1124, 1126","1124, 1126",0,he,he,perceiver,perceiver
173,0.0,"1098, 1103","1098, 1103",0,likes,likes,main,main
178,0.0,"1130, 1138","1130, 1138",0,watching,watching,main,main
180,7.0710678118654755,"1124, 1144","1117, 1145",8,he is watching sport,unless he is watching sport.,two-role-perception,two-role-perception
163,0.0,"1037, 1038","1037, 1038",0,I,I,cognizant,cognizant
164,0.0,"1039, 1043","1039, 1043",0,mean,mean,main,main
159,0.0,"1015, 1022","1015, 1022",0,stopped,stopped,main,main
167,0.0,"1044, 1046","1044, 1046",0,we,we,agent-carrier,agent-carrier
182,5.0,"1154, 1163","1154, 1158",5,goes away,goes,main,main
183,19.6468827043885,"1151, 1175","1146, 1194",24,he goes away at weekends,Then he goes away at weekends or out after work.,action,action
181,0.0,"1151, 1153","1151, 1153",0,he,he,agent,agent
194,5.0990195135927845,"1210, 1224","1205, 1225",6,he has a hobby,that he has a hobby.,relational,relational
