,,Relaxed/Lambda Match Statistics
,Precission,0.2012448132780083
,Recall,0.6643835616438356
,F1,0.30891719745222934
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
128,0.0,"68, 69","68, 69",0,I,I,agent,agent
6,0.0,"62, 67","62, 67",0,seems,seems,main,main
7,1.0,"68, 92","68, 93",1,I'm hurting those I love,I'm hurting those I love.,phenomenon,phenomenon
131,1.0,"80, 92","80, 93",1,those I love,those I love.,affected,affected
132,1.0,"68, 92","68, 93",1,I'm hurting those I love,I'm hurting those I love.,action,action
130,0.0,"72, 79","72, 79",0,hurting,hurting,main,main
15,9.0,"159, 162","159, 171",9,him,him so much.,phenomenon,phenomenon
14,0.0,"154, 158","154, 158",0,miss,miss,main,main
9,0.0,"94, 117","94, 117",0,My boyfriend of 3 years,My boyfriend of 3 years,agent,agent
11,5.0,"132, 134","127, 134",5,me,with me,affected,affected
13,0.0,"152, 153","152, 153",0,I,I,emoter,emoter
10,8.0,"118, 131","118, 123",8,broke up with,broke,main,main
16,4.123105625617661,"152, 170","148, 171",5,I miss him so much,and I miss him so much.,mental,mental
134,0.0,"222, 225","222, 225",0,was,was,main,main
17,0.0,"172, 174","172, 174",0,We,We,agent,agent
20,9.0,"187, 204","187, 195",9,a future together,a future,created-phenomenon,created-phenomenon
23,0.0,"211, 218","211, 218",0,thought,thought,main,main
25,4.123105625617661,"209, 238","205, 239",5,I thought he was my soul mate,and I thought he was my soul mate.,mental,mental
25,4.123105625617661,"209, 238","205, 239",5,I thought he was my soul mate,and I thought he was my soul mate.,two-role-cognition,two-role-cognition
19,0.0,"179, 186","179, 186",0,planned,planned,main,main
22,0.0,"209, 210","209, 210",0,I,I,cognizant,cognizant
24,1.0,"219, 238","219, 239",1,he was my soul mate,he was my soul mate.,phenomenon,phenomenon
37,37.21558813185679,"318, 357","286, 338",40,I sometimes even cry to myself at night,"and I think about him everyday, I sometimes even cry",action,action
32,6.0,"292, 303","292, 297",6,think about,think,main,main
28,0.0,"245, 251","245, 251",0,having,having,main,main
26,0.0,"240, 241","240, 241",0,I,I,affected-carrier,affected-carrier
29,17.0,"252, 285","252, 268",17,a difficult time getting over him,a difficult time,possessed,possessed
30,0.0,"240, 285","240, 285",0,I am having a difficult time getting over him,I am having a difficult time getting over him,relational,relational
30,0.0,"240, 285","240, 285",0,I am having a difficult time getting over him,I am having a difficult time getting over him,possessive,possessive
44,0.0,"412, 419","412, 419",0,started,started,main,main
40,0.0,"378, 393","378, 393",0,a wonderful guy,a wonderful guy,affected,affected
39,0.0,"374, 377","374, 377",0,met,met,main,main
38,2.0,"372, 373","370, 373",2,I,", I",agent,agent
46,4.123105625617661,"398, 426","394, 427",5,we have since started dating,and we have since started dating.,influential,influential
45,1.0,"420, 426","420, 427",1,dating,dating.,created-phenomenon,created-phenomenon
41,0.0,"359, 393","359, 393",0,"A month ago, I met a wonderful guy","A month ago, I met a wonderful guy",action,action
42,0.0,"398, 400","398, 400",0,we,we,agent,agent
49,1.0,"434, 484","434, 485",1,caring and thoughtful and completely understanding,caring and thoughtful and completely understanding.,attribute,attribute
48,0.0,"431, 433","431, 433",0,is,is,main,main
47,0.0,"428, 430","428, 430",0,He,He,carrier,carrier
50,1.0,"428, 484","428, 485",1,He is caring and thoughtful and completely understanding,He is caring and thoughtful and completely understanding.,attributive,attributive
50,1.0,"428, 484","428, 485",1,He is caring and thoughtful and completely understanding,He is caring and thoughtful and completely understanding.,relational,relational
137,0.0,"503, 504","503, 504",0,I,I,carrier,carrier
144,0.0,"559, 566","559, 566",0,helping,helping,main,main
53,16.401219466856727,"503, 534","516, 524",23,I still have feelings for my ex,feelings,phenomenon,phenomenon
56,3.0,"555, 557","552, 557",3,me,by me,affected,affected
146,2.23606797749979,"559, 587","557, 588",3,helping me as much as he can,", helping me as much as he can.",action,action
138,0.0,"511, 515","511, 515",0,have,have,main,main
145,0.0,"567, 569","567, 569",0,me,me,affected,affected
52,6.0,"489, 497","489, 491",6,is aware,is,main,main
139,9.0,"516, 534","525, 534",9,feelings for my ex,for my ex,possessed,possessed
57,4.0,"539, 557","535, 557",4,still stands by me,and still stands by me,action,action
55,3.0,"545, 554","545, 551",3,stands by,stands,main,main
70,3.1622776601683795,"685, 690","682, 691",4,my ex,to my ex.,carrier,carrier
68,0.0,"653, 667","653, 667",0,the other half,the other half,possessed,possessed
60,0.0,"596, 608","596, 608",0,my boyfriend,my boyfriend,phenomenon,phenomenon
69,3.0,"674, 684","674, 681",3,belongs to,belongs,main,main
58,0.0,"589, 590","589, 590",0,I,I,emoter,emoter
64,0.0,"622, 628","622, 628",0,giving,giving,main,main
71,12.041594578792296,"653, 690","641, 691",13,the other half still belongs to my ex,my heart as the other half still belongs to my ex.,relational,relational
71,12.041594578792296,"653, 690","641, 691",13,the other half still belongs to my ex,my heart as the other half still belongs to my ex.,possessive,possessive
59,0.0,"591, 595","591, 595",0,love,love,main,main
61,0.0,"589, 608","589, 608",0,I love my boyfriend,I love my boyfriend,mental,mental
76,0.0,"718, 719","718, 719",0,I,I,emoter,emoter
80,17.0,"758, 792","775, 792",17,start a new life with my boyfriend,with my boyfriend,phenomenon,phenomenon
81,21.0,"758, 792","737, 792",21,start a new life with my boyfriend,my ex completely and start a new life with my boyfriend,mental,mental
86,13.038404810405298,"797, 843","810, 844",14,I can't seem to shake these feelings for my ex,to shake these feelings for my ex.,action,action
85,10.0,"819, 843","819, 833",10,these feelings for my ex,these feelings,affected,affected
141,3.0,"813, 818","810, 818",3,shake,to shake,main,main
73,1.0,"694, 695","693, 695",1,m,'m,main,main
78,40.80441152620633,"725, 753","737, 792",44,to get over my ex completely,my ex completely and start a new life with my boyfriend,phenomenon,phenomenon
77,0.0,"720, 724","720, 724",0,want,want,main,main
94,0.0,"870, 877","870, 877",0,planned,planned,main,main
87,0.0,"845, 849","845, 849",0,What,What,possessed,possessed
91,2.0,"858, 862","856, 862",2,what,", what",created-phenomenon,created-phenomenon
89,0.0,"853, 856","853, 856",0,had,had,main,main
96,1.0,"887, 910","887, 911",1,how my trust was broken,how my trust was broken.,action,action
99,0.0,"904, 910","904, 910",0,broken,broken,main,main
88,0.0,"850, 852","850, 852",0,we,we,carrier,carrier
92,0.0,"863, 865","863, 865",0,we,we,agent,agent
90,0.0,"845, 856","845, 856",0,What we had,What we had,relational,relational
90,0.0,"845, 856","845, 856",0,What we had,What we had,possessive,possessive
115,5.0,"1039, 1048","1039, 1043",5,take time,take,main,main
114,0.0,"1026, 1038","1026, 1038",0,these things,these things,agent,agent
105,0.0,"979, 980","979, 980",0,I,I,emoter,emoter
102,3.0,"916, 925","916, 922",3,scared of,scared,main,main
113,11.0,"1019, 1048","1008, 1048",11,I know these things take time,", although I know these things take time",mental,mental
113,11.0,"1019, 1048","1008, 1048",11,I know these things take time,", although I know these things take time",two-role-cognition,two-role-cognition
112,0.0,"1026, 1048","1026, 1048",0,these things take time,these things take time,phenomenon,phenomenon
119,8.0,"1057, 1091","1065, 1091",8,to make this new relationship work,this new relationship work,phenomenon,phenomenon
118,0.0,"1052, 1056","1052, 1056",0,want,want,main,main
109,49.4064773081425,"979, 1008","950, 1048",69,I don't want to be hurt again,"my new relationship, because I don't want to be hurt again, although I know these things take time",mental,mental
111,0.0,"1021, 1025","1021, 1025",0,know,know,main,main
107,4.0,"987, 991","983, 991",4,want,n't want,main,main
110,0.0,"1019, 1020","1019, 1020",0,I,I,cognizant,cognizant
116,0.0,"1026, 1048","1026, 1048",0,these things take time,these things take time,action,action
108,40.0,"992, 1008","992, 1048",40,to be hurt again,"to be hurt again, although I know these things take time",phenomenon,phenomenon
,
,Manual mismatching all parsed (False Negative)
4,"21, 54",I'm really confused at the moment,relational
4,"21, 54",I'm really confused at the moment,attributive
1,"21, 22",I,carrier
2,"23, 24",m,main
3,"32, 40",confused,attribute
8,"59, 92",it seems I'm hurting those I love,influential
12,"94, 147",My boyfriend of 3 years broke up with me 6 months ago,action
21,"172, 204",We had planned a future together,influential
136,"219, 238",he was my soul mate,relational
136,"219, 238",he was my soul mate,attributive
133,"219, 221",he,carrier
135,"226, 238",my soul mate,attribute
34,"290, 316",I think about him everyday,mental
34,"290, 316",I think about him everyday,two-role-cognition
31,"290, 291",I,cognizant
33,"304, 307",him,phenomenon
35,"318, 319",I,agent
36,"335, 338",cry,main
54,"486, 534",He is aware that I still have feelings for my ex,mental
54,"486, 534",He is aware that I still have feelings for my ex,two-role-cognition
51,"486, 488",He,cognizant
140,"503, 534",I still have feelings for my ex,relational
140,"503, 534",I still have feelings for my ex,possessive
142,"581, 583",he,agent
67,"613, 649",I'm only giving him half of my heart,relational
67,"613, 649",I'm only giving him half of my heart,possessive
62,"613, 614",I,agent
65,"629, 632",him,affected-carrier
66,"633, 649",half of my heart,possessed
75,"692, 709",I'm very confused,relational
75,"692, 709",I'm very confused,attributive
72,"692, 693",I,carrier
74,"696, 709",very confused,attribute
79,"718, 753",I want to get over my ex completely,mental
82,"797, 798",I,agent
95,"858, 877",what we had planned,influential
97,"891, 899",my trust,affected
104,"912, 969",I'm scared of getting too involved in my new relationship,mental
100,"912, 913",I,emoter
103,"926, 969",getting too involved in my new relationship,phenomenon
120,"1050, 1091",I want to make this new relationship work,mental
117,"1050, 1051",I,emoter
123,"1099, 1108",how can I,action
122,"1107, 1108",I,agent
127,"1114, 1136",half my heart is black,relational
127,"1114, 1136",half my heart is black,attributive
124,"1114, 1127",half my heart,carrier
125,"1128, 1130",is,main
126,"1131, 1136",black,attribute
,
,Parsed mismatching all manual (False Positives)
32,"32, 40",confused,main
68,"68, 69",I,agent-cognizant
68,"68, 69",I,agent-carrier
68,"68, 69",I,agent-perceiver
88,"88, 92",love,main
68,"68, 93",I'm hurting those I love.,created-phenomenon
80,"80, 93",those I love.,affected-emoter
80,"80, 93",those I love.,affected-path
80,"80, 93",those I love.,affected-perceiver
80,"80, 93",those I love.,affected-cognizant
80,"80, 93",those I love.,affected-carrier
80,"80, 93",those I love.,affected-destination
80,"80, 93",those I love.,affected-possessed
80,"80, 93",those I love.,affected-source
55,"55, 93",and it seems I'm hurting those I love.,process
55,"55, 93",and it seems I'm hurting those I love.,mental
55,"55, 93",and it seems I'm hurting those I love.,two-role-cognition
68,"68, 93",I'm hurting those I love.,process
68,"68, 93",I'm hurting those I love.,two-role-action
159,"159, 171",him so much.,created-phenomenon
94,"94, 117",My boyfriend of 3 years,affected-emoter
94,"94, 117",My boyfriend of 3 years,affected-path
94,"94, 117",My boyfriend of 3 years,affected-perceiver
94,"94, 117",My boyfriend of 3 years,agent-cognizant
94,"94, 117",My boyfriend of 3 years,affected-cognizant
94,"94, 117",My boyfriend of 3 years,affected-carrier
94,"94, 117",My boyfriend of 3 years,affected-destination
94,"94, 117",My boyfriend of 3 years,affected
94,"94, 117",My boyfriend of 3 years,agent-carrier
94,"94, 117",My boyfriend of 3 years,affected-possessed
94,"94, 117",My boyfriend of 3 years,agent-perceiver
94,"94, 117",My boyfriend of 3 years,affected-source
94,"94, 117",My boyfriend of 3 years,perceiver
