,,Relaxed/Lambda Match Statistics
,Precission,0.6428571428571429
,Recall,0.9507042253521126
,F1,0.7670454545454545
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
7,4.0,"54, 75","50, 75",4,"I was the ""other"" guy","and I was the ""other"" guy",configuration,configuration
4,0.0,"54, 55","54, 55",0,I,I,participant-role,participant-role
2,0.0,"31, 36","31, 36",0,dated,dated,main,main
11,4.123105625617661,"106, 109","102, 110",5,him,for him.,participant-role,participant-role
12,4.123105625617661,"79, 109","75, 110",5,she made a choice then for him,... she made a choice then for him.,configuration,configuration
6,0.0,"60, 75","60, 75",0,"the ""other"" guy","the ""other"" guy",participant-role,participant-role
8,4.0,"79, 82","75, 82",4,she,... she,participant-role,participant-role
3,0.0,"17, 49","17, 49",0,Shelley and I dated 13 years ago,Shelley and I dated 13 years ago,configuration,configuration
5,0.0,"56, 59","56, 59",0,was,was,main,main
9,9.0,"83, 96","83, 87",9,made a choice,made,main,main
1,0.0,"17, 30","17, 30",0,Shelley and I,Shelley and I,participant-role,participant-role
16,0.0,"111, 135","111, 135",0,He happened to pass away,He happened to pass away,configuration,configuration
15,5.830951894845301,"126, 135","123, 130",8,pass away,to pass,main,main
13,0.0,"111, 113","111, 113",0,He,He,participant-role,participant-role
20,4.123105625617661,"140, 161","136, 162",5,she was left grieving,and she was left grieving.,configuration,configuration
19,1.0,"153, 161","153, 162",1,grieving,grieving.,participant-role,participant-role
18,4.0,"144, 152","148, 152",4,was left,left,main,main
30,0.0,"255, 260","255, 260",0,which,which,participant-role,participant-role
35,0.0,"293, 297","293, 297",0,love,love,main,main
25,0.0,"220, 238","220, 238",0,to seek my support,to seek my support,participant-role,participant-role
29,16.0,"220, 254","220, 238",16,to seek my support would be unfair,to seek my support,configuration,configuration
33,26.0,"255, 276","255, 302",26,which I disagree with,which I disagree with because I truly love her.,configuration,configuration
28,0.0,"248, 254","248, 254",0,unfair,unfair,participant-role,participant-role
36,1.0,"298, 301","298, 302",1,her,her.,participant-role,participant-role
34,0.0,"285, 286","285, 286",0,I,I,participant-role,participant-role
24,86.0,"163, 216","163, 302",86,She took on another man to help her with the grieving,She took on another man to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,configuration,configuration
32,5.0,"263, 276","263, 271",5,disagree with,disagree,main,main
37,8.06225774829855,"285, 301","277, 302",9,I truly love her,because I truly love her.,configuration,configuration
21,0.0,"163, 166","163, 166",0,She,She,participant-role,participant-role
27,0.0,"245, 247","245, 247",0,be,be,main,main
31,0.0,"261, 262","261, 262",0,I,I,participant-role,participant-role
23,3.0,"175, 186","172, 186",3,another man,on another man,participant-role,participant-role
22,3.0,"167, 174","167, 171",3,took on,took,main,main
44,0.0,"357, 360","357, 360",0,him,him,participant-role,participant-role
39,0.0,"307, 310","307, 310",0,had,had,main,main
46,0.0,"370, 373","370, 373",0,she,she,participant-role,participant-role
49,0.0,"378, 381","378, 381",0,she,she,participant-role,participant-role
51,3.1622776601683795,"390, 392","387, 393",4,me,to me.,participant-role,participant-role
40,14.0,"311, 323","311, 337",14,two children,two children with this man,participant-role,participant-role
41,0.0,"303, 337","303, 337",0,She had two children with this man,She had two children with this man,configuration,configuration
45,4.0,"342, 360","338, 360",4,has since left him,and has since left him,configuration,configuration
43,0.0,"352, 356","352, 356",0,left,left,main,main
52,1.0,"378, 392","378, 393",1,she came to me,she came to me.,configuration,configuration
38,0.0,"303, 306","303, 306",0,She,She,participant-role,participant-role
50,3.0,"382, 389","382, 386",3,came to,came,main,main
56,0.0,"394, 419","394, 419",0,We started a relationship,We started a relationship,configuration,configuration
58,0.0,"427, 433","427, 433",0,lasted,lasted,main,main
53,0.0,"394, 396","394, 396",0,We,We,participant-role,participant-role
54,0.0,"397, 404","397, 404",0,started,started,main,main
57,0.0,"424, 426","424, 426",0,it,it,participant-role,participant-role
55,0.0,"405, 419","405, 419",0,a relationship,a relationship,participant-role,participant-role
59,4.123105625617661,"424, 455","420, 456",5,it lasted approximately 3 years,and it lasted approximately 3 years.,configuration,configuration
60,0.0,"457, 467","457, 467",0,Everything,Everything,participant-role,participant-role
61,0.0,"468, 471","468, 471",0,was,was,main,main
62,0.0,"472, 477","472, 477",0,great,great,participant-role,participant-role
63,1.0,"457, 504","457, 505",1,Everything was great up until the last 6 months,Everything was great up until the last 6 months.,configuration,configuration
66,1.0,"506, 550","506, 551",1,We never even had a fight for the first year,We never even had a fight for the first year.,configuration,configuration
64,0.0,"506, 508","506, 508",0,We,We,participant-role,participant-role
72,0.0,"597, 600","597, 600",0,was,was,main,main
71,4.0,"584, 596","580, 596",4,the fighting,... the fighting,participant-role,participant-role
75,0.0,"612, 624","612, 624",0,the children,the children,participant-role,participant-role
78,10.0,"643, 658","653, 658",10,subjected to it,to it,participant-role,participant-role
