Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,142,,210,,0.6428571428571429,0.9507042253521126,0.7670454545454545
,
RANK,40,28.169014084507044,57,27.142857142857142,0.6842105263157895,0.975,0.8041237113402062
clause,40,100.0,57,100.0,0.6842105263157895,0.975,0.8041237113402062
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,102,71.83098591549296,153,72.85714285714285,0.6274509803921569,0.9411764705882353,0.7529411764705882
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,65,63.725490196078425,95,62.091503267973856,0.6421052631578947,0.9384615384615385,0.7625
complement-direct,65,63.725490196078425,95,62.091503267973856,0.6421052631578947,0.9384615384615385,0.7625
complement-indirect,65,63.725490196078425,95,62.091503267973856,0.6421052631578947,0.9384615384615385,0.7625
predicator,37,36.27450980392157,58,37.908496732026144,0.603448275862069,0.9459459459459459,0.7368421052631577
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
