Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,152,,167,,0.7844311377245509,0.8618421052631579,0.8213166144200627
,
RANK,41,26.973684210526315,43,25.748502994011975,0.7906976744186046,0.8292682926829268,0.8095238095238095
clause,41,100.0,43,100.0,0.7906976744186046,0.8292682926829268,0.8095238095238095
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,111,73.02631578947368,124,74.25149700598801,0.782258064516129,0.8738738738738738,0.8255319148936169
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,70,63.06306306306306,80,64.51612903225806,0.8,0.9142857142857143,0.8533333333333333
complement-direct,70,63.06306306306306,80,64.51612903225806,0.8,0.9142857142857143,0.8533333333333333
complement-indirect,70,63.06306306306306,80,64.51612903225806,0.8,0.9142857142857143,0.8533333333333333
predicator,41,36.93693693693694,44,35.483870967741936,0.75,0.8048780487804879,0.7764705882352942
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
