,,Relaxed/Lambda Match Statistics
,Precission,0.738562091503268
,Recall,0.9416666666666667
,F1,0.8278388278388278
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
6,0.0,"52, 103","52, 103",0,sharing your feelings after a break-up with your ex,sharing your feelings after a break-up with your ex,participant-role,participant-role
9,1.0,"48, 122","48, 123",1,why sharing your feelings after a break-up with your ex is not recommended,why sharing your feelings after a break-up with your ex is not recommended?,configuration,configuration
4,1.0,"41, 122","41, 123",1,to ask why sharing your feelings after a break-up with your ex is not recommended,to ask why sharing your feelings after a break-up with your ex is not recommended?,participant-role,participant-role
5,18.027756377319946,"23, 122","41, 123",19,I would just like to ask why sharing your feelings after a break-up with your ex is not recommended,to ask why sharing your feelings after a break-up with your ex is not recommended?,configuration,configuration
1,2.0,"23, 24","21, 24",2,I,", I",participant-role,participant-role
3,0.0,"36, 40","36, 40",0,like,like,main,main
18,0.0,"161, 165","161, 165",0,know,know,main,main
140,21.0,"166, 178","166, 199",21,how you feel,how you feel after your break-up?,configuration,configuration
19,1.0,"166, 198","166, 199",1,how you feel after your break-up,how you feel after your break-up?,participant-role,participant-role
14,3.1622776601683795,"147, 198","144, 199",4,your ex would know how you feel after your break-up,if your ex would know how you feel after your break-up?,participant-role,participant-role
139,0.0,"166, 169","166, 169",0,how,how,participant-role,participant-role
138,0.0,"174, 178","174, 178",0,feel,feel,main,main
11,0.0,"131, 133","131, 133",0,it,it,participant-role,participant-role
16,0.0,"147, 154","147, 154",0,your ex,your ex,participant-role,participant-role
12,0.0,"134, 136","134, 136",0,be,be,main,main
137,0.0,"170, 173","170, 173",0,you,you,participant-role,participant-role
13,0.0,"137, 143","137, 143",0,better,better,participant-role,participant-role
20,0.0,"200, 201","200, 201",0,I,I,participant-role,participant-role
23,18.0,"212, 235","212, 253",18,in an emotional turmoil,in an emotional turmoil for almost a year,participant-role,participant-role
24,1.0,"200, 288","200, 289",1,I have been in an emotional turmoil for almost a year now after a separation from a girl,I have been in an emotional turmoil for almost a year now after a separation from a girl.,configuration,configuration
