Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,120,,153,,0.738562091503268,0.9416666666666667,0.8278388278388278
,
RANK,30,25.0,37,24.18300653594771,0.7297297297297297,0.9,0.8059701492537312
clause,30,100.0,37,100.0,0.7297297297297297,0.9,0.8059701492537312
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,90,75.0,116,75.81699346405229,0.7413793103448276,0.9555555555555556,0.8349514563106797
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,60,66.66666666666666,76,65.51724137931035,0.7763157894736842,0.9833333333333333,0.8676470588235294
complement-direct,60,66.66666666666666,76,65.51724137931035,0.7763157894736842,0.9833333333333333,0.8676470588235294
complement-indirect,60,66.66666666666666,76,65.51724137931035,0.7763157894736842,0.9833333333333333,0.8676470588235294
predicator,30,33.33333333333333,40,34.48275862068966,0.675,0.9,0.7714285714285714
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
