,,Relaxed/Lambda Match Statistics
,Precission,0.680628272251309
,Recall,0.9285714285714286
,F1,0.785498489425982
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
2,0.0,"21, 28","21, 28",0,someone,someone,participant-role,participant-role
4,0.0,"35, 42","35, 42",0,a light,a light,participant-role,participant-role
3,0.0,"29, 34","29, 34",0,spark,spark,main,main
8,0.0,"112, 116","112, 116",0,like,like,main,main
9,1.0,"117, 140","117, 141",1,to hold hands in public,to hold hands in public!,participant-role,participant-role
10,1.0,"67, 140","67, 141",1,My husband of 5 years does not ( never has ) like to hold hands in public,My husband of 5 years does not ( never has ) like to hold hands in public!,configuration,configuration
6,23.0,"67, 88","67, 111",23,My husband of 5 years,My husband of 5 years does not ( never has ),participant-role,participant-role
17,3.0,"168, 175","168, 172",3,used to,used,main,main
18,3.0,"176, 178","173, 178",3,it,to it,participant-role,participant-role
21,0.0,"200, 206","200, 206",0,wonder,wonder,main,main
14,20.0,"142, 159","142, 179",20,I am ok with that,"I am ok with that as I am used to it,",configuration,configuration
11,0.0,"142, 143","142, 143",0,I,I,participant-role,participant-role
23,4.123105625617661,"184, 210","180, 211",5,now and again I wonder why,but now and again I wonder why?,configuration,configuration
15,0.0,"163, 164","163, 164",0,I,I,participant-role,participant-role
19,3.0,"163, 178","160, 178",3,I am used to it,as I am used to it,configuration,configuration
20,0.0,"198, 199","198, 199",0,I,I,participant-role,participant-role
25,0.0,"235, 239","235, 239",0,feel,feel,main,main
27,9.848857801796104,"216, 248","212, 239",13,sometimes I really feel rejected,And sometimes I really feel,configuration,configuration
24,0.0,"226, 227","226, 227",0,I,I,participant-role,participant-role
37,11.045361017187261,"292, 326","281, 327",12,I don't want this direct rejection,anymore as I don't want this direct rejection.,configuration,configuration
30,8.94427190999916,"258, 271","254, 263",12,reach out for,n't reach,main,main
32,39.0,"250, 288","250, 327",39,I don't reach out for his hand anymore,I don't reach out for his hand anymore as I don't want this direct rejection.,configuration,configuration
36,1.0,"305, 326","305, 327",1,this direct rejection,this direct rejection.,participant-role,participant-role
31,4.0,"272, 280","268, 280",4,his hand,for his hand,participant-role,participant-role
28,0.0,"250, 251","250, 251",0,I,I,participant-role,participant-role
35,4.0,"300, 304","296, 304",4,want,n't want,main,main
33,0.0,"292, 293","292, 293",0,I,I,participant-role,participant-role
40,0.0,"335, 339","335, 339",0,told,told,main,main
41,0.0,"340, 342","340, 342",0,me,me,participant-role,participant-role
42,5.0990195135927845,"348, 395","343, 396",6,"people know we are together, no need to show it","that people know we are together, no need to show it.",participant-role,participant-role
45,0.0,"355, 359","355, 359",0,know,know,main,main
43,1.0,"328, 395","328, 396",1,"He has told me that people know we are together, no need to show it","He has told me that people know we are together, no need to show it.",configuration,configuration
44,0.0,"348, 354","348, 354",0,people,people,participant-role,participant-role
38,0.0,"328, 330","328, 330",0,He,He,participant-role,participant-role
46,13.0,"360, 375","360, 362",13,we are together,we,participant-role,participant-role
52,0.0,"405, 407","405, 407",0,he,he,participant-role,participant-role
53,0.0,"408, 414","408, 414",0,trying,trying,main,main
54,1.0,"415, 421","415, 422",1,to say,to say?,participant-role,participant-role
50,1.0,"397, 421","397, 422",1,What is he trying to say,What is he trying to say?,configuration,configuration
59,0.0,"442, 448","442, 448",0,upsets,upsets,main,main
61,3.0,"437, 451","437, 454",3,that upsets me,that upsets me is,configuration,configuration
55,3.0,"423, 451","423, 454",3,Another thing that upsets me,Another thing that upsets me is,participant-role,participant-role
56,0.0,"452, 454","452, 454",0,is,is,main,main
60,0.0,"449, 451","449, 451",0,me,me,participant-role,participant-role
62,1.0,"423, 463","423, 464",1,Another thing that upsets me is presents,Another thing that upsets me is presents.,configuration,configuration
58,0.0,"437, 441","437, 441",0,that,that,participant-role,participant-role
48,0.0,"529, 531","529, 531",0,we,we,participant-role,participant-role
70,0.0,"558, 563","558, 563",0,given,given,main,main
65,4.0,"473, 477","469, 477",4,want,n't want,main,main
72,19.0,"567, 585","567, 604",19,a little something,a little something for my birthday or,participant-role,participant-role
66,0.0,"478, 497","478, 497",0,to sound as a child,to sound as a child,participant-role,participant-role
71,0.0,"564, 566","564, 566",0,me,me,participant-role,participant-role
77,15.0,"529, 550","517, 541",18,we have been together,the 6 years we have been,configuration,configuration
69,0.0,"555, 557","555, 557",0,he,he,participant-role,participant-role
67,1.0,"465, 497","465, 498",1,I don't want to sound as a child,"I don't want to sound as a child,",configuration,configuration
73,41.43669871020132,"503, 618","542, 604",53,never once in the 6 years we have been together has he given me a little something for my birthday or for Christmas,together has he given me a little something for my birthday or,configuration,configuration
63,0.0,"465, 466","465, 466",0,I,I,participant-role,participant-role
84,6.0,"665, 667","659, 667",6,it,about it,participant-role,participant-role
93,1.0,"712, 714","712, 715",1,me,me.,participant-role,participant-role
82,0.0,"651, 652","651, 652",0,I,I,participant-role,participant-role
92,0.0,"703, 711","703, 711",0,surprise,surprise,main,main
86,0.0,"683, 684","683, 684",0,I,I,participant-role,participant-role
79,0.0,"629, 633","629, 633",0,feel,feel,main,main
87,0.0,"685, 689","685, 689",0,hope,hope,main,main
89,4.123105625617661,"672, 714","668, 715",5,every year I hope that he will surprise me,and every year I hope that he will surprise me.,configuration,configuration
