,,Relaxed/Lambda Match Statistics
,Precission,0.12117873863949326
,Recall,0.9109730848861284
,F1,0.21390374331550802
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,clause,clause
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,finite,finite
2,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",clause,clause
2,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",finite,finite
3,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",clause,clause
3,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",finite,finite
4,1.0,"135, 176","135, 177",1,But for some reason I still feel too busy,But for some reason I still feel too busy.,clause,clause
4,1.0,"135, 176","135, 177",1,But for some reason I still feel too busy,But for some reason I still feel too busy.,finite,finite
5,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,clause,clause
5,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,finite,finite
6,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,clause,clause
6,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,finite,finite
7,1.0,"203, 271","203, 272",1,that the new schedule would suddenly make me super efficient at home,that the new schedule would suddenly make me super efficient at home.,clause,clause
7,42.01190307520001,"203, 271","245, 272",43,that the new schedule would suddenly make me super efficient at home,me super efficient at home.,finite,finite
8,1.0,"283, 297","283, 298",1,That was naive,That was naive.,clause,clause
8,1.0,"283, 297","283, 298",1,That was naive,That was naive.,finite,finite
9,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,clause,clause
9,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,finite,finite
10,1.0,"348, 368","348, 369",1,I'm hanging in there,"I'm hanging in there,",clause,clause
10,1.0,"348, 368","348, 369",1,I'm hanging in there,"I'm hanging in there,",finite,finite
11,1.0,"370, 459","370, 460",1,"but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else","but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",clause,clause
11,1.0,"370, 459","370, 460",1,"but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else","but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",finite,finite
12,1.0,"387, 459","387, 460",1,"if the issue is the standard ""Ann's OCD peaks in fall"" or something else","if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",clause,clause
12,1.0,"387, 459","387, 460",1,"if the issue is the standard ""Ann's OCD peaks in fall"" or something else","if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",finite,finite
13,1.0,"462, 516","462, 517",1,"Usually it's more of an October, November issue for me","Usually it's more of an October, November issue for me.",clause,clause
13,1.0,"462, 516","462, 517",1,"Usually it's more of an October, November issue for me","Usually it's more of an October, November issue for me.",finite,finite
15,48.33218389437829,"539, 576","519, 620",64,contemplating looking for a therapist,"But I'm still here, contemplating looking for a therapist, contemplating not looking for a therapist.",finite,finite
14,12.083045973594572,"519, 537","524, 526",16,But I'm still here,'m,finite,finite
15,2.0,"539, 576","537, 576",2,contemplating looking for a therapist,", contemplating looking for a therapist",clause,clause
16,0.0,"553, 576","553, 576",0,looking for a therapist,looking for a therapist,clause,clause
17,2.23606797749979,"578, 619","576, 620",3,contemplating not looking for a therapist,", contemplating not looking for a therapist.",clause,clause
18,1.0,"592, 619","592, 620",1,not looking for a therapist,not looking for a therapist.,clause,clause
19,1.0,"622, 631","622, 632",1,We'll see,We'll see.,clause,clause
19,1.0,"622, 631","622, 632",1,We'll see,We'll see.,finite,finite
20,1.0,"634, 667","634, 668",1,We're having a lovely summer here,We're having a lovely summer here.,clause,clause
20,1.0,"634, 667","634, 668",1,We're having a lovely summer here,We're having a lovely summer here.,finite,finite
21,1.0,"713, 760","713, 761",1,"I've really been noticing my OCD, unfortunately","I've really been noticing my OCD, unfortunately.",clause,clause
21,1.0,"713, 760","713, 761",1,"I've really been noticing my OCD, unfortunately","I've really been noticing my OCD, unfortunately.",finite,finite
22,5.0,"763, 809","763, 814",5,I find that I can make myself sit with anxiety,"I find that I can make myself sit with anxiety, and",clause,clause
22,5.0,"763, 809","763, 814",5,I find that I can make myself sit with anxiety,"I find that I can make myself sit with anxiety, and",finite,finite
23,0.0,"770, 809","770, 809",0,that I can make myself sit with anxiety,that I can make myself sit with anxiety,clause,clause
24,7.0,"793, 809","786, 809",7,sit with anxiety,myself sit with anxiety,clause,clause
24,7.0,"793, 809","786, 809",7,sit with anxiety,myself sit with anxiety,finite,finite
23,26.419689627245813,"770, 809","793, 796",36,that I can make myself sit with anxiety,sit,finite,finite
25,4.123105625617661,"811, 838","815, 839",5,"and when I do, it goes down","when I do, it goes down.",clause,clause
25,4.123105625617661,"811, 838","815, 839",5,"and when I do, it goes down","when I do, it goes down.",finite,finite
26,0.0,"815, 824","815, 824",0,when I do,when I do,clause,clause
26,0.0,"815, 824","815, 824",0,when I do,when I do,finite,finite
27,1.0,"841, 913","841, 914",1,But I'm also finding a lot of new general anxiety categories cropping up,But I'm also finding a lot of new general anxiety categories cropping up.,clause,clause
27,1.0,"841, 913","841, 914",1,But I'm also finding a lot of new general anxiety categories cropping up,But I'm also finding a lot of new general anxiety categories cropping up.,finite,finite
28,1.0,"902, 913","902, 914",1,cropping up,cropping up.,clause,clause
29,1.0,"916, 1009","916, 1010",1,I've decided I'd like to move to a neighborhood about 5 miles south of where I currently live,I've decided I'd like to move to a neighborhood about 5 miles south of where I currently live.,clause,clause
29,1.0,"916, 1009","916, 1010",1,I've decided I'd like to move to a neighborhood about 5 miles south of where I currently live,I've decided I'd like to move to a neighborhood about 5 miles south of where I currently live.,finite,finite
30,1.0,"929, 1009","929, 1010",1,I'd like to move to a neighborhood about 5 miles south of where I currently live,I'd like to move to a neighborhood about 5 miles south of where I currently live.,clause,clause
30,1.0,"929, 1009","929, 1010",1,I'd like to move to a neighborhood about 5 miles south of where I currently live,I'd like to move to a neighborhood about 5 miles south of where I currently live.,finite,finite
31,1.0,"938, 1009","938, 1010",1,to move to a neighborhood about 5 miles south of where I currently live,to move to a neighborhood about 5 miles south of where I currently live.,clause,clause
32,3.1622776601683795,"984, 1009","987, 1010",4,of where I currently live,where I currently live.,clause,clause
32,3.1622776601683795,"984, 1009","987, 1010",4,of where I currently live,where I currently live.,finite,finite
34,33.015148038438355,"1045, 1088","1012, 1089",34,and that's an objectively reasonable choice,"I'd be much closer to my sister, and that's an objectively reasonable choice.",clause,clause
34,33.015148038438355,"1045, 1088","1012, 1089",34,and that's an objectively reasonable choice,"I'd be much closer to my sister, and that's an objectively reasonable choice.",finite,finite
33,28.0178514522438,"1012, 1043","1013, 1015",29,I'd be much closer to my sister,'d,finite,finite
35,19.0,"1091, 1123","1091, 1142",19,My current house is also too big,"My current house is also too big and I'm a slob, so",clause,clause
35,19.0,"1091, 1123","1091, 1142",19,My current house is also too big,"My current house is also too big and I'm a slob, so",finite,finite
37,3.1622776601683795,"1140, 1172","1143, 1173",4,so it's too much to keep up with,it's too much to keep up with.,clause,clause
37,3.1622776601683795,"1140, 1172","1143, 1173",4,so it's too much to keep up with,it's too much to keep up with.,finite,finite
38,1.0,"1157, 1172","1157, 1173",1,to keep up with,to keep up with.,clause,clause
39,33.0,"1175, 1272","1175, 1239",33,"BUT, I also made this choice because of stress about my neighbor and worry about earthquake risks","BUT, I also made this choice because of stress about my neighbor",clause,clause
39,33.0,"1175, 1272","1175, 1239",33,"BUT, I also made this choice because of stress about my neighbor and worry about earthquake risks","BUT, I also made this choice because of stress about my neighbor",finite,finite
40,5.0,"1275, 1335","1275, 1340",5,I think the best approach is to continue with a plan to move,"I think the best approach is to continue with a plan to move, but",clause,clause
40,5.0,"1275, 1335","1275, 1340",5,I think the best approach is to continue with a plan to move,"I think the best approach is to continue with a plan to move, but",finite,finite
41,0.0,"1283, 1335","1283, 1335",0,the best approach is to continue with a plan to move,the best approach is to continue with a plan to move,clause,clause
41,0.0,"1283, 1335","1283, 1335",0,the best approach is to continue with a plan to move,the best approach is to continue with a plan to move,finite,finite
42,0.0,"1304, 1335","1304, 1335",0,to continue with a plan to move,to continue with a plan to move,clause,clause
43,0.0,"1328, 1335","1328, 1335",0,to move,to move,clause,clause
44,39.20459156782532,"1337, 1450","1341, 1411",43,"but to make myself wait until a house I'm certain is the right choice (not in an OCD way, though :) ) comes along",to make myself wait until a house I'm certain is the right choice (not,clause,clause
47,30.4138126514911,"1375, 1438","1361, 1411",41,"I'm certain is the right choice (not in an OCD way, though :) )",until a house I'm certain is the right choice (not,clause,clause
47,30.4138126514911,"1375, 1438","1361, 1411",41,"I'm certain is the right choice (not in an OCD way, though :) )",until a house I'm certain is the right choice (not,finite,finite
46,65.5133574166368,"1361, 1450","1375, 1386",78,"until a house I'm certain is the right choice (not in an OCD way, though :) ) comes along",I'm certain,clause,clause
48,49.0,"1387, 1438","1387, 1389",49,"is the right choice (not in an OCD way, though :) )",is,finite,finite
49,21.095023109728988,"1453, 1480","1455, 1459",23,I have an urge to move ASAP,have,finite,finite
51,14.0,"1482, 1544","1468, 1544",14,but very few houses that meet my requirements come up for sale,"to move ASAP, but very few houses that meet my requirements come up for sale",clause,clause
52,17.0,"1502, 1527","1502, 1544",17,that meet my requirements,that meet my requirements come up for sale,clause,clause
52,16.76305461424021,"1502, 1527","1507, 1511",21,that meet my requirements,meet,finite,finite
53,14.317821063276353,"1546, 1570","1552, 1557",19,so it could take a while,could,finite,finite
54,1.0,"1573, 1603","1573, 1604",1,That ramps my anxiety right up,"That ramps my anxiety right up,",clause,clause
54,1.0,"1573, 1603","1573, 1604",1,That ramps my anxiety right up,"That ramps my anxiety right up,",finite,finite
55,1.0,"1605, 1644","1605, 1645",1,and that's the piece that I know is OCD,and that's the piece that I know is OCD.,clause,clause
55,1.0,"1605, 1644","1605, 1645",1,and that's the piece that I know is OCD,and that's the piece that I know is OCD.,finite,finite
56,1.0,"1626, 1644","1626, 1645",1,that I know is OCD,that I know is OCD.,clause,clause
56,1.0,"1626, 1644","1626, 1645",1,that I know is OCD,that I know is OCD.,finite,finite
57,1.0,"1638, 1644","1638, 1645",1,is OCD,is OCD.,clause,clause
57,1.0,"1638, 1644","1638, 1645",1,is OCD,is OCD.,finite,finite
58,1.0,"1647, 1663","1647, 1664",1,Patience is hard,Patience is hard!,clause,clause
58,1.0,"1647, 1663","1647, 1664",1,Patience is hard,Patience is hard!,finite,finite
59,1.0,"1666, 1728","1666, 1729",1,"After yesterday's post, I promptly didn't follow my own advice","After yesterday's post, I promptly didn't follow my own advice.",clause,clause
59,1.0,"1666, 1728","1666, 1729",1,"After yesterday's post, I promptly didn't follow my own advice","After yesterday's post, I promptly didn't follow my own advice.",finite,finite
60,1.0,"1731, 1905","1731, 1906",1,Today at work I got so sucked into my anxiety that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress,Today at work I got so sucked into my anxiety that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress.,clause,clause
60,1.0,"1731, 1905","1731, 1906",1,Today at work I got so sucked into my anxiety that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress,Today at work I got so sucked into my anxiety that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress.,finite,finite
61,1.0,"1751, 1905","1751, 1906",1,so sucked into my anxiety that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress,so sucked into my anxiety that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress.,clause,clause
61,1.0,"1751, 1905","1751, 1906",1,so sucked into my anxiety that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress,so sucked into my anxiety that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress.,finite,finite
62,51.0,"1777, 1957","1777, 1906",51,"that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress.
And of course now I'm feeling anxious about that!",that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress.,clause,clause
62,51.0,"1777, 1957","1777, 1906",51,"that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress.
And of course now I'm feeling anxious about that!",that I sent some overwrought emails to a bigwig at the office about a project we're working on together that's causing me stress.,finite,finite
63,0.0,"1855, 1880","1855, 1880",0,we're working on together,we're working on together,clause,clause
63,0.0,"1855, 1880","1855, 1880",0,we're working on together,we're working on together,finite,finite
64,7.0,"1881, 1905","1881, 1898",7,that's causing me stress,that's causing me,clause,clause
64,7.0,"1881, 1905","1881, 1898",7,that's causing me stress,that's causing me,finite,finite
65,1.0,"1908, 1956","1908, 1957",1,And of course now I'm feeling anxious about that,And of course now I'm feeling anxious about that!,clause,clause
65,1.0,"1908, 1956","1908, 1957",1,And of course now I'm feeling anxious about that,And of course now I'm feeling anxious about that!,finite,finite
67,5.0,"1959, 1991","1964, 1991",5,What most frustrates me about it,most frustrates me about it,clause,clause
67,5.0,"1959, 1991","1964, 1991",5,What most frustrates me about it,most frustrates me about it,finite,finite
68,1.0,"1996, 2026","1996, 2027",1,that I knew it was OCD-related,that I knew it was OCD-related.,clause,clause
68,1.0,"1996, 2026","1996, 2027",1,that I knew it was OCD-related,that I knew it was OCD-related.,finite,finite
69,1.0,"2008, 2026","2008, 2027",1,it was OCD-related,it was OCD-related.,clause,clause
69,1.0,"2008, 2026","2008, 2027",1,it was OCD-related,it was OCD-related.,finite,finite
70,68.26419266350405,"2029, 2108","2035, 2040",74,And I couldn't keep myself from reacting rather than even trying to wait it out,could,finite,finite
71,5.0,"2056, 2069","2061, 2069",5,from reacting,reacting,clause,clause
72,12.041594578792296,"2070, 2108","2082, 2109",13,rather than even trying to wait it out,even trying to wait it out.,clause,clause
73,1.0,"2094, 2108","2094, 2109",1,to wait it out,to wait it out.,clause,clause
74,1.0,"2111, 2134","2111, 2135",1,Tomorrow is another day,Tomorrow is another day.,clause,clause
74,1.0,"2111, 2134","2111, 2135",1,Tomorrow is another day,Tomorrow is another day.,finite,finite
75,1.0,"2137, 2344","2137, 2345",1,Sunny recently posted a video on her blog from the OCD conference about being reminded that the goal of OCD treatment is not to have less anxiety but to learn to accept anxiety and know that it won't kill us,Sunny recently posted a video on her blog from the OCD conference about being reminded that the goal of OCD treatment is not to have less anxiety but to learn to accept anxiety and know that it won't kill us.,clause,clause
75,1.0,"2137, 2344","2137, 2345",1,Sunny recently posted a video on her blog from the OCD conference about being reminded that the goal of OCD treatment is not to have less anxiety but to learn to accept anxiety and know that it won't kill us,Sunny recently posted a video on her blog from the OCD conference about being reminded that the goal of OCD treatment is not to have less anxiety but to learn to accept anxiety and know that it won't kill us.,finite,finite
78,53.0,"2262, 2282","2209, 2282",53,to have less anxiety,being reminded that the goal of OCD treatment is not to have less anxiety,clause,clause
79,4.123105625617661,"2283, 2344","2287, 2345",5,but to learn to accept anxiety and know that it won't kill us,to learn to accept anxiety and know that it won't kill us.,clause,clause
80,0.0,"2296, 2313","2296, 2313",0,to accept anxiety,to accept anxiety,clause,clause
81,1.0,"2314, 2344","2314, 2345",1,and know that it won't kill us,and know that it won't kill us.,clause,clause
82,1.0,"2323, 2344","2323, 2345",1,that it won't kill us,that it won't kill us.,clause,clause
82,1.0,"2323, 2344","2323, 2345",1,that it won't kill us,that it won't kill us.,finite,finite
83,1.0,"2347, 2453","2347, 2454",1,"The lucky side effect being that once you learn that, you are actually likely to see a decrease in anxiety","The lucky side effect being that once you learn that, you are actually likely to see a decrease in anxiety.",clause,clause
84,14.866068747318506,"2375, 2399","2389, 2394",19,that once you learn that,learn,finite,finite
85,6.082762530298219,"2401, 2453","2395, 2454",7,you are actually likely to see a decrease in anxiety,"that, you are actually likely to see a decrease in anxiety.",clause,clause
85,6.082762530298219,"2401, 2453","2395, 2454",7,you are actually likely to see a decrease in anxiety,"that, you are actually likely to see a decrease in anxiety.",finite,finite
86,1.0,"2425, 2453","2425, 2454",1,to see a decrease in anxiety,to see a decrease in anxiety.,clause,clause
87,1.0,"2456, 2474","2456, 2475",1,It sure isn't easy,It sure isn't easy.,clause,clause
87,1.0,"2456, 2474","2456, 2475",1,It sure isn't easy,It sure isn't easy.,finite,finite
88,21.0,"2477, 2532","2477, 2553",21,I've reached the point where I can recognize my anxiety,"I've reached the point where I can recognize my anxiety, and acknowledge it,",clause,clause
88,21.0,"2477, 2532","2477, 2553",21,I've reached the point where I can recognize my anxiety,"I've reached the point where I can recognize my anxiety, and acknowledge it,",finite,finite
89,20.0,"2500, 2532","2500, 2552",20,where I can recognize my anxiety,"where I can recognize my anxiety, and acknowledge it",clause,clause
89,22.47220505424423,"2500, 2532","2508, 2511",29,where I can recognize my anxiety,can,finite,finite
90,0.0,"2534, 2552","2534, 2552",0,and acknowledge it,and acknowledge it,clause,clause
90,0.0,"2534, 2552","2534, 2552",0,and acknowledge it,and acknowledge it,finite,finite
91,18.027756377319946,"2554, 2580","2560, 2563",23,and I can even sit with it,can,finite,finite
92,1.0,"2583, 2625","2583, 2626",1,But it isn't any less uncomfortable for me,But it isn't any less uncomfortable for me.,clause,clause
92,1.0,"2583, 2625","2583, 2626",1,But it isn't any less uncomfortable for me,But it isn't any less uncomfortable for me.,finite,finite
93,1.0,"2628, 2707","2628, 2708",1,I don't know that it ever actually becomes less unpleasant while it's happening,I don't know that it ever actually becomes less unpleasant while it's happening.,clause,clause
93,1.0,"2628, 2707","2628, 2708",1,I don't know that it ever actually becomes less unpleasant while it's happening,I don't know that it ever actually becomes less unpleasant while it's happening.,finite,finite
94,1.0,"2641, 2707","2641, 2708",1,that it ever actually becomes less unpleasant while it's happening,that it ever actually becomes less unpleasant while it's happening.,clause,clause
94,1.0,"2641, 2707","2641, 2708",1,that it ever actually becomes less unpleasant while it's happening,that it ever actually becomes less unpleasant while it's happening.,finite,finite
95,1.0,"2687, 2707","2687, 2708",1,while it's happening,while it's happening.,clause,clause
95,1.0,"2687, 2707","2687, 2708",1,while it's happening,while it's happening.,finite,finite
96,1.0,"2710, 2737","2710, 2738",1,What's your experience been,What's your experience been?,clause,clause
96,1.0,"2710, 2737","2710, 2738",1,What's your experience been,What's your experience been?,finite,finite
97,1.0,"2740, 2775","2740, 2776",1,Have you ever visited BeyondOCD.org,Have you ever visited BeyondOCD.org?,clause,clause
97,1.0,"2740, 2775","2740, 2776",1,Have you ever visited BeyondOCD.org,Have you ever visited BeyondOCD.org?,finite,finite
98,22.0,"2777, 2800","2777, 2822",22,I suspect I have before,"I suspect I have before, but forgot about it.",clause,clause
99,1.0,"2787, 2800","2787, 2801",1,I have before,"I have before,",clause,clause
99,1.0,"2787, 2800","2787, 2801",1,I have before,"I have before,",finite,finite
98,13.892443989449804,"2777, 2800","2789, 2793",19,I suspect I have before,have,finite,finite
100,1.0,"2802, 2821","2802, 2822",1,but forgot about it,but forgot about it.,clause,clause
100,1.0,"2802, 2821","2802, 2822",1,but forgot about it,but forgot about it.,finite,finite
101,1.0,"2824, 2875","2824, 2876",1,Last week I spent some time looking around the site,Last week I spent some time looking around the site.,clause,clause
101,1.0,"2824, 2875","2824, 2876",1,Last week I spent some time looking around the site,Last week I spent some time looking around the site.,finite,finite
102,1.0,"2852, 2875","2852, 2876",1,looking around the site,looking around the site.,clause,clause
103,1.0,"2878, 2953","2878, 2954",1,The Expert Perspectives link at the top right had some really good articles,"The Expert Perspectives link at the top right had some really good articles,",clause,clause
103,1.0,"2878, 2953","2878, 2954",1,The Expert Perspectives link at the top right had some really good articles,"The Expert Perspectives link at the top right had some really good articles,",finite,finite
104,1.0,"2955, 3021","2955, 3022",1,and I also was thoroughly inspired by some of the Personal Stories,and I also was thoroughly inspired by some of the Personal Stories.,clause,clause
104,1.0,"2955, 3021","2955, 3022",1,and I also was thoroughly inspired by some of the Personal Stories,and I also was thoroughly inspired by some of the Personal Stories.,finite,finite
105,1.0,"3024, 3135","3024, 3136",1,This is one of the few places I've seen people post that their OCD really isn't a big problem in their life now,This is one of the few places I've seen people post that their OCD really isn't a big problem in their life now.,clause,clause
105,1.0,"3024, 3135","3024, 3136",1,This is one of the few places I've seen people post that their OCD really isn't a big problem in their life now,This is one of the few places I've seen people post that their OCD really isn't a big problem in their life now.,finite,finite
106,1.0,"3054, 3135","3054, 3136",1,I've seen people post that their OCD really isn't a big problem in their life now,I've seen people post that their OCD really isn't a big problem in their life now.,clause,clause
106,1.0,"3054, 3135","3054, 3136",1,I've seen people post that their OCD really isn't a big problem in their life now,I've seen people post that their OCD really isn't a big problem in their life now.,finite,finite
107,7.0710678118654755,"3071, 3135","3064, 3136",8,post that their OCD really isn't a big problem in their life now,people post that their OCD really isn't a big problem in their life now.,clause,clause
107,7.0710678118654755,"3071, 3135","3064, 3136",8,post that their OCD really isn't a big problem in their life now,people post that their OCD really isn't a big problem in their life now.,finite,finite
108,1.0,"3076, 3135","3076, 3136",1,that their OCD really isn't a big problem in their life now,that their OCD really isn't a big problem in their life now.,clause,clause
108,1.0,"3076, 3135","3076, 3136",1,that their OCD really isn't a big problem in their life now,that their OCD really isn't a big problem in their life now.,finite,finite
109,1.0,"3138, 3166","3138, 3167",1,I love to read those stories,I love to read those stories!,clause,clause
109,1.0,"3138, 3166","3138, 3167",1,I love to read those stories,I love to read those stories!,finite,finite
110,1.0,"3145, 3166","3145, 3167",1,to read those stories,to read those stories!,clause,clause
111,1.0,"3169, 3275","3169, 3276",1,Every so often people write to me asking if they can write a post about their product or system or website,Every so often people write to me asking if they can write a post about their product or system or website.,clause,clause
111,1.0,"3169, 3275","3169, 3276",1,Every so often people write to me asking if they can write a post about their product or system or website,Every so often people write to me asking if they can write a post about their product or system or website.,finite,finite
112,3.1622776601683795,"3203, 3275","3200, 3276",4,asking if they can write a post about their product or system or website,me asking if they can write a post about their product or system or website.,clause,clause
113,1.0,"3210, 3275","3210, 3276",1,if they can write a post about their product or system or website,if they can write a post about their product or system or website.,clause,clause
113,54.589376255824725,"3210, 3275","3218, 3221",62,if they can write a post about their product or system or website,can,finite,finite
115,36.013886210738214,"3314, 3445","3278, 3446",37,but I'm really wary of appearing to endorse something I know nothing about when something as important as mental health is involved,"Some of them are probably fabulous, but I'm really wary of appearing to endorse something I know nothing about when something as important as mental health is involved.",finite,finite
114,22.20360331117452,"3278, 3312","3291, 3294",31,Some of them are probably fabulous,are,finite,finite
116,3.1622776601683795,"3334, 3445","3337, 3446",4,of appearing to endorse something I know nothing about when something as important as mental health is involved,appearing to endorse something I know nothing about when something as important as mental health is involved.,clause,clause
115,33.015148038438355,"3314, 3445","3347, 3446",34,but I'm really wary of appearing to endorse something I know nothing about when something as important as mental health is involved,to endorse something I know nothing about when something as important as mental health is involved.,clause,clause
118,14.142135623730951,"3368, 3388","3370, 3374",16,I know nothing about,know,finite,finite
119,1.0,"3389, 3445","3389, 3446",1,when something as important as mental health is involved,when something as important as mental health is involved.,clause,clause
119,1.0,"3389, 3445","3389, 3446",1,when something as important as mental health is involved,when something as important as mental health is involved.,finite,finite
120,0.0,"3448, 3490","3448, 3490",0,The Beyond OCD site is run by a non-profit,The Beyond OCD site is run by a non-profit,clause,clause
120,0.0,"3448, 3490","3448, 3490",0,The Beyond OCD site is run by a non-profit,The Beyond OCD site is run by a non-profit,finite,finite
121,1.0,"3491, 3530","3491, 3531",1,and doesn't seem to be selling anything,and doesn't seem to be selling anything.,clause,clause
121,1.0,"3491, 3530","3491, 3531",1,and doesn't seem to be selling anything,and doesn't seem to be selling anything.,finite,finite
122,1.0,"3508, 3530","3508, 3531",1,to be selling anything,to be selling anything.,clause,clause
