Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,6247,,5844,,0.5989048596851472,0.5602689290859613,0.5789430154660491
,
STATUS,530,8.484072354730271,518,8.863791923340179,0.8938223938223938,0.8735849056603774,0.8835877862595419
major,530,100.0,518,100.0,0.8938223938223938,0.8735849056603774,0.8835877862595419
minor,0,0.0,0,0.0,-1,-1,-1.0
,
MOOD-TYPE,529,8.4680646710421,413,7.067077344284736,0.8765133171912833,0.6843100189035917,0.7685774946921444
indicative,525,99.24385633270322,388,93.94673123486683,0.9252577319587629,0.6838095238095238,0.7864184008762323
imperative,4,0.7561436672967864,25,6.053268765133172,0.12,0.75,0.20689655172413793
,
MOOD-ASSESSMENT-TYPE,99,1.584760685128862,120,2.0533880903490758,0.43333333333333335,0.5252525252525253,0.4748858447488585
modality,36,36.36363636363637,20,16.666666666666664,0.65,0.3611111111111111,0.4642857142857143
temporality,41,41.41414141414141,54,45.0,0.5370370370370371,0.7073170731707317,0.6105263157894738
intensity,22,22.22222222222222,46,38.333333333333336,0.21739130434782608,0.45454545454545453,0.29411764705882354
,
INDICATIVE-TYPE,524,8.388026252601248,388,6.639288158795345,0.8067010309278351,0.5973282442748091,0.6864035087719298
declarative,478,91.22137404580153,295,76.03092783505154,0.9288135593220339,0.5732217573221757,0.7089262613195342
interrogative,46,8.778625954198473,93,23.969072164948454,0.41935483870967744,0.8478260869565217,0.5611510791366907
,
INTERROGATIVE-TYPE,46,0.7363534496558348,93,1.5913757700205338,0.3978494623655914,0.8043478260869565,0.5323741007194244
yes-no,7,15.217391304347828,13,13.978494623655912,0.3076923076923077,0.5714285714285714,0.4
wh,39,84.78260869565217,80,86.02150537634408,0.4125,0.8461538461538461,0.5546218487394958
,
WH-SELECTION,39,0.6242996638386425,83,1.4202600958247775,0.26506024096385544,0.5641025641025641,0.3606557377049181
wh-subject,10,25.64102564102564,11,13.253012048192772,0.5454545454545454,0.6,0.5714285714285713
wh-complement,6,15.384615384615385,59,71.08433734939759,0.1016949152542373,1.0,0.18461538461538463
wh-adjunct,23,58.97435897435898,13,15.66265060240964,0.7692307692307693,0.43478260869565216,0.5555555555555555
,
FINITNESS,530,8.484072354730271,955,16.34154688569473,0.506806282722513,0.9132075471698113,0.6518518518518518
non-finite,94,17.735849056603772,107,11.204188481675391,0.7102803738317757,0.8085106382978723,0.7562189054726367
finite,436,82.26415094339623,848,88.79581151832461,0.4811320754716981,0.9357798165137615,0.6355140186915889
,
INDICATIVE-TYPE,524,8.388026252601248,388,6.639288158795345,0.8067010309278351,0.5973282442748091,0.6864035087719298
declarative,478,91.22137404580153,295,76.03092783505154,0.9288135593220339,0.5732217573221757,0.7089262613195342
interrogative,46,8.778625954198473,93,23.969072164948454,0.41935483870967744,0.8478260869565217,0.5611510791366907
,
INTERROGATIVE-TYPE,46,0.7363534496558348,93,1.5913757700205338,0.3978494623655914,0.8043478260869565,0.5323741007194244
yes-no,7,15.217391304347828,13,13.978494623655912,0.3076923076923077,0.5714285714285714,0.4
wh,39,84.78260869565217,80,86.02150537634408,0.4125,0.8461538461538461,0.5546218487394958
,
WH-SELECTION,39,0.6242996638386425,83,1.4202600958247775,0.26506024096385544,0.5641025641025641,0.3606557377049181
wh-subject,10,25.64102564102564,11,13.253012048192772,0.5454545454545454,0.6,0.5714285714285713
wh-complement,6,15.384615384615385,59,71.08433734939759,0.1016949152542373,1.0,0.18461538461538463
wh-adjunct,23,58.97435897435898,13,15.66265060240964,0.7692307692307693,0.43478260869565216,0.5555555555555555
,
DEICTICITY,441,7.059388506483113,406,6.947296372347707,0.874384236453202,0.8049886621315193,0.8382526564344747
temporal,406,92.06349206349206,391,96.30541871921181,0.8823529411764706,0.8497536945812808,0.8657465495608533
modal,35,7.936507936507936,15,3.6945812807881775,0.6666666666666666,0.2857142857142857,0.4
,
NON-FINITE-TYPE,94,1.5047222666880102,107,1.8309377138945926,0.7009345794392523,0.7978723404255319,0.7462686567164178
imperfective,28,29.78723404255319,35,32.71028037383177,0.5714285714285714,0.7142857142857143,0.634920634920635
perfective,66,70.2127659574468,72,67.28971962616822,0.7638888888888888,0.8333333333333334,0.7971014492753623
,
VOICE-TYPE,530,8.484072354730271,518,8.863791923340179,0.8474903474903475,0.8283018867924529,0.8377862595419847
active,512,96.60377358490567,490,94.5945945945946,0.8795918367346939,0.841796875,0.8602794411177644
passive,18,3.3962264150943398,28,5.405405405405405,0.2857142857142857,0.4444444444444444,0.34782608695652173
,
POLARITY-TYPE,530,8.484072354730271,530,9.069130732375086,0.8037735849056604,0.8037735849056604,0.8037735849056604
positive,474,89.43396226415095,425,80.18867924528303,0.8870588235294118,0.7953586497890295,0.8387096774193548
negative,56,10.566037735849058,105,19.81132075471698,0.4666666666666667,0.875,0.608695652173913
,
Mann <=> Auto Mapping,
major,"m, a, j, o, r"
probability,"p, r, o, b, a, b, i, l, i, t, y"
inclination-volition,"i, n, c, l, i, n, a, t, i, o, n, -, v, o, l, i, t, i, o, n"
clause,"c, l, a, u, s, e"
epistemic-evaluative,"e, p, i, s, t, e, m, i, c, -, e, v, a, l, u, a, t, i, v, e"
non-epistemic,"n, o, n, -, e, p, i, s, t, e, m, i, c"
bound,"b, o, u, n, d"
obligation-permission,"o, b, l, i, g, a, t, i, o, n, -, p, e, r, m, i, s, s, i, o, n"
past,"p, a, s, t"
middle,"m, i, d, d, l, e"
intensity,"i, n, t, e, n, s, i, t, y"
interpersonal,"i, n, t, e, r, p, e, r, s, o, n, a, l"
non-agentive,"n, o, n, -, a, g, e, n, t, i, v, e"
continuative-marker,"c, o, n, t, i, n, u, a, t, i, v, e, -, m, a, r, k, e, r"
comment-assessed,"c, o, m, m, e, n, t, -, a, s, s, e, s, s, e, d"
wh-complement,"w, h, -, c, o, m, p, l, e, m, e, n, t"
non-progressive,"n, o, n, -, p, r, o, g, r, e, s, s, i, v, e"
modality,"m, o, d, a, l, i, t, y"
operative,"o, p, e, r, a, t, i, v, e"
perfect,"p, e, r, f, e, c, t"
interrogative,"i, n, t, e, r, r, o, g, a, t, i, v, e"
mood-assessed,"m, o, o, d, -, a, s, s, e, s, s, e, d"
syntactic,"s, y, n, t, a, c, t, i, c"
positive,"p, o, s, i, t, i, v, e"
temporal,"t, e, m, p, o, r, a, l"
negative,"n, e, g, a, t, i, v, e"
textual,"t, e, x, t, u, a, l"
passive,"p, a, s, s, i, v, e"
comment-non-assessed,"c, o, m, m, e, n, t, -, n, o, n, -, a, s, s, e, s, s, e, d"
imperative,"i, m, p, e, r, a, t, i, v, e"
epistemic,"e, p, i, s, t, e, m, i, c"
perfective,"p, e, r, f, e, c, t, i, v, e"
verbal-group-marker,"v, e, r, b, a, l, -, g, r, o, u, p, -, m, a, r, k, e, r"
finite,"f, i, n, i, t, e"
yes-no,"y, e, s, -, n, o"
minor,"m, i, n, o, r"
morphological,"m, o, r, p, h, o, l, o, g, i, c, a, l"
ability,"a, b, i, l, i, t, y"
nominal-group-marker,"n, o, m, i, n, a, l, -, g, r, o, u, p, -, m, a, r, k, e, r"
wh-adjunct,"w, h, -, a, d, j, u, n, c, t"
free,"f, r, e, e"
wh,"w, h"
conjunctive-marker,"c, o, n, j, u, n, c, t, i, v, e, -, m, a, r, k, e, r"
usuality,"u, s, u, a, l, i, t, y"
declarative,"d, e, c, l, a, r, a, t, i, v, e"
indicative,"i, n, d, i, c, a, t, i, v, e"
adverbial-group-marker,"a, d, v, e, r, b, i, a, l, -, g, r, o, u, p, -, m, a, r, k, e, r"
mood-non-assessed,"m, o, o, d, -, n, o, n, -, a, s, s, e, s, s, e, d"
active,"a, c, t, i, v, e"
present,"p, r, e, s, e, n, t"
progressive,"p, r, o, g, r, e, s, s, i, v, e"
effective,"e, f, f, e, c, t, i, v, e"
non-finite,"n, o, n, -, f, i, n, i, t, e"
receptive,"r, e, c, e, p, t, i, v, e"
agentive,"a, g, e, n, t, i, v, e"
imperfective,"i, m, p, e, r, f, e, c, t, i, v, e"
non-perfect,"n, o, n, -, p, e, r, f, e, c, t"
future,"f, u, t, u, r, e"
modal,"m, o, d, a, l"
temporality,"t, e, m, p, o, r, a, l, i, t, y"
root,"r, o, o, t"
wh-subject,"w, h, -, s, u, b, j, e, c, t"
