,,Relaxed/Lambda Match Statistics
,Precission,0.7526041666666666
,Recall,0.8827122785583384
,F1,0.8124824290132133
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,clause,clause
10,0.0,"0, 2","0, 2",0,So,So,marker,marker
9,0.0,"3, 16","3, 16",0,two weeks ago,two weeks ago,group,group
9,0.0,"3, 16","3, 16",0,two weeks ago,two weeks ago,adjunct,adjunct
2,0.0,"17, 18","17, 18",0,I,I,subject,subject
2,0.0,"17, 18","17, 18",0,I,I,group,group
2,0.0,"17, 18","17, 18",0,I,I,nominal-group,nominal-group
3,0.0,"19, 26","19, 26",0,started,started,verbal-group,verbal-group
3,0.0,"19, 26","19, 26",0,started,started,group,group
3,0.0,"19, 26","19, 26",0,started,started,predicator,predicator
4,1.0,"27, 62","27, 63",1,my new work schedule: 3 days a week,my new work schedule: 3 days a week.,complement-direct,complement-direct
4,1.0,"27, 62","27, 63",1,my new work schedule: 3 days a week,my new work schedule: 3 days a week.,group,group
4,1.0,"27, 62","27, 63",1,my new work schedule: 3 days a week,my new work schedule: 3 days a week.,nominal-group,nominal-group
5,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",clause,clause
11,0.0,"65, 74","65, 74",0,In theory,In theory,group,group
11,0.0,"65, 74","65, 74",0,In theory,In theory,prepositional-group,prepositional-group
11,0.0,"65, 74","65, 74",0,In theory,In theory,adjunct,adjunct
8,2.0,"76, 78","74, 78",2,it,", it",subject,subject
8,2.0,"76, 78","74, 78",2,it,", it",group,group
8,2.0,"76, 78","74, 78",2,it,", it",nominal-group,nominal-group
6,0.0,"78, 80","78, 80",0,'s,'s,verbal-group,verbal-group
6,0.0,"78, 80","78, 80",0,'s,'s,group,group
6,0.0,"78, 80","78, 80",0,'s,'s,predicator,predicator
7,1.0,"81, 86","81, 87",1,great,great.,complement-direct,complement-direct
7,1.0,"81, 86","81, 87",1,great,great.,adjectival-group,adjectival-group
7,1.0,"81, 86","81, 87",1,great,great.,group,group
12,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",clause,clause
18,0.0,"105, 116","105, 116",0,in practice,in practice,group,group
18,0.0,"105, 116","105, 116",0,in practice,in practice,prepositional-group,prepositional-group
18,0.0,"105, 116","105, 116",0,in practice,in practice,adjunct,adjunct
13,0.0,"117, 119","117, 119",0,it,it,subject,subject
13,0.0,"117, 119","117, 119",0,it,it,group,group
13,0.0,"117, 119","117, 119",0,it,it,nominal-group,nominal-group
14,0.0,"119, 121","119, 121",0,'s,'s,verbal-group,verbal-group
14,0.0,"119, 121","119, 121",0,'s,'s,group,group
14,0.0,"119, 121","119, 121",0,'s,'s,predicator,predicator
15,6.0,"122, 127","122, 133",6,great,"great, too.",complement-direct,complement-direct
15,6.0,"122, 127","122, 133",6,great,"great, too.",adjectival-group,adjectival-group
15,6.0,"122, 127","122, 133",6,great,"great, too.",group,group
19,1.0,"135, 176","135, 177",1,But for some reason I still feel too busy,But for some reason I still feel too busy.,clause,clause
24,0.0,"135, 138","135, 138",0,But,But,marker,marker
25,4.47213595499958,"139, 154","143, 156",6,for some reason,some reason I,group,group
25,4.47213595499958,"139, 154","143, 156",6,for some reason,some reason I,prepositional-group,prepositional-group
25,4.47213595499958,"139, 154","143, 156",6,for some reason,some reason I,adjunct,adjunct
22,0.0,"157, 162","157, 162",0,still,still,adverbial-group,adverbial-group
22,0.0,"157, 162","157, 162",0,still,still,group,group
22,0.0,"157, 162","157, 162",0,still,still,adjunct,adjunct
22,0.0,"157, 162","157, 162",0,still,still,mood-adjunct,mood-adjunct
21,0.0,"163, 167","163, 167",0,feel,feel,verbal-group,verbal-group
21,0.0,"163, 167","163, 167",0,feel,feel,group,group
21,0.0,"163, 167","163, 167",0,feel,feel,predicator,predicator
23,1.0,"168, 176","168, 177",1,too busy,too busy.,complement-direct,complement-direct
23,1.0,"168, 176","168, 177",1,too busy,too busy.,group,group
26,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,clause,clause
27,0.0,"179, 180","179, 180",0,I,I,subject,subject
27,0.0,"179, 180","179, 180",0,I,I,group,group
27,0.0,"179, 180","179, 180",0,I,I,nominal-group,nominal-group
28,0.0,"181, 186","181, 186",0,think,think,verbal-group,verbal-group
28,0.0,"181, 186","181, 186",0,think,think,group,group
28,0.0,"181, 186","181, 186",0,think,think,predicator,predicator
125,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,clause,clause
1850,6.082762530298219,"193, 271","187, 272",7,this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,complement-direct,complement-direct
31,0.0,"187, 188","187, 188",0,I,I,subject,subject
31,0.0,"187, 188","187, 188",0,I,I,group,group
31,0.0,"187, 188","187, 188",0,I,I,nominal-group,nominal-group
29,0.0,"189, 192","189, 192",0,had,had,verbal-group,verbal-group
29,0.0,"189, 192","189, 192",0,had,had,group,group
29,0.0,"189, 192","189, 192",0,had,had,predicator,predicator
33,1.0,"203, 271","203, 272",1,that the new schedule would suddenly make me super efficient at home,that the new schedule would suddenly make me super efficient at home.,clause,clause
34,0.0,"203, 207","203, 207",0,that,that,marker,marker
32,0.0,"208, 224","208, 224",0,the new schedule,the new schedule,subject,subject
32,0.0,"208, 224","208, 224",0,the new schedule,the new schedule,group,group
1850,49.33558553417604,"193, 271","208, 224",62,this idea that the new schedule would suddenly make me super efficient at home,the new schedule,nominal-group,nominal-group
35,0.0,"225, 230","225, 230",0,would,would,verbal-group,verbal-group
35,0.0,"225, 230","225, 230",0,would,would,finite,finite
35,0.0,"225, 230","225, 230",0,would,would,group,group
36,0.0,"231, 239","231, 239",0,suddenly,suddenly,adverbial-group,adverbial-group
36,0.0,"231, 239","231, 239",0,suddenly,suddenly,group,group
36,0.0,"231, 239","231, 239",0,suddenly,suddenly,adjunct,adjunct
30,0.0,"240, 244","240, 244",0,make,make,verbal-group,verbal-group
30,0.0,"240, 244","240, 244",0,make,make,group,group
30,0.0,"240, 244","240, 244",0,make,make,predicator,predicator
38,9.486832980505138,"248, 263","245, 272",12,super efficient,me super efficient at home.,complement-direct,complement-direct
37,0.0,"245, 247","245, 247",0,me,me,group,group
37,0.0,"245, 247","245, 247",0,me,me,nominal-group,nominal-group
38,6.0,"248, 263","254, 263",6,super efficient,efficient,group,group
214,1.0,"264, 271","264, 272",1,at home,at home.,group,group
214,1.0,"264, 271","264, 272",1,at home,at home.,prepositional-group,prepositional-group
214,1.0,"264, 271","264, 272",1,at home,at home.,adjunct,adjunct
39,1.0,"283, 297","283, 298",1,That was naive,That was naive.,clause,clause
42,0.0,"283, 287","283, 287",0,That,That,subject,subject
42,0.0,"283, 287","283, 287",0,That,That,group,group
40,0.0,"288, 291","288, 291",0,was,was,verbal-group,verbal-group
40,0.0,"288, 291","288, 291",0,was,was,group,group
40,0.0,"288, 291","288, 291",0,was,was,predicator,predicator
41,1.0,"292, 297","292, 298",1,naive,naive.,complement-direct,complement-direct
41,1.0,"292, 297","292, 298",1,naive,naive.,adjectival-group,adjectival-group
41,1.0,"292, 297","292, 298",1,naive,naive.,group,group
43,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,clause,clause
48,0.0,"300, 306","300, 306",0,My OCD,My OCD,subject,subject
48,0.0,"300, 306","300, 306",0,My OCD,My OCD,group,group
48,0.0,"300, 306","300, 306",0,My OCD,My OCD,nominal-group,nominal-group
44,0.0,"307, 310","307, 310",0,has,has,verbal-group,verbal-group
44,0.0,"307, 310","307, 310",0,has,has,finite,finite
44,0.0,"307, 310","307, 310",0,has,has,group,group
45,0.0,"311, 315","311, 315",0,been,been,verbal-group,verbal-group
45,0.0,"311, 315","311, 315",0,been,been,group,group
45,0.0,"311, 315","311, 315",0,been,been,predicator,predicator
46,0.0,"316, 325","316, 325",0,on a tear,on a tear,complement-direct,complement-direct
46,0.0,"316, 325","316, 325",0,on a tear,on a tear,group,group
46,0.0,"316, 325","316, 325",0,on a tear,on a tear,prepositional-group,prepositional-group
47,1.0,"326, 345","326, 346",1,over the last month,over the last month.,group,group
47,1.0,"326, 345","326, 346",1,over the last month,over the last month.,prepositional-group,prepositional-group
47,1.0,"326, 345","326, 346",1,over the last month,over the last month.,adjunct,adjunct
49,1.0,"348, 368","348, 369",1,I'm hanging in there,"I'm hanging in there,",clause,clause
