Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,1708,,1526,,0.6336828309305373,0.5661592505854801,0.5980210265924553
,
STATUS,147,8.60655737704918,136,8.91218872870249,0.9632352941176471,0.891156462585034,0.9257950530035336
major,147,100.0,136,100.0,0.9632352941176471,0.891156462585034,0.9257950530035336
minor,0,0.0,0,0.0,-1,-1,-1.0
,
MOOD-TYPE,147,8.60655737704918,109,7.142857142857142,0.8990825688073395,0.6666666666666666,0.765625
indicative,146,99.31972789115646,99,90.82568807339449,0.9797979797979798,0.6643835616438356,0.7918367346938775
imperative,1,0.6802721088435374,10,9.174311926605505,0.1,1.0,0.18181818181818182
,
MOOD-ASSESSMENT-TYPE,26,1.5222482435597189,20,1.310615989515072,0.5,0.38461538461538464,0.4347826086956522
modality,11,42.30769230769231,3,15.0,0.6666666666666666,0.18181818181818182,0.28571428571428575
temporality,11,42.30769230769231,8,40.0,0.75,0.5454545454545454,0.631578947368421
intensity,4,15.384615384615385,9,45.0,0.2222222222222222,0.5,0.30769230769230765
,
INDICATIVE-TYPE,145,8.489461358313816,99,6.487549148099607,0.8686868686868687,0.593103448275862,0.7049180327868853
declarative,137,94.48275862068965,80,80.8080808080808,0.9875,0.5766423357664233,0.7281105990783409
interrogative,8,5.517241379310345,19,19.19191919191919,0.3684210526315789,0.875,0.5185185185185185
,
INTERROGATIVE-TYPE,8,0.468384074941452,19,1.2450851900393185,0.3684210526315789,0.875,0.5185185185185185
yes-no,1,12.5,1,5.263157894736842,1.0,1.0,1.0
wh,7,87.5,18,94.73684210526315,0.3333333333333333,0.8571428571428571,0.48
,
WH-SELECTION,7,0.4098360655737705,19,1.2450851900393185,0.2631578947368421,0.7142857142857143,0.3846153846153846
wh-subject,2,28.57142857142857,4,21.052631578947366,0.25,0.5,0.3333333333333333
wh-complement,2,28.57142857142857,12,63.1578947368421,0.16666666666666666,1.0,0.2857142857142857
wh-adjunct,3,42.857142857142854,3,15.789473684210526,0.6666666666666666,0.6666666666666666,0.6666666666666666
,
FINITNESS,147,8.60655737704918,254,16.644823066841415,0.5393700787401575,0.9319727891156463,0.6832917705735662
non-finite,24,16.3265306122449,29,11.41732283464567,0.7241379310344828,0.875,0.7924528301886793
finite,123,83.6734693877551,225,88.58267716535433,0.5155555555555555,0.943089430894309,0.6666666666666666
,
INDICATIVE-TYPE,145,8.489461358313816,99,6.487549148099607,0.8686868686868687,0.593103448275862,0.7049180327868853
declarative,137,94.48275862068965,80,80.8080808080808,0.9875,0.5766423357664233,0.7281105990783409
interrogative,8,5.517241379310345,19,19.19191919191919,0.3684210526315789,0.875,0.5185185185185185
,
INTERROGATIVE-TYPE,8,0.468384074941452,19,1.2450851900393185,0.3684210526315789,0.875,0.5185185185185185
yes-no,1,12.5,1,5.263157894736842,1.0,1.0,1.0
wh,7,87.5,18,94.73684210526315,0.3333333333333333,0.8571428571428571,0.48
,
WH-SELECTION,7,0.4098360655737705,19,1.2450851900393185,0.2631578947368421,0.7142857142857143,0.3846153846153846
wh-subject,2,28.57142857142857,4,21.052631578947366,0.25,0.5,0.3333333333333333
wh-complement,2,28.57142857142857,12,63.1578947368421,0.16666666666666666,1.0,0.2857142857142857
