,,Relaxed/Lambda Match Statistics
,Precission,0.6336828309305373
,Recall,0.5661592505854801
,F1,0.5980210265924553
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,major,major
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,clause,clause
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,positive,positive
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,temporal,temporal
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,finite,finite
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,declarative,declarative
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,indicative,indicative
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,active,active
2,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",major,major
2,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",clause,clause
2,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",positive,positive
2,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",temporal,temporal
2,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",finite,finite
2,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",declarative,declarative
2,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",indicative,indicative
2,0.0,"65, 87","65, 87",0,"In theory, it's great.","In theory, it's great.",active,active
3,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",major,major
3,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",clause,clause
3,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",positive,positive
3,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",temporal,temporal
3,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",finite,finite
3,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",declarative,declarative
3,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",indicative,indicative
3,1.0,"89, 132","89, 133",1,"Well, actually, in practice it's great, too","Well, actually, in practice it's great, too.",active,active
4,1.0,"135, 176","135, 177",1,But for some reason I still feel too busy,But for some reason I still feel too busy.,major,major
4,1.0,"135, 176","135, 177",1,But for some reason I still feel too busy,But for some reason I still feel too busy.,clause,clause
4,1.0,"135, 176","135, 177",1,But for some reason I still feel too busy,But for some reason I still feel too busy.,positive,positive
4,1.0,"135, 176","135, 177",1,But for some reason I still feel too busy,But for some reason I still feel too busy.,temporal,temporal
4,1.0,"135, 176","135, 177",1,But for some reason I still feel too busy,But for some reason I still feel too busy.,finite,finite
4,1.0,"135, 176","135, 177",1,But for some reason I still feel too busy,But for some reason I still feel too busy.,active,active
4,26.076809620810597,"135, 176","157, 162",36,But for some reason I still feel too busy,still,temporality,temporality
5,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,major,major
5,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,clause,clause
5,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,positive,positive
5,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,temporal,temporal
5,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,finite,finite
5,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,declarative,declarative
5,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,indicative,indicative
5,1.0,"179, 271","179, 272",1,I think I had this idea that the new schedule would suddenly make me super efficient at home,I think I had this idea that the new schedule would suddenly make me super efficient at home.,active,active
6,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,clause,clause
6,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,major,major
6,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,positive,positive
6,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,temporal,temporal
6,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,finite,finite
6,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,declarative,declarative
6,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,indicative,indicative
6,1.0,"187, 271","187, 272",1,I had this idea that the new schedule would suddenly make me super efficient at home,I had this idea that the new schedule would suddenly make me super efficient at home.,active,active
7,1.0,"203, 271","203, 272",1,that the new schedule would suddenly make me super efficient at home,that the new schedule would suddenly make me super efficient at home.,clause,clause
7,42.01190307520001,"203, 271","245, 272",43,that the new schedule would suddenly make me super efficient at home,me super efficient at home.,major,major
7,42.01190307520001,"203, 271","245, 272",43,that the new schedule would suddenly make me super efficient at home,me super efficient at home.,positive,positive
7,42.01190307520001,"203, 271","245, 272",43,that the new schedule would suddenly make me super efficient at home,me super efficient at home.,finite,finite
7,42.01190307520001,"203, 271","245, 272",43,that the new schedule would suddenly make me super efficient at home,me super efficient at home.,declarative,declarative
7,42.01190307520001,"203, 271","245, 272",43,that the new schedule would suddenly make me super efficient at home,me super efficient at home.,indicative,indicative
7,42.01190307520001,"203, 271","245, 272",43,that the new schedule would suddenly make me super efficient at home,me super efficient at home.,active,active
8,1.0,"283, 297","283, 298",1,That was naive,That was naive.,major,major
8,1.0,"283, 297","283, 298",1,That was naive,That was naive.,clause,clause
8,1.0,"283, 297","283, 298",1,That was naive,That was naive.,positive,positive
8,1.0,"283, 297","283, 298",1,That was naive,That was naive.,temporal,temporal
8,1.0,"283, 297","283, 298",1,That was naive,That was naive.,finite,finite
8,1.0,"283, 297","283, 298",1,That was naive,That was naive.,declarative,declarative
8,1.0,"283, 297","283, 298",1,That was naive,That was naive.,indicative,indicative
8,1.0,"283, 297","283, 298",1,That was naive,That was naive.,active,active
9,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,major,major
9,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,clause,clause
9,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,positive,positive
9,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,temporal,temporal
9,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,finite,finite
9,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,declarative,declarative
9,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,indicative,indicative
9,1.0,"300, 345","300, 346",1,My OCD has been on a tear over the last month,My OCD has been on a tear over the last month.,active,active
10,1.0,"348, 368","348, 369",1,I'm hanging in there,"I'm hanging in there,",major,major
10,1.0,"348, 368","348, 369",1,I'm hanging in there,"I'm hanging in there,",clause,clause
10,1.0,"348, 368","348, 369",1,I'm hanging in there,"I'm hanging in there,",temporal,temporal
10,1.0,"348, 368","348, 369",1,I'm hanging in there,"I'm hanging in there,",finite,finite
10,1.0,"348, 368","348, 369",1,I'm hanging in there,"I'm hanging in there,",declarative,declarative
10,1.0,"348, 368","348, 369",1,I'm hanging in there,"I'm hanging in there,",indicative,indicative
10,1.0,"348, 368","348, 369",1,I'm hanging in there,"I'm hanging in there,",active,active
11,1.0,"370, 459","370, 460",1,"but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else","but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",major,major
11,1.0,"370, 459","370, 460",1,"but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else","but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",clause,clause
11,1.0,"370, 459","370, 460",1,"but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else","but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",temporal,temporal
11,1.0,"370, 459","370, 460",1,"but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else","but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",negative,negative
11,1.0,"370, 459","370, 460",1,"but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else","but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",finite,finite
11,1.0,"370, 459","370, 460",1,"but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else","but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",declarative,declarative
11,1.0,"370, 459","370, 460",1,"but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else","but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",indicative,indicative
11,1.0,"370, 459","370, 460",1,"but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else","but I'm not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",active,active
12,1.0,"387, 459","387, 460",1,"if the issue is the standard ""Ann's OCD peaks in fall"" or something else","if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",clause,clause
12,1.0,"387, 459","387, 460",1,"if the issue is the standard ""Ann's OCD peaks in fall"" or something else","if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",major,major
12,1.0,"387, 459","387, 460",1,"if the issue is the standard ""Ann's OCD peaks in fall"" or something else","if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",positive,positive
12,1.0,"387, 459","387, 460",1,"if the issue is the standard ""Ann's OCD peaks in fall"" or something else","if the issue is the standard ""Ann's OCD peaks in fall"" or something else.",temporal,temporal
