,,Relaxed/Lambda Match Statistics
,Precission,0.5980325644504749
,Recall,0.712179357705514
,F1,0.6501336775145201
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,major,major
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,clause,clause
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,positive,positive
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,temporal,temporal
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,finite,finite
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,declarative,declarative
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,indicative,indicative
1,1.0,"0, 62","0, 63",1,So two weeks ago I started my new work schedule: 3 days a week,So two weeks ago I started my new work schedule: 3 days a week.,active,active
2,0.0,"65, 87","65, 87",0,"n theory, it's great.
","n theory, it's great.
",major,major
2,0.0,"65, 87","65, 87",0,"n theory, it's great.
","n theory, it's great.
",clause,clause
2,0.0,"65, 87","65, 87",0,"n theory, it's great.
","n theory, it's great.
",positive,positive
2,0.0,"65, 87","65, 87",0,"n theory, it's great.
","n theory, it's great.
",temporal,temporal
2,0.0,"65, 87","65, 87",0,"n theory, it's great.
","n theory, it's great.
",finite,finite
2,0.0,"65, 87","65, 87",0,"n theory, it's great.
","n theory, it's great.
",declarative,declarative
2,0.0,"65, 87","65, 87",0,"n theory, it's great.
","n theory, it's great.
",indicative,indicative
2,0.0,"65, 87","65, 87",0,"n theory, it's great.
","n theory, it's great.
",active,active
3,1.0,"89, 132","89, 133",1,"ll, actually, in practice it's great, too.
","ll, actually, in practice it's great, too.
B",major,major
3,1.0,"89, 132","89, 133",1,"ll, actually, in practice it's great, too.
","ll, actually, in practice it's great, too.
B",clause,clause
3,1.0,"89, 132","89, 133",1,"ll, actually, in practice it's great, too.
","ll, actually, in practice it's great, too.
B",positive,positive
3,1.0,"89, 132","89, 133",1,"ll, actually, in practice it's great, too.
","ll, actually, in practice it's great, too.
B",temporal,temporal
3,1.0,"89, 132","89, 133",1,"ll, actually, in practice it's great, too.
","ll, actually, in practice it's great, too.
B",finite,finite
3,1.0,"89, 132","89, 133",1,"ll, actually, in practice it's great, too.
","ll, actually, in practice it's great, too.
B",declarative,declarative
3,1.0,"89, 132","89, 133",1,"ll, actually, in practice it's great, too.
","ll, actually, in practice it's great, too.
B",indicative,indicative
3,1.0,"89, 132","89, 133",1,"ll, actually, in practice it's great, too.
","ll, actually, in practice it's great, too.
B",active,active
4,26.076809620810597,"135, 176","157, 162",36," for some reason I still feel too busy.
I",ll fe,temporality,temporality
4,1.0,"135, 176","135, 177",1," for some reason I still feel too busy.
I"," for some reason I still feel too busy.
I ",major,major
4,1.0,"135, 176","135, 177",1," for some reason I still feel too busy.
I"," for some reason I still feel too busy.
I ",clause,clause
4,1.0,"135, 176","135, 177",1," for some reason I still feel too busy.
I"," for some reason I still feel too busy.
I ",positive,positive
4,1.0,"135, 176","135, 177",1," for some reason I still feel too busy.
I"," for some reason I still feel too busy.
I ",temporal,temporal
4,1.0,"135, 176","135, 177",1," for some reason I still feel too busy.
I"," for some reason I still feel too busy.
I ",finite,finite
4,1.0,"135, 176","135, 177",1," for some reason I still feel too busy.
I"," for some reason I still feel too busy.
I ",active,active
7,42.01190307520001,"203, 271","245, 272",43," the new schedule would suddenly make me super efficient at home.
HA","uper efficient at home.
HAH",major,major
7,42.01190307520001,"203, 271","245, 272",43," the new schedule would suddenly make me super efficient at home.
HA","uper efficient at home.
HAH",positive,positive
7,42.01190307520001,"203, 271","245, 272",43," the new schedule would suddenly make me super efficient at home.
HA","uper efficient at home.
HAH",finite,finite
7,42.01190307520001,"203, 271","245, 272",43," the new schedule would suddenly make me super efficient at home.
HA","uper efficient at home.
HAH",declarative,declarative
7,42.01190307520001,"203, 271","245, 272",43," the new schedule would suddenly make me super efficient at home.
HA","uper efficient at home.
HAH",indicative,indicative
7,42.01190307520001,"203, 271","245, 272",43," the new schedule would suddenly make me super efficient at home.
HA","uper efficient at home.
HAH",active,active
5,1.0,"179, 271","179, 272",1,"ink I had this idea that the new schedule would suddenly make me super efficient at home.
HA","ink I had this idea that the new schedule would suddenly make me super efficient at home.
HAH",major,major
5,1.0,"179, 271","179, 272",1,"ink I had this idea that the new schedule would suddenly make me super efficient at home.
HA","ink I had this idea that the new schedule would suddenly make me super efficient at home.
HAH",clause,clause
5,1.0,"179, 271","179, 272",1,"ink I had this idea that the new schedule would suddenly make me super efficient at home.
HA","ink I had this idea that the new schedule would suddenly make me super efficient at home.
HAH",positive,positive
5,1.0,"179, 271","179, 272",1,"ink I had this idea that the new schedule would suddenly make me super efficient at home.
HA","ink I had this idea that the new schedule would suddenly make me super efficient at home.
HAH",temporal,temporal
5,1.0,"179, 271","179, 272",1,"ink I had this idea that the new schedule would suddenly make me super efficient at home.
HA","ink I had this idea that the new schedule would suddenly make me super efficient at home.
HAH",finite,finite
5,1.0,"179, 271","179, 272",1,"ink I had this idea that the new schedule would suddenly make me super efficient at home.
HA","ink I had this idea that the new schedule would suddenly make me super efficient at home.
HAH",declarative,declarative
5,1.0,"179, 271","179, 272",1,"ink I had this idea that the new schedule would suddenly make me super efficient at home.
HA","ink I had this idea that the new schedule would suddenly make me super efficient at home.
HAH",indicative,indicative
5,1.0,"179, 271","179, 272",1,"ink I had this idea that the new schedule would suddenly make me super efficient at home.
HA","ink I had this idea that the new schedule would suddenly make me super efficient at home.
HAH",active,active
7,1.0,"203, 271","203, 272",1," the new schedule would suddenly make me super efficient at home.
HA"," the new schedule would suddenly make me super efficient at home.
HAH",clause,clause
6,1.0,"187, 271","187, 272",1,"d this idea that the new schedule would suddenly make me super efficient at home.
HA","d this idea that the new schedule would suddenly make me super efficient at home.
HAH",major,major
6,1.0,"187, 271","187, 272",1,"d this idea that the new schedule would suddenly make me super efficient at home.
HA","d this idea that the new schedule would suddenly make me super efficient at home.
HAH",clause,clause
6,1.0,"187, 271","187, 272",1,"d this idea that the new schedule would suddenly make me super efficient at home.
HA","d this idea that the new schedule would suddenly make me super efficient at home.
HAH",positive,positive
6,1.0,"187, 271","187, 272",1,"d this idea that the new schedule would suddenly make me super efficient at home.
HA","d this idea that the new schedule would suddenly make me super efficient at home.
HAH",temporal,temporal
6,1.0,"187, 271","187, 272",1,"d this idea that the new schedule would suddenly make me super efficient at home.
HA","d this idea that the new schedule would suddenly make me super efficient at home.
HAH",finite,finite
6,1.0,"187, 271","187, 272",1,"d this idea that the new schedule would suddenly make me super efficient at home.
HA","d this idea that the new schedule would suddenly make me super efficient at home.
HAH",declarative,declarative
6,1.0,"187, 271","187, 272",1,"d this idea that the new schedule would suddenly make me super efficient at home.
HA","d this idea that the new schedule would suddenly make me super efficient at home.
HAH",indicative,indicative
6,1.0,"187, 271","187, 272",1,"d this idea that the new schedule would suddenly make me super efficient at home.
HA","d this idea that the new schedule would suddenly make me super efficient at home.
HAH",active,active
8,1.0,"283, 297","283, 298",1,"as naive.
My O","as naive.
My OC",major,major
8,1.0,"283, 297","283, 298",1,"as naive.
My O","as naive.
My OC",clause,clause
8,1.0,"283, 297","283, 298",1,"as naive.
My O","as naive.
My OC",positive,positive
8,1.0,"283, 297","283, 298",1,"as naive.
My O","as naive.
My OC",temporal,temporal
8,1.0,"283, 297","283, 298",1,"as naive.
My O","as naive.
My OC",finite,finite
8,1.0,"283, 297","283, 298",1,"as naive.
My O","as naive.
My OC",declarative,declarative
8,1.0,"283, 297","283, 298",1,"as naive.
My O","as naive.
My OC",indicative,indicative
8,1.0,"283, 297","283, 298",1,"as naive.
My O","as naive.
My OC",active,active
9,1.0,"300, 345","300, 346",1,"has been on a tear over the last month.
I'm h","has been on a tear over the last month.
I'm ha",major,major
9,1.0,"300, 345","300, 346",1,"has been on a tear over the last month.
I'm h","has been on a tear over the last month.
I'm ha",clause,clause
9,1.0,"300, 345","300, 346",1,"has been on a tear over the last month.
I'm h","has been on a tear over the last month.
I'm ha",positive,positive
9,1.0,"300, 345","300, 346",1,"has been on a tear over the last month.
I'm h","has been on a tear over the last month.
I'm ha",temporal,temporal
9,1.0,"300, 345","300, 346",1,"has been on a tear over the last month.
I'm h","has been on a tear over the last month.
I'm ha",finite,finite
9,1.0,"300, 345","300, 346",1,"has been on a tear over the last month.
I'm h","has been on a tear over the last month.
I'm ha",declarative,declarative
9,1.0,"300, 345","300, 346",1,"has been on a tear over the last month.
I'm h","has been on a tear over the last month.
I'm ha",indicative,indicative
9,1.0,"300, 345","300, 346",1,"has been on a tear over the last month.
I'm h","has been on a tear over the last month.
I'm ha",active,active
11,1.0,"370, 459","370, 460",1,"not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",major,major
11,1.0,"370, 459","370, 460",1,"not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",clause,clause
11,1.0,"370, 459","370, 460",1,"not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",temporal,temporal
11,1.0,"370, 459","370, 460",1,"not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",negative,negative
11,1.0,"370, 459","370, 460",1,"not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",finite,finite
11,1.0,"370, 459","370, 460",1,"not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",declarative,declarative
11,1.0,"370, 459","370, 460",1,"not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",indicative,indicative
11,1.0,"370, 459","370, 460",1,"not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","not sure if the issue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",active,active
12,1.0,"387, 459","387, 460",1,"ssue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","ssue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",major,major
12,1.0,"387, 459","387, 460",1,"ssue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","ssue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",clause,clause
12,1.0,"387, 459","387, 460",1,"ssue is the standard ""Ann's OCD peaks in fall"" or something else.
Usuall","ssue is the standard ""Ann's OCD peaks in fall"" or something else.
Usually",positive,positive
